"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.945653992E0,7.756420441E0,4.695286102E0
9.942000033E-3,-2.030228119E0,7.792794800E0,4.417463837E0
1.988499996E-2,-2.086960144E0,7.850874023E0,4.510420532E0
2.982699999E-2,-2.018851776E0,7.762258301E0,4.696932678E0
3.977000003E-2,-1.736389160E0,7.607629852E0,4.847818909E0
4.971199995E-2,-1.393452301E0,7.409441986E0,4.997208252E0
5.965499999E-2,-1.177750854E0,7.239545288E0,5.179379425E0
6.959700002E-2,-1.070873108E0,7.211254120E0,5.347779236E0
7.953999995E-2,-1.130299530E0,7.260801086E0,5.349725189E0
8.948199998E-2,-1.347946930E0,7.356452179E0,5.453908539E0
9.942400001E-2,-1.554068298E0,7.442672882E0,5.590424652E0
1.093670001E-1,-1.684297485E0,7.474855957E0,5.476212158E0
1.193090000E-1,-1.776505737E0,7.438631287E0,5.399571533E0
1.292520000E-1,-1.828148346E0,7.432643738E0,5.393434296E0
1.391940000E-1,-1.827399902E0,7.487130432E0,5.404361572E0
1.491370000E-1,-1.785636749E0,7.551496582E0,5.303770752E0
1.590790000E-1,-1.781295776E0,7.599696350E0,5.209466858E0
1.690220000E-1,-1.722767487E0,7.636220398E0,5.218747559E0
1.789640000E-1,-1.559756470E0,7.650141449E0,5.210364990E0
1.889070000E-1,-1.469793549E0,7.612270203E0,5.288203125E0
1.988490000E-1,-1.470841370E0,7.572003937E0,5.418582001E0
2.087920000E-1,-1.529968414E0,7.606731720E0,5.514682159E0
2.187340000E-1,-1.609902191E0,7.666008453E0,5.542673950E0
2.286770000E-1,-1.630259857E0,7.754474487E0,5.457950134E0
2.386190000E-1,-1.602268066E0,7.827372894E0,5.474266205E0
2.485620000E-1,-1.592987366E0,7.882158966E0,5.571264496E0
2.585040000E-1,-1.648970947E0,8.006250916E0,5.654192047E0
2.684470000E-1,-1.760039978E0,8.184380493E0,5.840853882E0
2.783890000E-1,-1.904639282E0,8.244106293E0,5.987997894E0
2.883310000E-1,-1.954335938E0,8.340655518E0,6.081703033E0
2.982740001E-1,-1.882635040E0,8.515941010E0,6.268664246E0
3.082160000E-1,-1.791474609E0,8.494984589E0,6.552773438E0
3.181590000E-1,-1.688189392E0,8.403674469E0,6.831793213E0
3.281010001E-1,-1.573078766E0,8.364006958E0,7.189998322E0
3.380440000E-1,-1.479673004E0,8.477770386E0,7.468569031E0
3.479860000E-1,-1.316362610E0,8.700806580E0,7.778724060E0
3.579290000E-1,-1.189276886E0,8.660690002E0,8.166268158E0
3.678710000E-1,-1.163829803E0,8.500223694E0,8.410410461E0
3.778140000E-1,-1.203347626E0,8.518934784E0,8.537795563E0
3.877560000E-1,-1.316063232E0,8.662935333E0,8.683143311E0
3.976990000E-1,-1.507814484E0,8.686735840E0,8.952283630E0
4.076410000E-1,-1.731748810E0,8.508606262E0,9.403295746E0
4.175840000E-1,-1.953138428E0,8.496182098E0,9.840686188E0
4.275260000E-1,-2.149679718E0,8.934620361E0,1.003453308E1
4.374680000E-1,-2.049987030E0,9.009015656E0,1.027538223E1
4.474110000E-1,-1.946552124E0,8.753796387E0,1.049347870E1
4.573529999E-1,-1.940863953E0,8.522527313E0,1.080602875E1
4.672960000E-1,-1.860630798E0,8.328530731E0,1.109103607E1
4.772380000E-1,-1.751657410E0,8.054750061E0,1.054467224E1
4.871809999E-1,-1.648372192E0,7.836354218E0,1.080542999E1
4.971230000E-1,-1.615440674E0,7.616311798E0,1.189142166E1
5.070660000E-1,-1.555864563E0,7.217840424E0,1.094703552E1
5.170080001E-1,-1.695075073E0,6.954388275E0,1.053479279E1
5.269510000E-1,-1.841171265E0,6.789880371E0,1.053060150E1
5.368930000E-1,-2.037263489E0,6.573580170E0,1.049422714E1
5.468360001E-1,-2.147284698E0,6.286177826E0,1.018062927E1
5.567780000E-1,-2.142494659E0,5.970783691E0,9.849667511E0
5.667210000E-1,-2.035467224E0,5.721551971E0,9.713301086E0
