"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.847000004E-2,-6.201750040E-2,-4.900376499E-1,1.793975085E-1
5.841300008E-2,-8.774326742E-2,-4.979742467E-1,2.258934975E-1
6.835600000E-2,-9.010656178E-2,-4.890148342E-1,2.453438938E-1
7.829800004E-2,-6.648847461E-2,-4.490405619E-1,2.245931774E-1
8.824100008E-2,-3.134593740E-2,-4.117121100E-1,1.803535521E-1
9.818299999E-2,-1.087475382E-2,-3.847950697E-1,1.332776546E-1
1.081260000E-1,-1.194507815E-2,-3.330434561E-1,8.437856287E-2
1.180690001E-1,-2.192723751E-2,-2.674449086E-1,4.142884165E-2
1.280110000E-1,-2.287212759E-2,-2.166347057E-1,-9.711573832E-3
1.379540000E-1,-2.171588503E-2,-1.892858148E-1,-6.181563810E-2
1.478960001E-1,-2.104796469E-2,-1.816766411E-1,-9.911508113E-2
1.578390000E-1,-3.031449765E-2,-1.867453605E-1,-1.133086830E-1
1.677820000E-1,-6.658302248E-2,-2.230881900E-1,-1.077485383E-1
1.777240001E-1,-1.310119331E-1,-2.915821373E-1,-1.051501855E-1
1.876670000E-1,-2.183550894E-1,-3.819890022E-1,-1.016627774E-1
1.976090000E-1,-3.355845213E-1,-4.936476648E-1,-9.481404722E-2
2.075520001E-1,-4.666160643E-1,-5.904572606E-1,-8.626796305E-2
2.174950000E-1,-5.842477083E-1,-6.225004196E-1,-6.818059087E-2
2.274370000E-1,-6.416457295E-1,-5.951942801E-1,-4.269706458E-2
2.373800001E-1,-6.399180889E-1,-5.389245749E-1,-2.347222343E-2
2.473220001E-1,-5.836156607E-1,-4.632655084E-1,-2.018162236E-2
2.572650000E-1,-4.777481258E-1,-3.851729631E-1,-1.212798990E-2
2.672070001E-1,-3.606702387E-1,-3.049303293E-1,1.335180365E-2
2.771500001E-1,-2.607586086E-1,-2.423347086E-1,4.037326574E-2
2.870930000E-1,-2.047448903E-1,-2.267419100E-1,7.873610407E-2
2.970350001E-1,-2.003271729E-1,-2.338194549E-1,1.309090257E-1
3.069780001E-1,-2.346502542E-1,-2.428598106E-1,2.015903890E-1
3.169200000E-1,-2.903744876E-1,-2.634339631E-1,2.702051401E-1
3.268630001E-1,-3.420877755E-1,-3.306177855E-1,3.385788798E-1
3.368060001E-1,-3.971534669E-1,-4.279082417E-1,4.025804698E-1
3.467480000E-1,-4.480291605E-1,-5.192232132E-1,4.760925174E-1
3.566910001E-1,-4.919124544E-1,-5.904527903E-1,5.426278114E-1
3.666330001E-1,-5.177040696E-1,-6.585048437E-1,5.901934505E-1
3.765760000E-1,-5.092675090E-1,-7.280434370E-1,5.927164555E-1
3.865180000E-1,-4.867153466E-1,-7.401765585E-1,5.426921844E-1
3.964610001E-1,-4.507854879E-1,-6.958298087E-1,4.557387531E-1
4.064040000E-1,-4.270162582E-1,-6.446380019E-1,3.583749235E-1
4.163460000E-1,-4.260898232E-1,-5.977761745E-1,2.547962070E-1
4.262890001E-1,-4.479309320E-1,-5.556631088E-1,1.523593366E-1
4.362310000E-1,-4.894985259E-1,-5.076906085E-1,5.992379040E-2
4.461740000E-1,-5.419848561E-1,-4.756847322E-1,-1.576644368E-2
4.561160001E-1,-5.907170177E-1,-4.684982300E-1,-7.855555415E-2
4.660590000E-1,-6.415628791E-1,-4.522588253E-1,-1.214969009E-1
4.760020000E-1,-6.824899316E-1,-4.036101699E-1,-1.603536308E-1
4.859440001E-1,-7.089412808E-1,-3.021424115E-1,-1.987140626E-1
4.958870000E-1,-7.183806896E-1,-1.763498336E-1,-2.334859073E-1
5.058290000E-1,-7.143627405E-1,-4.754792526E-2,-2.781449854E-1
5.157720001E-1,-6.949353218E-1,4.503186047E-2,-3.308791816E-1
5.257150000E-1,-6.692084074E-1,5.619130656E-2,-3.951316774E-1
5.356570000E-1,-6.286150217E-1,-1.773917675E-2,-4.469202459E-1
5.456000001E-1,-5.877179503E-1,-9.861618280E-2,-4.833578765E-1
5.555420000E-1,-5.582518578E-1,-1.887487918E-1,-4.903943837E-1
5.654850000E-1,-5.445213914E-1,-2.890591323E-1,-4.755432606E-1
5.754270001E-1,-5.364572406E-1,-3.921071887E-1,-4.581508338E-1
5.853700000E-1,-5.298044086E-1,-4.592238963E-1,-4.258040786E-1
5.953120000E-1,-5.238351822E-1,-4.875684381E-1,-3.850896657E-1
6.052550001E-1,-5.334971547E-1,-5.028212070E-1,-3.262237012E-1
6.151980000E-1,-5.498529077E-1,-5.292611718E-1,-2.782942355E-1
6.251400000E-1,-5.682033896E-1,-5.452177525E-1,-2.517422438E-1
6.350830001E-1,-5.812606215E-1,-5.681610703E-1,-2.501120865E-1
6.450250001E-1,-5.756679773E-1,-6.027267575E-1,-2.627293468E-1
6.549680000E-1,-5.556831956E-1,-6.023755670E-1,-2.798350453E-1
6.649100001E-1,-5.166788101E-1,-5.612561107E-1,-2.784451246E-1
6.748530001E-1,-4.648789763E-1,-4.880712628E-1,-2.530973554E-1
6.847960000E-1,-3.914409876E-1,-3.818313777E-1,-1.896323562E-1
6.947380000E-1,-2.979295850E-1,-2.610168755E-1,-1.028832272E-1
7.046810001E-1,-1.879724413E-1,-1.485023499E-1,-2.130340785E-2
7.146230000E-1,-7.075425982E-2,-6.435911357E-2,4.944015667E-2
7.245660000E-1,4.755800590E-2,-4.071396962E-2,1.089921668E-1
7.345080001E-1,1.587243229E-1,-9.393502027E-2,1.529776007E-1
7.444510000E-1,2.514113486E-1,-1.714790910E-1,2.028815150E-1
7.543930000E-1,3.376505673E-1,-2.620188892E-1,2.468792349E-1
7.643360001E-1,4.173626900E-1,-3.578002751E-1,2.859217227E-1
7.742790000E-1,4.972885549E-1,-4.302005470E-1,3.089570701E-1
7.842210000E-1,5.741245151E-1,-4.526185095E-1,3.347162306E-1
7.941640001E-1,6.498734951E-1,-4.828899801E-1,3.458159268E-1
8.041060000E-1,6.918542385E-1,-5.404659510E-1,3.390187621E-1
8.140490000E-1,6.686792374E-1,-5.958214998E-1,3.306708932E-1
8.239910001E-1,5.731415153E-1,-6.604532003E-1,3.510012031E-1
8.339340000E-1,4.063942730E-1,-8.751332164E-1,4.105542600E-1
8.438760000E-1,1.871085465E-1,-9.164156914E-1,4.710466266E-1
8.538190001E-1,-4.284997657E-2,-7.546672225E-1,5.070667863E-1
8.637610000E-1,-2.595412731E-1,-5.835593939E-1,5.137787461E-1
8.737040000E-1,-4.630785584E-1,-4.810653925E-1,4.983381033E-1
8.836470001E-1,-6.509686112E-1,-4.047040343E-1,4.794791937E-1
8.935890000E-1,-8.112459183E-1,-3.253507614E-1,4.718699753E-1
9.035320000E-1,-9.403817654E-1,-1.827736199E-1,4.709229469E-1
9.134740001E-1,-1.033808470E0,6.252190471E-2,4.721101224E-1
9.234170001E-1,-1.118705273E0,3.233170211E-1,4.987316132E-1
9.333590000E-1,-1.217267036E0,4.902687669E-1,5.773551464E-1
9.433020001E-1,-1.317322373E0,4.184685946E-1,6.918548346E-1
9.532440001E-1,-1.392462492E0,-3.873447701E-2,8.205849528E-1
9.631870000E-1,-1.456723213E0,-7.282755971E-1,9.367771149E-1
9.731290000E-1,-1.493729949E0,-1.331639767E0,1.020060778E0
9.830720001E-1,-1.459515214E0,-1.482108593E0,1.064120173E0
9.930147084E-1,-1.366074800E0,-1.617743015E0,1.023585320E0
1.002956708E0,-1.390903115E0,-1.868666053E0,8.876346350E-1
1.012899708E0,-1.487709641E0,-1.887297273E0,7.539828420E-1
1.022841708E0,-1.581823111E0,-1.812140226E0,6.434022784E-1
1.032784708E0,-1.668126583E0,-1.685671329E0,5.461632013E-1
1.042726708E0,-1.704932332E0,-1.396678686E0,4.670676291E-1
1.052669708E0,-1.690234542E0,-8.944004178E-1,4.076077044E-1
1.062611708E0,-1.622095704E0,-2.393586636E-1,3.395135999E-1
