"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-3.686384125E0,7.850275269E0,5.921835480E0
9.942000033E-3,-3.672463074E0,7.905061340E0,6.100114746E0
1.988500007E-2,-3.735182648E0,7.977360992E0,6.270610199E0
2.982699999E-2,-3.648213501E0,8.037386169E0,6.348598022E0
3.977000003E-2,-3.497177582E0,7.925868073E0,6.192921753E0
4.971200007E-2,-3.372486877E0,7.796986084E0,6.148164825E0
5.965499999E-2,-3.223845978E0,7.692203979E0,6.163433075E0
6.959800003E-2,-3.011138306E0,7.539521484E0,6.179300079E0
7.954000006E-2,-2.766097870E0,7.390132141E0,6.192472687E0
8.948299999E-2,-2.555635529E0,7.293283539E0,6.143823853E0
9.942500002E-2,-2.344125366E0,7.187752991E0,6.143823853E0
1.093680001E-1,-2.145937500E0,7.027136993E0,5.937403107E0
1.193110000E-1,-1.986818390E0,6.937623138E0,5.698799286E0
1.292530000E-1,-1.906136169E0,6.994504852E0,5.685177612E0
1.391960001E-1,-1.921703796E0,7.042405243E0,5.719007263E0
1.491380001E-1,-1.931134186E0,7.027885437E0,5.744154968E0
1.590810000E-1,-1.867516479E0,6.976392517E0,5.688770142E0
1.690240001E-1,-1.804048462E0,6.873855743E0,5.642815704E0
1.789660001E-1,-1.826352081E0,6.850653992E0,5.653593292E0
1.889090000E-1,-1.846110992E0,6.964267731E0,5.687123566E0
1.988510001E-1,-1.779649200E0,7.128176880E0,5.782924347E0
2.087940001E-1,-1.625619507E0,7.212002563E0,5.923631744E0
2.187370000E-1,-1.404229889E0,7.300169220E0,6.109245758E0
2.286790001E-1,-1.087338867E0,7.312144318E0,6.347101135E0
2.386220001E-1,-8.414002991E-1,7.144193573E0,6.630910950E0
2.485640000E-1,-7.867639160E-1,6.899153137E0,6.924450531E0
2.585070000E-1,-8.310717773E-1,6.796316986E0,7.050937500E0
2.684490001E-1,-8.047265625E-1,6.850653992E0,7.089856567E0
2.783920000E-1,-8.402027893E-1,6.795119476E0,6.959926758E0
2.883350000E-1,-8.114625549E-1,6.808890839E0,6.910230103E0
2.982770001E-1,-8.159532166E-1,6.885681152E0,6.836882629E0
3.082200000E-1,-7.759863281E-1,6.988816681E0,6.625971222E0
