"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.485963540E-1,1.011001691E-2,-2.559961379E-2,1.111619100E-1
2.506008340E-1,5.848962814E-3,-2.666487545E-2,1.122271717E-1
2.526053130E-1,4.783699289E-3,-2.453434840E-2,1.079661250E-1
2.546097920E-1,6.914226338E-3,-2.559961379E-2,1.100966483E-1
2.566142710E-1,6.914226338E-3,-2.986066788E-2,1.111619100E-1
2.586187500E-1,2.653172240E-3,-2.666487545E-2,1.100966483E-1
2.606232290E-1,2.653172240E-3,-3.305645660E-2,1.069008559E-1
2.626277090E-1,-2.673145384E-3,-3.305645660E-2,1.047703326E-1
2.646321880E-1,-5.868935958E-3,-3.092592955E-2,1.037050635E-1
2.666366670E-1,-7.999463007E-3,-3.625224903E-2,9.944401681E-2
2.686411460E-1,-5.868935958E-3,-4.051330313E-2,1.015745401E-1
2.706456250E-1,-5.868935958E-3,-3.838277608E-2,9.837874770E-2
2.726501040E-1,-1.012999006E-2,-3.625224903E-2,9.731348604E-2
2.746545840E-1,-1.119525358E-2,-3.731751069E-2,9.731348604E-2
2.766590630E-1,-1.332578063E-2,-4.051330313E-2,9.092190862E-2
2.786635420E-1,-1.119525358E-2,-3.731751069E-2,8.772611618E-2
2.806680210E-1,-1.226051711E-2,-4.157856479E-2,8.879137784E-2
2.826725000E-1,-1.545630768E-2,-4.264383018E-2,8.239980042E-2
2.846769790E-1,-1.545630768E-2,-4.690488428E-2,8.133453131E-2
2.866814590E-1,-1.119525358E-2,-4.264383018E-2,7.281242311E-2
2.886859380E-1,-1.226051711E-2,-4.583961889E-2,7.387769222E-2
2.906904170E-1,-1.865209825E-2,-4.477435350E-2,7.068189979E-2
2.926948960E-1,-1.332578063E-2,-4.157856479E-2,6.642084569E-2
2.946993750E-1,-1.439104415E-2,-4.370909184E-2,5.683347583E-2
2.967038540E-1,-1.758683473E-2,-4.370909184E-2,6.322505325E-2
2.987083340E-1,-1.545630768E-2,-4.370909184E-2,5.896400288E-2
3.007128130E-1,-1.652157120E-2,-5.010067299E-2,5.789874122E-2
3.027172920E-1,-1.119525358E-2,-4.583961889E-2,5.363768712E-2
3.047217710E-1,-1.545630768E-2,-4.797014594E-2,5.896400288E-2
3.067262500E-1,-9.064726532E-3,-4.157856479E-2,5.576821044E-2
3.087307290E-1,-1.332578063E-2,-4.583961889E-2,6.322505325E-2
3.107352090E-1,-1.012999006E-2,-4.264383018E-2,5.576821044E-2
3.127396880E-1,-9.064726532E-3,-3.731751069E-2,6.109452993E-2
3.147441670E-1,-1.012999006E-2,-3.944803774E-2,6.109452993E-2
3.167486460E-1,-9.064726532E-3,-3.412172198E-2,6.642084569E-2
3.187531250E-1,-5.868935958E-3,-3.305645660E-2,6.642084569E-2
3.207576040E-1,-3.738408908E-3,-2.986066788E-2,6.642084569E-2
3.227620840E-1,-4.803672433E-3,-3.092592955E-2,7.281242311E-2
3.247665630E-1,-4.803672433E-3,-3.199119493E-2,7.174716145E-2
3.267710420E-1,-1.607881859E-3,-2.453434840E-2,6.748610735E-2
3.287755210E-1,5.226451904E-4,-2.240382135E-2,6.535558403E-2
3.307800000E-1,6.914226338E-3,-2.453434840E-2,6.535558403E-2
3.327844790E-1,4.783699289E-3,-2.027329430E-2,6.429031491E-2
3.347889590E-1,5.848962814E-3,-2.027329430E-2,5.789874122E-2
3.367934380E-1,3.718435764E-3,-1.601224020E-2,6.109452993E-2
3.387979170E-1,1.587908715E-3,-1.814276725E-2,5.896400288E-2
3.408023960E-1,1.587908715E-3,-2.133855969E-2,6.215979159E-2
3.428068750E-1,1.587908715E-3,-1.707750559E-2,5.470294878E-2
3.448113540E-1,4.783699289E-3,-1.707750559E-2,4.937663302E-2
3.468158340E-1,5.226451904E-4,-1.707750559E-2,5.257242173E-2
3.488203130E-1,-5.426183343E-4,-1.920803264E-2,5.150715634E-2
3.508247920E-1,-3.738408908E-3,-2.240382135E-2,4.405031353E-2
3.528292710E-1,1.587908715E-3,-2.133855969E-2,4.405031353E-2
3.548337500E-1,-9.064726532E-3,-2.773014084E-2,4.511557892E-2
3.568382290E-1,-6.934199482E-3,-3.092592955E-2,4.298504815E-2
3.588427090E-1,-1.012999006E-2,-3.199119493E-2,3.765873238E-2
3.608471880E-1,-1.012999006E-2,-3.731751069E-2,3.765873238E-2
3.628516670E-1,-1.012999006E-2,-3.731751069E-2,3.446293995E-2
3.648561460E-1,-1.226051711E-2,-4.264383018E-2,3.233241662E-2
3.668606250E-1,-1.545630768E-2,-4.690488428E-2,2.700609528E-2
3.688651040E-1,-1.971736178E-2,-5.329646170E-2,2.913662419E-2
3.708695840E-1,-2.184788883E-2,-5.223120004E-2,2.807135880E-2
3.728740630E-1,-2.397841588E-2,-5.542699248E-2,2.274504118E-2
3.748785420E-1,-2.397841588E-2,-5.862277746E-2,2.381030470E-2
3.768830210E-1,-2.823946998E-2,-6.288383156E-2,1.741872355E-2
3.788875000E-1,-3.250052407E-2,-6.607962400E-2,1.954925060E-2
3.808919790E-1,-3.036999702E-2,-7.353647053E-2,1.528819557E-2
3.828964590E-1,-3.250052407E-2,-7.779752463E-2,1.315766852E-2
3.849009380E-1,-3.143525869E-2,-8.631963283E-2,8.896614425E-3
3.869054170E-1,-3.250052407E-2,-8.525437117E-2,7.831350900E-3
3.889098960E-1,-3.463105112E-2,-8.951541781E-2,1.422293205E-2
3.909143750E-1,-3.782684356E-2,-9.484174103E-2,1.209240500E-2
3.929188540E-1,-3.889210522E-2,-9.377647936E-2,1.528819557E-2
3.949233340E-1,-3.569631651E-2,-9.697226435E-2,1.848398708E-2
3.969278130E-1,-3.782684356E-2,-9.484174103E-2,1.848398708E-2
3.989322920E-1,-3.676158190E-2,-9.697226435E-2,2.167977765E-2
4.009367710E-1,-3.889210522E-2,-9.697226435E-2,2.061451413E-2
4.029412500E-1,-3.569631651E-2,-1.022985876E-1,2.487556823E-2
4.049457290E-1,-3.356578946E-2,-1.086901650E-1,3.020188585E-2
4.069502090E-1,-3.463105112E-2,-9.910279512E-2,2.913662419E-2
4.089546880E-1,-3.250052407E-2,-1.086901650E-1,2.700609528E-2
4.109591670E-1,-3.569631651E-2,-1.108206958E-1,2.913662419E-2
4.129636460E-1,-3.143525869E-2,-1.108206958E-1,3.126715124E-2
4.149681250E-1,-3.250052407E-2,-1.172122732E-1,3.446293995E-2
4.169726040E-1,-3.250052407E-2,-1.150817424E-1,3.126715124E-2
4.189771360E-1,-3.036999702E-2,-1.182775348E-1,3.659347072E-2
4.209816670E-1,-3.143525869E-2,-1.214733273E-1,3.446293995E-2
4.229861980E-1,-2.717420645E-2,-1.225385889E-1,3.978925943E-2
4.249907290E-1,-2.823946998E-2,-1.267996430E-1,4.191978648E-2
4.269952610E-1,-2.610894293E-2,-1.289301813E-1,4.511557892E-2
4.289997920E-1,-2.397841588E-2,-1.331912279E-1,4.937663302E-2
4.310043230E-1,-2.078262530E-2,-1.342564970E-1,4.724610224E-2
4.330088540E-1,-1.758683473E-2,-1.310607046E-1,4.618084058E-2
4.350133860E-1,-2.078262530E-2,-1.374522895E-1,5.150715634E-2
4.370179170E-1,-1.652157120E-2,-1.406480819E-1,5.150715634E-2
4.390224480E-1,-1.545630768E-2,-1.438438743E-1,4.831136763E-2
4.410269790E-1,-1.332578063E-2,-1.459743977E-1,4.618084058E-2
4.430315110E-1,-1.012999006E-2,-1.544965059E-1,4.937663302E-2
4.450360420E-1,-7.999463007E-3,-1.544965059E-1,4.298504815E-2
4.470405730E-1,-1.012999006E-2,-1.555617750E-1,3.765873238E-2
4.490451040E-1,-7.999463007E-3,-1.608880907E-1,4.191978648E-2
4.510496360E-1,-1.012999006E-2,-1.640838832E-1,3.978925943E-2
4.530541670E-1,-7.999463007E-3,-1.672796756E-1,3.872399405E-2
4.550586980E-1,-1.119525358E-2,-1.747365147E-1,3.659347072E-2
4.570632290E-1,-1.012999006E-2,-1.789975762E-1,3.659347072E-2
4.590677610E-1,-7.999463007E-3,-1.811280996E-1,3.552820534E-2
4.610722920E-1,-1.012999006E-2,-1.885849386E-1,3.339767829E-2
4.630768230E-1,-1.545630768E-2,-1.939112544E-1,2.913662419E-2
4.650813540E-1,-1.226051711E-2,-1.992375851E-1,3.020188585E-2
4.670858860E-1,-1.439104415E-2,-2.045639008E-1,2.913662419E-2
4.690904170E-1,-1.865209825E-2,-2.130860090E-1,2.381030470E-2
4.710949480E-1,-1.971736178E-2,-2.173470557E-1,2.700609528E-2
4.730994790E-1,-2.291315235E-2,-2.237386405E-1,2.381030470E-2
4.751040110E-1,-2.610894293E-2,-2.333260179E-1,2.167977765E-2
4.771085420E-1,-2.717420645E-2,-2.354565412E-1,2.274504118E-2
4.791130210E-1,-2.823946998E-2,-2.407828569E-1,2.061451413E-2
4.811175000E-1,-3.036999702E-2,-2.514354885E-1,1.954925060E-2
4.831219790E-1,-3.782684356E-2,-2.546312809E-1,1.954925060E-2
4.851264590E-1,-3.889210522E-2,-2.631533742E-1,1.741872355E-2
4.871309380E-1,-4.634895176E-2,-2.716754675E-1,1.528819557E-2
4.891354170E-1,-5.167526752E-2,-2.855238914E-1,1.528819557E-2
4.911398960E-1,-5.167526752E-2,-2.897849381E-1,7.831350900E-3
4.931443750E-1,-5.593632162E-2,-3.025681078E-1,1.102714147E-2
4.951488540E-1,-6.126264483E-2,-3.078944385E-1,8.896614425E-3
4.971533340E-1,-6.765422225E-2,-3.174818158E-1,8.896614425E-3
4.991578130E-1,-6.445842981E-2,-3.249386549E-1,5.700823851E-3
5.011622920E-1,-6.871949136E-2,-3.355912864E-1,4.635560326E-3
5.031667710E-1,-7.298053801E-2,-3.398523331E-1,4.635560326E-3
5.051712500E-1,-7.724159956E-2,-3.494397104E-1,-6.907565985E-4
5.071757290E-1,-8.363317698E-2,-3.579618037E-1,-6.907565985E-4
5.091802090E-1,-8.256791532E-2,-3.675491810E-1,-6.907565985E-4
5.111846880E-1,-8.682896942E-2,-3.824628890E-1,-1.756020123E-3
5.131891670E-1,-9.215528518E-2,-3.877891898E-1,-1.240865607E-2
5.151936460E-1,-9.748160094E-2,-3.952460289E-1,-7.082337514E-3
5.171981250E-1,-1.028079242E-1,-4.112249911E-1,-1.240865607E-2
5.192026040E-1,-1.081342399E-1,-4.186818302E-1,-1.666970924E-2
5.212070840E-1,-1.113300323E-1,-4.282692075E-1,-1.560444664E-2
5.232115630E-1,-1.187868714E-1,-4.357260466E-1,-1.773497276E-2
5.252160420E-1,-1.241131872E-1,-4.421176314E-1,-1.880023628E-2
5.272205210E-1,-1.305047721E-1,-4.517050087E-1,-1.347391959E-2
5.292250000E-1,-1.347658336E-1,-4.591618478E-1,-1.560444664E-2
5.312294790E-1,-1.358310878E-1,-4.740755260E-1,-1.773497276E-2
5.332339590E-1,-1.454184651E-1,-4.879239798E-1,-1.773497276E-2
5.352384380E-1,-1.518100500E-1,-5.039029121E-1,-1.240865607E-2
5.372429170E-1,-1.571363658E-1,-5.145555735E-1,-1.347391959E-2
5.392473960E-1,-1.603321433E-1,-5.262734890E-1,-1.560444664E-2
5.412518750E-1,-1.645932049E-1,-5.284040570E-1,-1.347391959E-2
5.432563540E-1,-1.699195206E-1,-5.369261503E-1,-1.453918312E-2
5.452608340E-1,-1.731153131E-1,-5.433177352E-1,-1.453918312E-2
5.472653130E-1,-1.752458364E-1,-5.592966676E-1,-1.986549981E-2
5.492697920E-1,-1.827026904E-1,-5.710145831E-1,-1.134339254E-2
5.512742710E-1,-1.869637370E-1,-5.869935155E-1,-1.560444664E-2
5.532787500E-1,-1.858984828E-1,-5.965809226E-1,-1.666970924E-2
5.552832290E-1,-1.890942603E-1,-6.019071937E-1,-1.986549981E-2
5.572877090E-1,-1.869637370E-1,-6.157556772E-1,-2.199602686E-2
5.592921880E-1,-1.944205761E-1,-6.232125163E-1,-2.412655391E-2
5.612966670E-1,-1.933553219E-1,-6.338651180E-1,-2.838760801E-2
5.633011460E-1,-1.976163685E-1,-6.349303722E-1,-2.945287153E-2
5.653056250E-1,-1.976163685E-1,-6.434525251E-1,-3.051813506E-2
5.673101040E-1,-2.008121610E-1,-6.519746184E-1,-3.690971434E-2
5.693145840E-1,-1.965511143E-1,-6.573009491E-1,-4.223603383E-2
5.713190630E-1,-1.944205761E-1,-6.594314575E-1,-4.756234959E-2
5.733235420E-1,-1.965511143E-1,-6.679535508E-1,-4.969287664E-2
5.753280210E-1,-1.965511143E-1,-6.647577882E-1,-5.182340369E-2
5.773325000E-1,-1.986816376E-1,-6.668882966E-1,-6.034551188E-2
5.793369790E-1,-1.912247986E-1,-6.594314575E-1,-6.673710048E-2
5.813414590E-1,-1.912247986E-1,-6.636925340E-1,-6.673710048E-2
5.833459380E-1,-1.922900528E-1,-6.626272202E-1,-6.567183137E-2
5.853504170E-1,-1.901595294E-1,-6.615619659E-1,-7.206341624E-2
5.873548960E-1,-1.901595294E-1,-6.551703811E-1,-7.099814713E-2
5.893593750E-1,-1.858984828E-1,-6.583662033E-1,-7.525920868E-2
5.913638540E-1,-1.912247986E-1,-6.562356353E-1,-7.419393957E-2
5.933683340E-1,-1.848332137E-1,-6.541051269E-1,-7.845499367E-2
5.953728130E-1,-1.858984828E-1,-6.487787962E-1,-8.271604776E-2
5.973772920E-1,-1.890942603E-1,-6.434525251E-1,-8.165078610E-2
5.993817710E-1,-1.869637370E-1,-6.487787962E-1,-8.484657854E-2
