"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,1.013095379E0,8.729603767E0,4.654838562E0
2.000625000E-3,1.017886400E0,8.710439682E0,4.674002171E0
4.001823000E-3,9.843496680E-1,8.710439682E0,4.678793430E0
6.003802000E-3,9.747677445E-1,8.672111511E0,4.674002171E0
8.006667000E-3,9.603948593E-1,8.662529945E0,4.693166256E0
1.001052100E-2,9.172762632E-1,8.662529945E0,4.697957039E0
1.201541700E-2,8.645757437E-1,8.633784294E0,4.669211388E0
1.402135400E-2,8.406209350E-1,8.619411469E0,4.683584213E0
1.602828100E-2,7.879204154E-1,8.600247383E0,4.674002171E0
1.803609400E-2,7.352198958E-1,8.600247383E0,4.654838562E0
2.004651100E-2,6.873103380E-1,8.595456123E0,4.640465736E0
2.205697900E-2,6.585645676E-1,8.600247383E0,4.611720085E0
2.406744800E-2,6.346098185E-1,8.614620209E0,4.568601131E0
2.607817700E-2,6.585645676E-1,8.605038643E0,4.568601131E0
2.808895900E-2,6.537736058E-1,8.600247383E0,4.511109829E0
3.009692700E-2,6.873103380E-1,8.614620209E0,4.520691872E0
3.210276100E-2,6.825193763E-1,8.633784294E0,4.525482655E0
3.410859400E-2,6.921012998E-1,8.628993034E0,4.535064697E0
3.611442700E-2,7.208470106E-1,8.628993034E0,4.530273914E0
3.812031300E-2,6.968922615E-1,8.609828949E0,4.535064697E0
4.012625000E-2,7.016831636E-1,8.600247383E0,4.559019566E0
4.213224000E-2,7.256379724E-1,8.605038643E0,4.573392391E0
4.413822900E-2,7.064741254E-1,8.590665817E0,4.568601131E0
4.614349000E-2,7.016831636E-1,8.581083298E0,4.568601131E0
4.814791700E-2,7.256379724E-1,8.566710472E0,4.582974434E0
5.015234400E-2,7.304289341E-1,8.571501732E0,4.587765217E0
5.215677100E-2,7.256379724E-1,8.609828949E0,4.573392391E0
5.416119800E-2,7.400108576E-1,8.614620209E0,4.563810349E0
5.616562500E-2,7.208470106E-1,8.609828949E0,4.549437523E0
5.817005200E-2,7.256379724E-1,8.619411469E0,4.515900612E0
6.017447900E-2,7.448018193E-1,8.624202728E0,4.520691872E0
6.217890600E-2,7.400108576E-1,8.619411469E0,4.501527786E0
6.418333400E-2,7.304289341E-1,8.628993034E0,4.482364178E0
6.618776100E-2,7.495927811E-1,8.643365860E0,4.491946220E0
6.819218800E-2,7.400108576E-1,8.638575554E0,4.501527786E0
7.019661500E-2,7.112650871E-1,8.657738686E0,4.501527786E0
7.220104200E-2,7.208470106E-1,8.643365860E0,4.491946220E0
7.420546900E-2,7.160560489E-1,8.652948380E0,4.511109829E0
7.620989600E-2,7.112650871E-1,8.667321205E0,4.530273914E0
7.821432300E-2,7.256379724E-1,8.643365860E0,4.544646740E0
8.021875000E-2,7.064741254E-1,8.657738686E0,4.549437523E0
8.222317700E-2,7.064741254E-1,8.672111511E0,4.559019566E0
8.422760400E-2,7.448018193E-1,8.676902771E0,4.568601131E0
8.623203100E-2,7.495927811E-1,8.696066856E0,4.568601131E0
8.823645900E-2,7.591747046E-1,8.729603767E0,4.573392391E0
9.024093800E-2,7.831294537E-1,8.748766899E0,4.563810349E0
9.224541700E-2,8.022933006E-1,8.791885376E0,4.559019566E0
9.424989600E-2,8.166661859E-1,8.791885376E0,4.578183174E0
9.625437500E-2,8.358299732E-1,8.806258202E0,4.559019566E0
9.825885400E-2,8.214571476E-1,8.806258202E0,4.582974434E0
1.002633860E-1,8.406209350E-1,8.825422287E0,4.597347260E0
1.022679170E-1,8.358299732E-1,8.815840721E0,4.597347260E0
1.042724480E-1,8.502028584E-1,8.815840721E0,4.597347260E0
1.062769790E-1,8.502028584E-1,8.811049461E0,4.602138042E0
1.082815110E-1,8.549938202E-1,8.820631981E0,4.602138042E0
1.102860420E-1,8.406209350E-1,8.787095070E0,4.630883694E0
1.122905730E-1,8.406209350E-1,8.767930984E0,4.621301651E0
1.142951040E-1,8.358299732E-1,8.748766899E0,4.616510868E0
1.162996360E-1,8.262480497E-1,8.748766899E0,4.621301651E0
1.183041670E-1,8.118752241E-1,8.739185333E0,4.630883694E0
1.203086980E-1,8.022933006E-1,8.715229988E0,4.621301651E0
1.223132290E-1,8.070842624E-1,8.700857162E0,4.630883694E0
1.243177610E-1,7.927113771E-1,8.720021248E0,4.616510868E0
1.263222920E-1,7.927113771E-1,8.705648422E0,4.635674953E0
1.283268230E-1,7.927113771E-1,8.715229988E0,4.621301651E0
1.303313540E-1,7.927113771E-1,8.724812508E0,4.616510868E0
1.323358860E-1,7.831294537E-1,8.705648422E0,4.621301651E0
1.343404170E-1,7.975023389E-1,8.720021248E0,4.621301651E0
1.363449480E-1,8.166661859E-1,8.724812508E0,4.611720085E0
1.383494790E-1,8.166661859E-1,8.739185333E0,4.606928825E0
1.403540110E-1,8.502028584E-1,8.763139725E0,4.597347260E0
1.423585420E-1,8.502028584E-1,8.753558159E0,4.578183174E0
1.443630730E-1,8.693667054E-1,8.763139725E0,4.573392391E0
