"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.598000005E-2,-3.982500434E-1,-4.619000852E-1,6.116762385E-2
5.592299998E-2,-3.550703526E-1,-3.775708377E-1,3.599669784E-3
6.586500001E-2,-2.895993888E-1,-2.957076430E-1,-6.313132495E-2
7.580800005E-2,-2.083276957E-1,-2.563650012E-1,-1.259076297E-1
8.574999997E-2,-1.439409107E-1,-2.618348598E-1,-1.896023452E-1
9.569300001E-2,-8.562381566E-2,-2.744664848E-1,-2.432493418E-1
1.056350000E-1,-4.306938127E-2,-3.100268245E-1,-2.649186254E-1
1.155780000E-1,-1.009997725E-2,-3.667921126E-1,-2.715557516E-1
1.255200000E-1,4.323313013E-3,-4.270084798E-1,-2.647006810E-1
1.354630000E-1,-2.963894047E-3,-4.994898736E-1,-2.479653656E-1
1.454050000E-1,-3.040552139E-2,-5.762916803E-1,-2.362196445E-1
1.553480000E-1,-8.032434434E-2,-6.601117253E-1,-2.269166857E-1
1.652910000E-1,-1.503441185E-1,-7.279945612E-1,-2.230665088E-1
1.752330000E-1,-2.241722792E-1,-7.688533068E-1,-2.326450944E-1
1.851760000E-1,-2.999082804E-1,-7.985644341E-1,-2.382770926E-1
1.951180000E-1,-3.634529114E-1,-8.135412335E-1,-2.395146638E-1
2.050610000E-1,-4.173970222E-1,-8.004220724E-1,-2.335805744E-1
2.150030000E-1,-4.622108340E-1,-7.672023177E-1,-2.423431724E-1
2.249460000E-1,-4.936249554E-1,-7.391015291E-1,-2.505323291E-1
2.348879999E-1,-5.134404302E-1,-7.294965386E-1,-2.644308209E-1
2.448310000E-1,-5.142098069E-1,-7.270373702E-1,-2.900061905E-1
2.547730000E-1,-5.105404854E-1,-6.980949044E-1,-3.369739652E-1
2.647160001E-1,-5.001640320E-1,-6.643265486E-1,-4.113478363E-1
2.746580000E-1,-5.024916530E-1,-6.418347955E-1,-4.759244323E-1
2.846010000E-1,-5.173978806E-1,-6.084899902E-1,-5.330343246E-1
2.945430001E-1,-5.418571830E-1,-5.917307138E-1,-5.866144896E-1
3.044860000E-1,-5.836271644E-1,-5.881192684E-1,-5.954686403E-1
3.144290000E-1,-6.307792068E-1,-5.726244450E-1,-5.692775249E-1
3.243710001E-1,-6.813534498E-1,-5.529665947E-1,-5.315754414E-1
3.343140000E-1,-7.281550765E-1,-5.068054795E-1,-4.829508960E-1
3.442560000E-1,-7.839035988E-1,-4.569369853E-1,-4.114368260E-1
3.541990001E-1,-8.322410583E-1,-4.050972164E-1,-3.449081481E-1
3.641410000E-1,-8.613867164E-1,-3.659621775E-1,-2.858814895E-1
3.740840000E-1,-8.546385169E-1,-3.648194075E-1,-2.380063981E-1
