"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.533631287E0,8.257278900E0,5.888305206E0
9.942000033E-3,-2.360142059E0,8.186625824E0,5.750142517E0
1.988499996E-2,-2.127376099E0,8.068072357E0,5.569767609E0
2.982800000E-2,-1.862277374E0,7.987839203E0,5.523962860E0
3.977000003E-2,-1.621877289E0,7.957153015E0,5.553750916E0
4.971299996E-2,-1.417103119E0,7.931556244E0,5.585634613E0
5.965499999E-2,-1.259929962E0,7.869734802E0,5.630690918E0
6.959800003E-2,-1.128802643E0,7.765401764E0,5.586383057E0
7.953999995E-2,-1.074914703E0,7.588320007E0,5.489983521E0
8.948299999E-2,-1.061742096E0,7.413633270E0,5.402714996E0
9.942500002E-2,-1.247356110E0,7.339237976E0,5.192851410E0
1.093680001E-1,-1.453028412E0,7.448810120E0,5.054688721E0
1.193100000E-1,-1.589843903E0,7.496710510E0,4.968018951E0
1.292530000E-1,-1.741179199E0,7.364984436E0,4.818180542E0
1.391950001E-1,-1.839524689E0,7.270830231E0,4.713398438E0
1.491380000E-1,-1.859582977E0,7.212301941E0,4.582869873E0
1.590810000E-1,-1.872755585E0,7.107819214E0,4.480333099E0
1.690230001E-1,-1.816622314E0,7.086114349E0,4.383484497E0
1.789660000E-1,-1.818268890E0,7.039261780E0,4.305796051E0
1.889080000E-1,-1.874402161E0,6.998097382E0,4.396208038E0
1.988510001E-1,-1.916315002E0,6.991211700E0,4.586761780E0
2.087930000E-1,-1.994452515E0,6.993906097E0,4.744683380E0
2.187360000E-1,-2.045945435E0,6.941515045E0,4.838538208E0
2.286780000E-1,-2.085014191E0,6.872807922E0,4.940925293E0
2.386210000E-1,-2.194137268E0,6.895111542E0,5.177882538E0
2.485630000E-1,-2.187550964E0,7.039261780E0,5.445675659E0
2.585060000E-1,-2.108066254E0,7.054230652E0,5.516478424E0
2.684480000E-1,-2.059716797E0,6.961872711E0,5.660329285E0
2.783910000E-1,-1.982776794E0,7.009922791E0,5.789211273E0
2.883330000E-1,-1.990560608E0,6.966962128E0,5.782175903E0
2.982760000E-1,-2.168241119E0,6.894812164E0,5.754782867E0
3.082190000E-1,-2.265838165E0,6.993157654E0,5.742957458E0
3.181610000E-1,-2.298470306E0,7.062014465E0,5.670208740E0
3.281040000E-1,-2.307900696E0,7.053931274E0,5.745202789E0
3.380460000E-1,-2.250420227E0,7.031627655E0,5.773643646E0
3.479890000E-1,-2.105970612E0,6.978188782E0,5.822591858E0
3.579309999E-1,-2.060016174E0,6.856192474E0,5.870641937E0
