"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.693077083E-1,-1.869322538E0,-2.236888409E0,7.785845399E-1
7.792507083E-1,-1.590636015E0,-1.854842782E0,6.768723130E-1
7.891927083E-1,-1.230584741E0,-1.399984121E0,5.103911757E-1
7.991357083E-1,-8.420201540E-1,-8.909783959E-1,2.779009342E-1
8.090787083E-1,-4.925913513E-1,-3.783091903E-1,1.368471887E-2
8.190207083E-1,-2.203771323E-1,4.648069665E-2,-2.517613173E-1
8.289637082E-1,-3.343625367E-2,3.659093082E-1,-4.541592002E-1
8.389057083E-1,6.472572684E-2,5.871626139E-1,-5.828564763E-1
8.488487083E-1,8.697035909E-2,6.556136608E-1,-6.452438235E-1
8.587917082E-1,5.061634630E-2,5.770400167E-1,-6.391164660E-1
8.687337083E-1,-1.129510812E-2,4.005199671E-1,-6.047840118E-1
8.786767083E-1,-4.561259970E-2,2.178388387E-1,-5.497817397E-1
8.886187082E-1,-2.024051547E-2,9.681882709E-2,-4.861362576E-1
8.985617083E-1,4.639257491E-2,3.640901297E-2,-4.333244264E-1
9.085047083E-1,1.433361620E-1,4.162987322E-2,-3.791293800E-1
9.184467082E-1,2.629632354E-1,1.199728847E-1,-3.170979619E-1
9.283897083E-1,3.826729655E-1,2.645048499E-1,-2.370224297E-1
9.383317083E-1,4.810788929E-1,4.118990898E-1,-1.627407372E-1
9.482747082E-1,5.388786793E-1,4.974683225E-1,-9.449347854E-2
9.582177083E-1,5.506392121E-1,5.047150850E-1,-4.384148866E-2
9.681597083E-1,5.142990351E-1,4.504815042E-1,-2.497909963E-2
9.781027082E-1,4.421688914E-1,3.975634277E-1,-4.138097540E-2
9.880447083E-1,3.830919862E-1,4.003986716E-1,-6.207823753E-2
9.979877083E-1,3.548430502E-1,4.682711959E-1,-8.650767803E-2
1.007930708E0,3.310140073E-1,5.674522519E-1,-1.090635359E-1
1.017872708E0,2.819953263E-1,6.373000145E-1,-1.328048110E-1
1.027815708E0,1.516848207E-1,6.494581103E-1,-1.677445471E-1
1.037757708E0,-4.842671007E-2,5.787269473E-1,-1.727803200E-1
1.047700708E0,-3.076460063E-1,4.316975176E-1,-1.381408721E-1
1.057643708E0,-5.956312418E-1,2.391749471E-1,-7.260820270E-2
1.067585708E0,-8.657748699E-1,4.260983318E-2,2.405678667E-2
1.077528708E0,-1.066695094E0,-1.354951859E-1,1.391149312E-1
1.087471708E0,-1.187723041E0,-3.019030690E-1,2.515343726E-1
1.097413708E0,-1.221929431E0,-4.654672444E-1,3.498747945E-1
1.107356708E0,-1.143168569E0,-5.580310225E-1,4.446176589E-1
1.117298708E0,-9.388125539E-1,-5.556017160E-1,5.400354862E-1
1.127241708E0,-6.262404323E-1,-4.417331815E-1,6.265332103E-1
1.137184708E0,-2.549124062E-1,-2.725548148E-1,7.210016847E-1
1.147126708E0,1.345403939E-1,-7.481347024E-2,8.102845550E-1
1.157069708E0,4.773832262E-1,8.477965742E-2,8.890294433E-1
1.167011708E0,7.753036618E-1,1.651528478E-1,9.610783458E-1
1.176954708E0,9.751675129E-1,2.264822572E-1,1.010762453E0
1.186897708E0,1.075837493E0,2.592065036E-1,1.032481909E0
1.196839708E0,1.092984438E0,2.305548638E-1,1.028000116E0
1.206782708E0,1.024448395E0,1.465140581E-1,9.677479267E-1
1.216724708E0,9.007825851E-1,4.299299419E-2,8.654822707E-1
1.226667708E0,7.503327727E-1,-7.272849232E-2,7.399296761E-1
1.236610708E0,5.881457329E-1,-1.882582903E-1,5.917506218E-1
1.246552708E0,4.421512485E-1,-2.481696308E-1,4.533046186E-1
1.256495708E0,3.180972040E-1,-2.280116230E-1,3.340748847E-1
1.266437708E0,2.061056644E-1,-1.385114789E-1,2.412466258E-1
1.276380708E0,9.077054262E-2,-8.204080164E-3,1.725634336E-1
1.286323708E0,-1.733447984E-2,1.579580158E-1,1.355840415E-1
1.296265708E0,-1.168093979E-1,3.402008116E-1,1.261037141E-1
1.306208708E0,-1.987624764E-1,5.170678496E-1,1.435491145E-1
1.316150708E0,-2.833364606E-1,6.608202457E-1,1.570859551E-1
1.326093708E0,-3.643630147E-1,7.160502076E-1,1.641698778E-1
1.336036708E0,-4.532462955E-1,7.168017626E-1,1.573519260E-1
1.345978708E0,-5.222769380E-1,7.266877890E-1,1.383255422E-1
1.355921708E0,-5.585728884E-1,7.484559417E-1,1.134883687E-1
1.365863708E0,-5.362168550E-1,7.387653589E-1,9.836153686E-2
1.375806708E0,-4.710474312E-1,7.198827267E-1,8.286432922E-2
1.385749708E0,-3.929440975E-1,6.674781442E-1,6.209350377E-2
1.395691708E0,-3.155704737E-1,5.523529053E-1,4.433607683E-2
1.405634708E0,-2.694640160E-1,2.996811569E-1,3.887095675E-2
1.415576708E0,-2.493616939E-1,2.307489663E-1,5.059951916E-2
1.425519708E0,-2.459671795E-1,3.029732704E-1,8.276923746E-2
1.435462708E0,-2.404997051E-1,3.313641548E-1,1.403390616E-1
1.445404708E0,-2.320949733E-1,2.744721174E-1,2.100979537E-1
1.455347708E0,-2.603018582E-1,2.121916860E-1,2.781513035E-1
1.465290708E0,-3.102988005E-1,1.522375643E-1,3.320059180E-1
1.475232708E0,-3.680031300E-1,1.507941335E-1,3.659260571E-1
1.485175708E0,-4.055331349E-1,2.185135931E-1,3.890140951E-1
1.495117708E0,-3.868888617E-1,3.075118959E-1,4.013519883E-1
1.505060708E0,-2.854475081E-1,4.102686048E-1,4.118615687E-1
1.515003708E0,-1.193000749E-1,5.316767693E-1,4.476230145E-1
1.524945708E0,5.228107795E-2,6.873463988E-1,5.137952566E-1
1.534888708E0,1.790656447E-1,8.078504801E-1,5.820654035E-1
1.544830708E0,2.515996993E-1,8.299568295E-1,6.253861785E-1
1.554773333E0,2.712104321E-1,7.989248633E-1,6.535542011E-1
1.564716333E0,2.483570725E-1,7.990387082E-1,6.986182928E-1
1.574658333E0,1.875182092E-1,8.082602024E-1,7.804404497E-1
1.584601333E0,5.856922641E-2,7.897869945E-1,8.801819682E-1
1.594543333E0,-1.748216897E-1,6.869143844E-1,9.246658087E-1
1.604486333E0,-5.243573785E-1,4.648745954E-1,8.721883297E-1
1.614429333E0,-9.166615009E-1,2.104463130E-1,7.455486059E-1
1.624371333E0,-1.265694976E0,1.331308484E-2,6.127707958E-1
1.634314333E0,-1.530348778E0,-3.167516366E-2,4.999268353E-1
1.644256333E0,-1.733826756E0,4.480877519E-2,3.850321472E-1
1.654199333E0,-1.894007325E0,8.836025000E-2,1.395850778E-1
1.664142333E0,-2.022514105E0,-8.774895966E-2,-2.673535645E-1
1.674084333E0,-2.074645042E0,-4.793452024E-1,-6.532559991E-1
1.684027333E0,-2.012450933E0,-8.418542743E-1,-9.297975898E-1
1.693969333E0,-1.891027093E0,-1.062207341E0,-1.074535131E0
1.703912333E0,-1.710730195E0,-1.038555026E0,-1.095716000E0
1.713855333E0,-1.463147759E0,-7.842694521E-1,-1.022191763E0
1.723797333E0,-1.154587865E0,-3.959277570E-1,-8.664982319E-1
1.733740333E0,-8.293091059E-1,1.181049496E-1,-6.659563184E-1
1.743682333E0,-5.756646395E-1,6.822760701E-1,-4.652197957E-1
1.753625333E0,-3.913749158E-1,9.409518242E-1,-2.580386400E-1
1.763568333E0,-2.351430207E-1,9.469245672E-1,-7.507924736E-2
1.773510333E0,-1.203956679E-1,8.279220462E-1,3.503394127E-2
1.783453333E0,-6.167455763E-2,6.395434141E-1,2.986420318E-2
1.793395333E0,-2.365713567E-2,4.316705763E-1,-5.132519081E-2
1.803338333E0,3.372547030E-2,2.423398793E-1,-1.505489945E-1
1.813281333E0,1.141345501E-1,1.047183797E-1,-2.177906036E-1
1.823223333E0,2.146692723E-1,5.306359846E-3,-2.424865663E-1
1.833166333E0,3.296938837E-1,-4.308034852E-2,-2.226111293E-1
1.843109333E0,4.403921068E-1,-5.635665357E-2,-1.792701185E-1
1.853051333E0,5.372547507E-1,-5.242955685E-2,-1.206020191E-1
1.862994333E0,6.154204011E-1,-4.743147641E-2,-5.081545189E-2
1.872936333E0,6.740754247E-1,-7.825091481E-2,4.134403542E-2
1.882879333E0,6.794442534E-1,-1.885412633E-1,1.337042749E-1
1.892822333E0,6.383530498E-1,-3.712087870E-1,2.300188243E-1
1.902764333E0,5.623990297E-1,-5.997080207E-1,3.199379146E-1
1.912707333E0,4.625006318E-1,-8.798502088E-1,3.747622669E-1
1.922649333E0,3.612605333E-1,-1.174170375E0,3.816947043E-1
1.932592333E0,3.095901608E-1,-1.387142301E0,3.406654894E-1
1.942534333E0,3.191139698E-1,-1.520397067E0,2.677485347E-1
1.952477333E0,3.992945552E-1,-1.583653092E0,1.892419904E-1
1.962420333E0,5.261246562E-1,-1.538595676E0,1.101455837E-1
1.972362333E0,6.765037775E-1,-1.437260509E0,3.324734420E-2
1.982305333E0,8.117423654E-1,-1.316503882E0,-4.454407841E-2
1.992247333E0,9.065567255E-1,-1.182528853E0,-1.184332222E-1
2.002190333E0,9.700054526E-1,-1.012860656E0,-1.959880143E-1
2.012133333E0,9.964613318E-1,-8.656010032E-1,-2.704497278E-1
2.022075333E0,9.432592392E-1,-8.481881022E-1,-3.387809694E-1
2.032018333E0,8.243517876E-1,-8.803327680E-1,-3.898715675E-1
2.041960333E0,6.269345880E-1,-9.413863420E-1,-4.470975399E-1
2.051903333E0,3.656914830E-1,-9.747325778E-1,-5.385068059E-1
2.061846333E0,9.565143287E-2,-8.406561017E-1,-6.518443823E-1
2.071788333E0,-1.381799579E-1,-6.080718637E-1,-7.604539394E-1
2.081731333E0,-3.158097565E-1,-3.744102120E-1,-8.382679820E-1
2.091673333E0,-4.524688125E-1,-1.892094463E-1,-8.790239096E-1
2.101616333E0,-5.523300767E-1,-8.873539418E-2,-8.824287057E-1
2.111559333E0,-6.933724284E-1,-1.436042339E-1,-8.561283946E-1
2.121501333E0,-9.120569229E-1,-3.163062632E-1,-8.340026140E-1
2.131444333E0,-1.180205464E0,-5.010540485E-1,-8.401763439E-1
