"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-9.855505371E-1,6.979835358E0,5.370531921E0
9.942000033E-3,-4.773573303E-1,6.808591461E0,5.429060211E0
1.988300006E-2,-6.047424316E-2,6.582112427E0,5.721701660E0
2.982499998E-2,3.128494263E-1,6.408024445E0,5.837710419E0
3.976700001E-2,6.378236389E-1,6.215225372E0,5.867498474E0
4.970800004E-2,6.474037170E-1,6.146817627E0,5.901178436E0
5.964999995E-2,4.089495850E-1,6.265670471E0,5.916895752E0
6.959199999E-2,1.080752563E-1,6.411018219E0,5.917494507E0
7.953300001E-2,-2.165995789E-1,6.505471802E0,5.841602325E0
8.947500004E-2,-4.340972900E-1,6.608757019E0,5.649252319E0
9.941599995E-2,-5.176235962E-1,6.740034027E0,5.416186981E0
1.093580000E-1,-4.948709106E-1,6.780599670E0,5.430557098E0
1.193000000E-1,-3.891906738E-1,6.768474884E0,5.561983795E0
1.292410000E-1,-3.409909058E-1,6.686295776E0,5.672903137E0
1.391830000E-1,-2.713856506E-1,6.531218262E0,5.647755432E0
1.491250000E-1,-2.618055725E-1,6.409671021E0,5.530399475E0
1.590660000E-1,-3.817062378E-1,6.450685730E0,5.481151886E0
1.690080001E-1,-5.607339478E-1,6.611002350E0,5.619314575E0
1.789500000E-1,-7.840695190E-1,6.816524963E0,5.891149292E0
1.888910000E-1,-1.064735870E0,7.101831665E0,6.487509155E0
1.988330000E-1,-1.364712067E0,7.363637238E0,7.418722687E0
2.087749999E-1,-1.660946045E0,7.512577515E0,8.321195984E0
2.187160000E-1,-1.809886322E0,7.526199188E0,9.074429626E0
2.286580000E-1,-1.731748810E0,7.438182220E0,9.510472870E0
2.386000000E-1,-1.459165649E0,7.329957275E0,9.711205444E0
2.485409999E-1,-1.142424316E0,7.239096222E0,9.879754944E0
2.584830000E-1,-8.231382751E-1,7.143894196E0,9.846823425E0
2.684250000E-1,-7.993377686E-1,6.890920258E0,9.747430115E0
2.783660000E-1,-1.153351593E0,6.744375000E0,9.813442841E0
2.883080000E-1,-1.638792114E0,7.158863068E0,1.002570145E1
2.982490000E-1,-1.929936676E0,7.791148224E0,1.005878265E1
3.081910000E-1,-2.067500610E0,8.054151306E0,1.012823822E1
3.181330001E-1,-2.102527771E0,8.082592163E0,1.050365753E1
3.280736667E-1,-2.058369598E0,8.023315430E0,1.102217926E1
3.380156667E-1,-1.710493011E0,7.948920135E0,1.147109573E1
3.479576666E-1,-1.103056183E0,7.794890442E0,1.178993271E1
3.578986666E-1,-4.285588074E-1,7.458839264E0,1.169503006E1
3.678406667E-1,8.816665649E-2,7.117399292E0,1.118519028E1
3.777826667E-1,3.062631226E-1,6.782545624E0,1.068642746E1
3.877236666E-1,2.064207458E-1,6.398144989E0,1.018467087E1
3.976656666E-1,-6.586303711E-2,6.064937897E0,9.606573029E0
4.076076667E-1,-4.346960449E-1,5.775290222E0,8.997938690E0
4.175486667E-1,-8.253836060E-1,5.608387299E0,8.330326996E0
4.274906666E-1,-1.087338867E0,5.647456055E0,7.615862732E0
4.374326667E-1,-1.271905060E0,5.672753448E0,7.260801086E0
4.473736667E-1,-1.512903900E0,5.582940216E0,7.151228943E0
4.573156667E-1,-1.614841919E0,5.673801270E0,7.111262054E0
4.672576666E-1,-1.658401337E0,5.812712402E0,6.961573334E0
4.771986667E-1,-1.570683746E0,5.905968475E0,6.942263489E0
4.871406667E-1,-1.104702759E0,6.038293304E0,7.060068512E0
4.970826667E-1,-6.147715759E-1,5.966143341E0,7.153174896E0
5.070236666E-1,-2.095642090E-1,5.807922363E0,7.373666382E0
5.169656667E-1,-4.775070190E-2,5.735772400E0,7.948620758E0
5.269066667E-1,-1.377136230E-1,5.654641113E0,8.378676453E0
5.368486666E-1,-1.981878662E-1,5.600154419E0,8.410709839E0
5.467906666E-1,-1.854643250E-1,5.545368347E0,8.215815125E0
5.567316667E-1,-2.273771667E-1,5.428461456E0,8.309370575E0
5.666736667E-1,-3.547622681E-1,5.269192657E0,8.295299835E0
5.766156666E-1,-5.122348022E-1,5.182822266E0,8.106692047E0
5.865566666E-1,-6.489006042E-1,5.117557983E0,7.854017487E0
5.964986667E-1,-7.725434875E-1,5.029241638E0,7.554041290E0
6.064406667E-1,-8.069718933E-1,4.962181091E0,7.082970886E0
6.163816666E-1,-7.325765991E-1,5.008584595E0,6.715784454E0
6.263236667E-1,-7.089257812E-1,5.051395569E0,6.611451416E0
6.362656667E-1,-7.565267944E-1,5.021457825E0,6.574927368E0
6.462066667E-1,-8.065228271E-1,5.010680237E0,6.533912659E0
6.561486666E-1,-8.387059021E-1,5.042414246E0,6.567442932E0
6.660906667E-1,-8.753796387E-1,4.999004517E0,6.649472351E0
6.760316667E-1,-7.978408813E-1,4.909191284E0,6.766528931E0
6.859736667E-1,-5.557942200E-1,4.879103851E0,6.895111542E0
6.959156666E-1,-2.174977112E-1,4.851411438E0,7.081324310E0
7.058566667E-1,8.831634521E-2,4.896018677E0,7.243137817E0
7.157986667E-1,3.701802063E-1,4.975204010E0,7.359595642E0
7.257406666E-1,4.974156189E-1,4.969515839E0,7.641758881E0
7.356816666E-1,5.409750366E-1,4.881349182E0,7.932604065E0
7.456236667E-1,5.090913391E-1,4.804858246E0,8.121810608E0
7.555656667E-1,4.806504822E-1,4.652624817E0,8.042475586E0
7.655066666E-1,4.827461243E-1,4.446503448E0,7.835306396E0
7.754486667E-1,5.051994324E-1,4.129163361E0,7.906109161E0
7.853906667E-1,5.803431702E-1,3.779041443E0,8.072712708E0
