"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.473800003E-2,-5.902875066E-1,-4.079863727E-1,1.945399195E-1
5.467999994E-2,-5.186953545E-1,-4.782320857E-1,2.558852434E-1
6.462299998E-2,-4.460345209E-1,-4.695419073E-1,2.376444489E-1
7.456500002E-2,-3.908408284E-1,-4.079759121E-1,1.641116142E-1
8.450799994E-2,-3.558841348E-1,-2.441078573E-1,6.210348383E-2
9.445099998E-2,-3.175094724E-1,-3.267782554E-2,-5.565979332E-2
1.043930000E-1,-2.503940761E-1,1.439129114E-1,-1.710010320E-1
1.143359999E-1,-1.387961954E-1,2.881767154E-1,-2.726059556E-1
1.242780000E-1,-7.086628117E-3,3.703376353E-1,-3.353793323E-1
1.342210000E-1,1.011972129E-1,3.202780783E-1,-3.489688933E-1
1.441629999E-1,1.587601006E-1,2.049959451E-1,-3.271704018E-1
1.541060000E-1,1.718736142E-1,6.994488090E-2,-2.859834135E-1
1.640480000E-1,1.606406718E-1,-4.485253617E-2,-2.496225089E-1
1.739909999E-1,1.365885139E-1,-1.232641861E-1,-2.326870263E-1
1.839330000E-1,1.168491766E-1,-1.848204881E-1,-2.578392625E-1
1.938760000E-1,8.860922605E-2,-2.392795384E-1,-3.126791120E-1
2.038179999E-1,4.274053872E-2,-2.796778381E-1,-3.600769937E-1
2.137610000E-1,-2.724312991E-2,-3.060574234E-1,-4.140055180E-1
2.237030000E-1,-1.257254928E-1,-3.155710101E-1,-4.638167620E-1
2.336459999E-1,-2.527304590E-1,-2.947235405E-1,-5.080072880E-1
2.435880000E-1,-3.878230155E-1,-2.629219294E-1,-5.360271931E-1
2.535310000E-1,-5.269415379E-1,-2.335212231E-1,-5.461149812E-1
2.634730000E-1,-6.483191252E-1,-2.109663785E-1,-5.046365261E-1
2.734160000E-1,-7.403534055E-1,-1.922101378E-1,-4.091552794E-1
2.833580000E-1,-7.821037769E-1,-1.910143793E-1,-2.546482682E-1
2.933010000E-1,-7.505425811E-1,-2.454434931E-1,-6.365851313E-2
3.032429999E-1,-6.310851574E-1,-3.170947731E-1,9.347304702E-2
