"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.759291534E0,8.976533203E0,6.158193970E0
9.942000033E-3,-2.048639832E0,9.045390015E0,5.666017456E0
1.988499996E-2,-2.241139526E0,8.954678650E0,5.643564148E0
2.982699999E-2,-2.308349762E0,8.469387817E0,5.320685577E0
3.977000003E-2,-2.239492950E0,7.999514923E0,5.053940277E0
4.971199995E-2,-1.954485626E0,7.851921844E0,5.053042145E0
5.965499999E-2,-1.615740051E0,7.655829620E0,4.883295135E0
6.959700002E-2,-1.291963348E0,7.418423309E0,4.775968323E0
7.953999995E-2,-1.043629761E0,7.265441437E0,4.857099609E0
8.948299999E-2,-7.670050049E-1,7.113657074E0,4.821324005E0
9.942500002E-2,-5.379812622E-1,6.915469208E0,4.886438599E0
1.093679999E-1,-5.498066711E-1,6.774911499E0,5.155429230E0
1.193100000E-1,-8.659492493E-1,6.686894531E0,5.129383392E0
1.292530000E-1,-1.274449768E0,6.764133911E0,4.902006226E0
1.391949999E-1,-1.637444916E0,6.907535706E0,4.837939453E0
1.491380000E-1,-1.892065430E0,7.037166138E0,4.639452209E0
1.590800000E-1,-2.037263489E0,7.193590851E0,4.460125122E0
1.690229999E-1,-2.073787537E0,7.356601868E0,4.328099670E0
1.789650000E-1,-1.980232086E0,7.348518677E0,4.262835388E0
1.889080000E-1,-1.858385468E0,7.194788361E0,4.355492706E0
1.988499999E-1,-1.757345581E0,7.164551239E0,4.539609833E0
2.087930000E-1,-1.751807098E0,7.309449921E0,4.637655945E0
2.187350000E-1,-1.809736633E0,7.557035065E0,4.661306763E0
2.286779999E-1,-1.884880371E0,7.775730286E0,4.747078400E0
2.386200000E-1,-1.996997223E0,7.981851654E0,4.869074707E0
2.485630000E-1,-2.100881195E0,8.186625824E0,5.100493469E0
2.585050000E-1,-2.210902405E0,8.258626099E0,5.440137177E0
2.684480000E-1,-2.337688751E0,8.326135712E0,5.827232208E0
2.783900000E-1,-2.405348053E0,8.409662018E0,6.145320740E0
2.883330000E-1,-2.469414825E0,8.500373383E0,6.469696198E0
2.982750000E-1,-2.438429260E0,8.720864868E0,6.986870728E0
3.082180000E-1,-2.403402100E0,8.914412384E0,7.549101563E0
3.181600000E-1,-2.360740814E0,9.180708618E0,8.283923492E0
3.281029999E-1,-2.381248169E0,9.404792633E0,9.125174103E0
3.380450000E-1,-2.576591949E0,9.466165009E0,9.902058563E0
3.479880000E-1,-2.810405731E0,9.511820068E0,1.013213013E1
3.579299999E-1,-2.937491455E0,9.456135864E0,1.006432114E1
3.678730000E-1,-3.003803558E0,9.290879517E0,1.030487091E1
3.778150000E-1,-3.003953247E0,8.969348145E0,1.049332901E1
3.877579999E-1,-3.001558228E0,8.661438446E0,1.054107971E1
3.977000000E-1,-2.962489471E0,8.441246338E0,1.047132477E1
4.076430000E-1,-3.020419006E0,8.333470459E0,1.048853897E1
4.175849999E-1,-3.291505280E0,8.374784546E0,1.044542862E1
4.275280000E-1,-3.468137970E0,8.440497894E0,1.031519943E1
4.374700000E-1,-3.532953186E0,8.324638824E0,1.030502060E1
4.474129999E-1,-3.532803497E0,8.136629791E0,1.015173935E1
4.573550000E-1,-3.443738708E0,7.869585114E0,9.831854553E0
4.672980000E-1,-3.271446991E0,7.685917053E0,9.795779572E0
4.772400000E-1,-3.163671112E0,7.616311798E0,1.020203476E1
4.871830000E-1,-3.232976990E0,7.557633820E0,1.069855225E1
4.971250000E-1,-3.389401703E0,7.514373779E0,1.089524323E1
5.070680000E-1,-3.388802948E0,7.457492065E0,1.062655197E1
5.170100000E-1,-3.104095001E0,7.252717896E0,1.010353958E1
5.269530000E-1,-2.483335876E0,6.871161346E0,9.694140930E0
5.368950000E-1,-1.999990997E0,6.433621216E0,9.068891144E0
5.468380000E-1,-1.684447174E0,6.004912720E0,8.730444946E0
5.567800000E-1,-1.234782257E0,5.553900604E0,8.185877380E0
5.667230000E-1,-8.876541138E-1,5.153483276E0,7.423961792E0
5.766649999E-1,-7.518864441E-1,4.771926727E0,7.085814972E0
5.866080000E-1,-8.011340332E-1,4.359234924E0,6.992109833E0
5.965500000E-1,-9.837542725E-1,4.132905579E0,7.110363922E0
6.064929999E-1,-1.236428833E0,4.130660248E0,7.398365021E0
6.164350000E-1,-1.489702148E0,4.112248535E0,7.552394714E0
