"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.844899999E-2,-1.658553928E-1,2.257546335E-1,3.479598463E-2
5.838700000E-2,-1.457474530E-1,1.830287427E-1,1.916269958E-2
6.832600001E-2,-1.379226893E-1,1.417095661E-1,-7.786089554E-5
7.826400001E-2,-1.461766213E-1,1.181440502E-1,-9.635679424E-3
8.820300002E-2,-1.576374471E-1,1.017450988E-1,-1.599207520E-2
9.814199997E-2,-1.559314281E-1,8.106885105E-2,-1.777292974E-2
1.080800000E-1,-1.509237438E-1,5.870121345E-2,-1.876486093E-2
1.180190000E-1,-1.293902248E-1,3.274417669E-2,-2.061123028E-2
1.279811666E-1,-1.017618254E-1,6.125434767E-3,-1.768552139E-2
1.379201667E-1,-8.110208064E-2,-1.547945850E-2,-1.100444794E-2
1.478591667E-1,-7.393807918E-2,-2.598552778E-2,-1.558083110E-3
1.577971667E-1,-8.961983770E-2,-2.266323380E-2,1.672451757E-2
1.677361667E-1,-1.046301648E-1,-1.946906187E-2,4.108896106E-2
1.776741667E-1,-1.181853861E-1,-1.465380099E-2,5.767140165E-2
1.876131666E-1,-1.342631429E-1,-1.676036231E-2,7.507888228E-2
1.975521666E-1,-1.343425065E-1,-2.879066020E-2,8.121347427E-2
2.074901666E-1,-1.343421936E-1,-3.439675272E-2,7.775311917E-2
2.174291667E-1,-1.236866340E-1,-5.288548395E-2,7.225209475E-2
2.273671667E-1,-1.128621921E-1,-7.702748477E-2,5.750352144E-2
2.373061667E-1,-1.037693620E-1,-1.104562879E-1,4.916436970E-2
2.472451667E-1,-8.781681210E-2,-1.436918676E-1,3.527609631E-2
2.571831667E-1,-7.540248334E-2,-1.772671342E-1,1.536523923E-2
2.671221666E-1,-5.987040326E-2,-1.968356222E-1,-5.151315592E-3
2.770601666E-1,-3.253065795E-2,-1.974936873E-1,-2.242431231E-2
2.869991667E-1,7.235939149E-3,-1.873302013E-1,-4.054737091E-2
2.969381667E-1,5.618537217E-2,-1.724513769E-1,-6.354110688E-2
3.068761667E-1,9.176088125E-2,-1.501527727E-1,-8.524613827E-2
3.168151667E-1,1.166582406E-1,-1.233627126E-1,-1.044299453E-1
3.267531667E-1,1.244268343E-1,-9.113424271E-2,-1.035433635E-1
3.366921667E-1,1.138242483E-1,-6.117820367E-2,-9.510087222E-2
3.466311666E-1,9.035397321E-2,-3.921081126E-2,-7.325839251E-2
3.565691666E-1,5.092054978E-2,-2.623802051E-2,-3.618931398E-2
3.665081667E-1,8.567508310E-3,-2.081452310E-2,8.248379454E-3
3.764461667E-1,-3.196340427E-2,-1.871835068E-2,5.891288817E-2
3.863851667E-1,-7.912479341E-2,-1.803722978E-2,1.225703284E-1
3.963241667E-1,-1.356495917E-1,-2.184155583E-2,1.814480275E-1
4.062621667E-1,-1.764120907E-1,-2.129062638E-2,1.930574328E-1
4.162011667E-1,-2.049848735E-1,-9.546352550E-3,1.991866976E-1
4.261391666E-1,-2.114100754E-1,1.711917110E-3,2.074497044E-1
4.360781666E-1,-1.966843903E-1,1.282795146E-2,2.130255699E-1
4.460171667E-1,-1.744176596E-1,1.477165334E-2,2.101529688E-1
4.559551667E-1,-1.377999932E-1,-4.681939259E-3,1.936429739E-1
4.658941667E-1,-1.175389662E-1,-1.177916024E-2,1.741265655E-1
4.758321667E-1,-1.075766087E-1,-1.475364529E-2,1.506981999E-1
4.857711667E-1,-1.050010100E-1,-8.527083322E-3,1.269138455E-1
4.957101666E-1,-1.047216430E-1,-4.899857566E-3,1.029488668E-1
5.056481666E-1,-9.043823183E-2,-4.326038994E-3,7.745844126E-2
5.155871667E-1,-6.745754182E-2,-1.217171177E-2,5.281514302E-2
5.255261667E-1,-3.849779442E-2,-2.416354232E-2,2.643449791E-2
5.354641667E-1,-5.182714667E-3,-3.804553300E-2,1.124169677E-2
5.454031667E-1,2.531469613E-2,-5.205217376E-2,-6.799146533E-3
5.553411667E-1,4.292937741E-2,-6.280601770E-2,-8.160022087E-3
5.652801667E-1,5.502746254E-2,-7.038553059E-2,-5.227956921E-3
5.752191666E-1,5.598033965E-2,-6.313613802E-2,5.888076965E-3
5.851571666E-1,4.750116169E-2,-5.597720295E-2,2.429139614E-2
5.950961667E-1,3.425273299E-2,-4.742152989E-2,4.225548357E-2
6.050341667E-1,2.277547680E-2,-4.433837533E-2,5.951458961E-2
6.149731667E-1,5.357338581E-3,-4.419483244E-2,8.234747499E-2
6.249121667E-1,-1.108043455E-2,-4.921373352E-2,1.032741368E-1
6.348501667E-1,-2.731772885E-2,-5.201830715E-2,1.231077611E-1
6.447891667E-1,-3.152211383E-2,-6.363750249E-2,1.383497566E-1
6.547271667E-1,-3.064353950E-2,-8.456489444E-2,1.439543813E-1
6.646661666E-1,-2.797206305E-2,-1.011585742E-1,1.464872062E-1
6.746051667E-1,-1.854180917E-2,-1.298970133E-1,1.431827545E-1
6.845431667E-1,-9.642703459E-3,-1.483973712E-1,1.334410310E-1
6.944821667E-1,-4.856736399E-3,-1.684629619E-1,1.250068098E-1
7.044201667E-1,8.467260748E-3,-1.741755009E-1,1.127991378E-1
7.143591667E-1,2.492106892E-2,-1.757241338E-1,1.027715355E-1
7.242981667E-1,5.182059482E-2,-1.764796674E-1,9.798583388E-2
7.342361666E-1,7.891218364E-2,-1.752804816E-1,9.674052149E-2
7.441751666E-1,1.073996499E-1,-1.732909232E-1,9.501120448E-2
7.541131667E-1,1.417158097E-1,-1.643930376E-1,8.939805627E-2
7.640521667E-1,1.784102917E-1,-1.581919938E-1,8.379697055E-2
7.739911667E-1,2.131323218E-1,-1.467326730E-1,7.486686110E-2
7.839291667E-1,2.518059015E-1,-1.378531307E-1,6.084613502E-2
7.938681667E-1,2.867742777E-1,-1.279925108E-1,4.495505244E-2
8.038061667E-1,3.146287203E-1,-1.112359762E-1,2.794378623E-2
8.137451666E-1,3.341129422E-1,-9.317760915E-2,1.309346873E-2
8.236831666E-1,3.371001184E-1,-6.792847067E-2,7.256960962E-3
8.336221667E-1,3.327248096E-1,-4.347080365E-2,-2.316037659E-3
8.435611667E-1,3.234582841E-1,-2.795363590E-2,-7.075962611E-3
8.534991667E-1,3.108569980E-1,-1.713694073E-2,-8.694099262E-3
8.634381667E-1,2.950299382E-1,-5.865042098E-3,-1.154042967E-2
8.733771667E-1,2.709424496E-1,1.227454655E-2,-9.258366190E-3
8.833151667E-1,2.411452532E-1,3.895005584E-2,-2.066179365E-2
8.932541666E-1,2.109186351E-1,6.698009372E-2,-3.148301691E-2
9.031921666E-1,1.841429174E-1,1.046520472E-1,-4.295844585E-2
9.131311667E-1,1.612759531E-1,1.428702772E-1,-5.237405002E-2
9.230691667E-1,1.449677348E-1,1.927433014E-1,-5.782991648E-2
9.330081667E-1,1.290116757E-1,2.419156432E-1,-5.851061642E-2
9.429471667E-1,1.142258197E-1,2.977476716E-1,-5.199161917E-2
9.528851667E-1,9.958162904E-2,3.490042090E-1,-4.470068216E-2
9.628241666E-1,8.692921698E-2,3.983879983E-1,-4.173498601E-2
9.727621666E-1,6.925488263E-2,4.454159737E-1,-3.950165957E-2
9.827011666E-1,4.386457056E-2,4.915955961E-1,-3.554722667E-2
9.926401667E-1,1.674772985E-2,5.428134799E-1,-3.102065250E-2
1.002578167E0,-4.378856160E-3,5.913923383E-1,-1.769623160E-2
1.012517167E0,-1.635402627E-2,6.380623579E-1,-1.820328645E-3
1.022455167E0,-1.689698361E-2,6.820879579E-1,1.468594372E-2
1.032394167E0,-1.345085353E-2,7.199359536E-1,3.776569664E-2
1.042333167E0,-8.393140510E-3,7.614931464E-1,6.249061599E-2
1.052271167E0,-6.044765003E-3,7.974652648E-1,8.896350861E-2
1.062210167E0,-1.112755388E-3,8.406546116E-1,1.138500795E-1
1.072148167E0,4.463371355E-3,8.805128336E-1,1.331161857E-1
1.082087167E0,1.389185432E-3,9.222707152E-1,1.430982053E-1
1.092026167E0,1.422741450E-3,9.566087127E-1,1.562139988E-1
1.101964167E0,3.468575422E-3,9.913914800E-1,1.683602184E-1
1.111903167E0,7.801804226E-3,1.015141845E0,1.880135536E-1
1.121841167E0,1.039418392E-2,1.047934413E0,2.121054828E-1
1.131755125E0,1.127222739E-2,1.068515301E0,2.429590076E-1
1.141694125E0,3.472989891E-3,1.097512364E0,2.747080922E-1
1.151632125E0,-9.091537446E-3,1.130366445E0,3.058201969E-1
1.161571125E0,-3.795880452E-2,1.165457487E0,3.436001539E-1
1.171509125E0,-7.511070371E-2,1.195485234E0,3.870829344E-1
1.181448125E0,-1.290095747E-1,1.232222915E0,4.414284229E-1
1.191387125E0,-1.927784383E-1,1.279249191E0,5.051869154E-1
1.201325125E0,-2.484032512E-1,1.335356474E0,5.592996478E-1
1.211264125E0,-2.959018052E-1,1.400392771E0,6.027871966E-1
1.221202125E0,-3.369357586E-1,1.473269105E0,6.361109018E-1
1.231141125E0,-3.795106709E-1,1.539713860E0,6.592785120E-1
