"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.060315552E0,8.178991699E0,5.004093933E0
9.943000041E-3,-1.975142670E0,8.216264191E0,4.705165558E0
1.988599997E-2,-1.955084381E0,8.371491394E0,4.632117462E0
2.982800000E-2,-1.985620880E0,8.509803772E0,4.784799957E0
3.977100004E-2,-2.034868469E0,8.454418945E0,5.025200043E0
4.971300007E-2,-1.863624573E0,8.350385284E0,5.187163239E0
5.965600000E-2,-1.524878998E0,8.120762787E0,5.228028259E0
6.959900004E-2,-1.095122681E0,7.872878265E0,5.385051727E0
7.954100007E-2,-7.885601807E-1,7.635471954E0,5.424419861E0
8.948400000E-2,-4.870870972E-1,7.629933472E0,5.629044342E0
9.942700004E-2,-3.255729675E-1,7.550448761E0,5.723946991E0
1.093690001E-1,-3.135978699E-1,7.475754089E0,5.621709595E0
1.193120000E-1,-4.749623108E-1,7.518415375E0,5.529052277E0
1.292540000E-1,-6.819818115E-1,7.751480713E0,5.558391266E0
1.391970001E-1,-8.804690552E-1,7.960296478E0,5.625002747E0
1.491400000E-1,-8.759783936E-1,8.216563568E0,5.626799011E0
1.590820000E-1,-6.508465576E-1,8.397836609E0,5.576054535E0
1.690250001E-1,-3.435356140E-1,8.300538940E0,5.434748383E0
1.789680000E-1,-8.173004150E-2,8.109236755E0,5.337301025E0
1.889100000E-1,6.870712280E-2,8.018974457E0,5.235961761E0
1.988571250E-1,2.002835083E-1,8.076903992E0,5.323080597E0
2.088001251E-1,2.773731995E-1,8.199199677E0,5.373675385E0
2.187421250E-1,3.478765869E-1,8.235873413E0,5.320984955E0
2.286851250E-1,4.023632813E-1,8.264314270E0,5.321284332E0
2.386281251E-1,3.894900513E-1,8.256530457E0,5.438340912E0
2.485701250E-1,3.270698547E-1,8.146509247E0,5.522316284E0
2.585131250E-1,3.150947571E-1,7.953261108E0,5.494474182E0
2.684551250E-1,2.730322266E-1,7.744295654E0,5.404810638E0
2.783981250E-1,1.802252197E-1,7.567213898E0,5.342540131E0
2.883411250E-1,5.388793945E-3,7.465425568E0,5.491480408E0
2.982831250E-1,-1.383123779E-1,7.433990936E0,5.564079437E0
3.082261250E-1,-2.357597351E-1,7.438182220E0,5.456752625E0
3.181691250E-1,-3.067121887E-1,7.447313232E0,5.456004181E0
3.281111250E-1,-3.838018799E-1,7.378456421E0,5.609584808E0
3.380541250E-1,-4.634362793E-1,7.188351746E0,5.635031891E0
3.479971250E-1,-5.480104065E-1,6.943610687E0,5.557343445E0
3.579391250E-1,-6.087840271E-1,6.725813599E0,5.676645355E0
3.678821250E-1,-6.710545349E-1,6.543043671E0,5.795198822E0
3.778251250E-1,-7.849676514E-1,6.443201294E0,5.829627228E0
3.877671250E-1,-9.068142700E-1,6.486910400E0,5.934109955E0
3.977101250E-1,-1.078956299E0,6.655310211E0,6.095324707E0
4.076531250E-1,-1.236728210E0,6.868766327E0,6.271807709E0
4.175951250E-1,-1.301393738E0,6.941664734E0,6.411467285E0
4.275381250E-1,-1.279539185E0,6.907685394E0,6.478677521E0
4.374811250E-1,-1.221909027E0,6.855294342E0,6.453679504E0
4.474231250E-1,-1.170565796E0,6.903194733E0,6.757846985E0
4.573661250E-1,-1.098565521E0,7.025191040E0,6.942562866E0
4.673091250E-1,-1.016236725E0,7.194488983E0,6.884034576E0
4.772511250E-1,-9.177415466E-1,7.418273621E0,7.248526611E0
4.871941250E-1,-9.095086670E-1,7.563471680E0,7.469167786E0
4.971371250E-1,-8.147557068E-1,7.748936005E0,7.737559662E0
5.070791250E-1,-6.285429382E-1,7.892337799E0,7.823630676E0
