"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.473900003E-2,-6.257244349E-1,-6.892707944E-1,2.355684526E-2
5.468100007E-2,-7.261676788E-1,-5.552245378E-1,2.183005214E-2
6.462399999E-2,-7.968636155E-1,-4.075466096E-1,1.182700135E-2
7.456700003E-2,-8.257375956E-1,-2.422679067E-1,-3.713867813E-2
8.450900007E-2,-8.107900620E-1,-1.283200234E-1,-1.003136560E-1
9.445199999E-2,-7.578155398E-1,-6.034070626E-2,-1.622358710E-1
1.043950000E-1,-6.818559170E-1,-3.596655279E-2,-1.879320890E-1
1.143370001E-1,-5.904189348E-1,-6.839746237E-2,-1.874529868E-1
1.242800000E-1,-5.075135231E-1,-1.800765693E-1,-1.561150700E-1
1.342220000E-1,-4.495322406E-1,-3.604087830E-1,-1.052654609E-1
1.441650001E-1,-4.251294136E-1,-5.552812815E-1,-3.405886143E-2
1.541080000E-1,-4.280988276E-1,-7.124210596E-1,3.630052134E-2
1.640500000E-1,-4.609293640E-1,-8.043079376E-1,8.858302236E-2
1.739930001E-1,-5.230723619E-1,-8.591716886E-1,1.225212812E-1
1.839360000E-1,-6.030627489E-1,-8.524394035E-1,1.313656718E-1
1.938780000E-1,-6.920714974E-1,-8.438259959E-1,1.261293739E-1
2.038251250E-1,-7.825809121E-1,-8.237432837E-1,1.191243976E-1
2.137681250E-1,-8.716551065E-1,-7.686331272E-1,1.006359309E-1
2.237101250E-1,-9.395670295E-1,-6.827535033E-1,7.887192070E-2
2.336531250E-1,-9.781125188E-1,-6.038389802E-1,5.129222572E-2
2.435961250E-1,-9.952735305E-1,-5.405554771E-1,1.697355509E-2
2.535381250E-1,-9.942596555E-1,-4.854238331E-1,-8.342986926E-3
2.634811250E-1,-9.854533672E-1,-4.357291460E-1,-3.110476211E-2
2.734231250E-1,-9.676836729E-1,-4.163248241E-1,-5.122521147E-2
2.833661250E-1,-9.417107105E-1,-4.625703394E-1,-6.694483757E-2
2.933091250E-1,-9.117248654E-1,-5.350077748E-1,-7.849577069E-2
3.032511250E-1,-8.654043674E-1,-5.816413760E-1,-8.806405962E-2
3.131941250E-1,-8.056707382E-1,-6.274565458E-1,-1.047847196E-1
3.231371250E-1,-7.249491811E-1,-6.891182065E-1,-1.281363368E-1
3.330791250E-1,-6.359232068E-1,-7.221770883E-1,-1.769028157E-1
3.430221250E-1,-5.396398306E-1,-6.994063258E-1,-2.346332669E-1
3.529651250E-1,-4.483022094E-1,-6.610293388E-1,-2.906112969E-1
3.629071250E-1,-3.733733296E-1,-6.154522896E-1,-3.329874575E-1
3.728501250E-1,-3.188879788E-1,-5.766137838E-1,-3.420779109E-1
3.827931250E-1,-2.876366973E-1,-5.572268367E-1,-3.157861531E-1
3.927351250E-1,-2.670906782E-1,-5.767073035E-1,-2.631879449E-1
4.026781251E-1,-2.431257218E-1,-6.169555783E-1,-1.980547756E-1
4.126211250E-1,-2.249725461E-1,-6.629292369E-1,-1.718639284E-1
4.225631250E-1,-2.105606198E-1,-6.802807450E-1,-1.725092679E-1
4.325061251E-1,-2.121172398E-1,-6.718155742E-1,-2.060677558E-1
4.424491250E-1,-2.227006108E-1,-6.961312294E-1,-2.561333477E-1
4.523911250E-1,-2.384239137E-1,-6.917865276E-1,-3.031525314E-1
4.623341251E-1,-2.478753924E-1,-6.257953048E-1,-3.321747184E-1
4.722771250E-1,-2.417165637E-1,-5.760794282E-1,-3.513460159E-1
4.822191250E-1,-2.258741856E-1,-5.103257895E-1,-3.953602910E-1
4.921621251E-1,-2.212852836E-1,-4.481074214E-1,-4.551916718E-1
5.021051250E-1,-2.386008650E-1,-3.522057235E-1,-5.232130289E-1
5.120471250E-1,-2.714261711E-1,-2.397907823E-1,-5.826744437E-1
5.219901251E-1,-3.086964786E-1,-1.517979056E-1,-6.246684194E-1
5.319331250E-1,-3.222591579E-1,-8.293042332E-2,-6.543493867E-1
5.418751250E-1,-3.060258329E-1,-1.339515857E-2,-6.637074351E-1
5.518181251E-1,-2.509186566E-1,7.388035208E-2,-6.518430710E-1
5.617611250E-1,-1.767582595E-1,1.271811426E-1,-6.162449718E-1
5.717031250E-1,-1.119483635E-1,1.421262771E-1,-5.536513925E-1
5.816461251E-1,-6.874327362E-2,1.327651888E-1,-4.681281447E-1
5.915891250E-1,-3.252668679E-2,1.044224948E-1,-3.424448073E-1
6.015311250E-1,-1.782038249E-3,5.326927826E-2,-2.061499357E-1
6.114741251E-1,2.695107274E-2,5.898300558E-3,-6.614249945E-2
6.214171250E-1,4.064676166E-2,-5.368775874E-2,6.096921861E-2
6.313591250E-1,2.265817113E-2,-1.948832273E-1,1.661662161E-1
6.413021251E-1,-2.698502876E-2,-4.375987351E-1,2.345937490E-1
6.512451250E-1,-8.513461798E-2,-7.316601872E-1,2.790392339E-1
6.611871250E-1,-1.335617751E-1,-9.192658663E-1,3.241246939E-1
6.711301251E-1,-1.373104304E-1,-9.832557440E-1,3.883673251E-1
6.810731250E-1,-1.259627044E-1,-8.630726337E-1,4.729456007E-1
6.910151250E-1,-1.271616518E-1,-5.722943544E-1,6.028796434E-1
7.009581251E-1,-1.383371055E-1,-1.749139875E-1,7.670307159E-1
7.109011250E-1,-1.413360834E-1,1.608192772E-1,9.239436388E-1
7.208431250E-1,-1.464400887E-1,3.919512331E-1,1.036119699E0
7.307861251E-1,-1.279803813E-1,5.358202457E-1,1.103968501E0
7.407291250E-1,-1.202376187E-1,6.322826743E-1,1.107508302E0
7.506711250E-1,-1.374759972E-1,6.876881123E-1,1.047869444E0
7.606141251E-1,-1.915994883E-1,6.839111447E-1,9.426850677E-1
7.705571250E-1,-2.793623805E-1,6.397037506E-1,8.225717545E-1
7.804991250E-1,-4.129679799E-1,6.027319431E-1,7.219755054E-1
7.904421251E-1,-5.777832866E-1,5.044221878E-1,6.664182544E-1
8.003851250E-1,-7.425552607E-1,3.638775647E-1,6.678402424E-1
8.103271250E-1,-8.724564910E-1,2.363156080E-1,7.180355191E-1
8.202701251E-1,-9.631512761E-1,1.105125323E-1,8.009791970E-1
8.302121250E-1,-1.004545331E0,-7.318752259E-2,8.913586140E-1
8.401551250E-1,-1.007332444E0,-1.720752418E-1,9.621447921E-1
8.500981251E-1,-9.853552580E-1,-8.447908610E-2,1.014320612E0
8.600411250E-1,-9.654282331E-1,1.549735367E-1,1.042191625E0
8.699831250E-1,-9.686780572E-1,4.508911967E-1,1.051339507E0
8.799261251E-1,-1.002428412E0,7.107059360E-1,1.052291274E0
8.898681250E-1,-1.049313784E0,9.075396061E-1,1.061008573E0
8.998111250E-1,-1.071442604E0,9.268882871E-1,1.082817554E0
9.097541251E-1,-1.088751793E0,7.478216290E-1,1.094057441E0
9.196961250E-1,-1.086441755E0,7.071638703E-1,1.074886084E0
9.296391250E-1,-1.079862118E0,6.470392346E-1,1.005388737E0
9.395821251E-1,-1.079518914E0,5.744401217E-1,8.856167793E-1
9.495241250E-1,-1.079730868E0,5.234629512E-1,7.747666836E-1
9.594671250E-1,-1.105996013E0,5.520929694E-1,7.052325606E-1
9.694101250E-1,-1.180774212E0,6.397942901E-1,6.599412560E-1
9.793521250E-1,-1.279525995E0,7.541919351E-1,6.328532696E-1
9.892951250E-1,-1.372216463E0,8.221105337E-1,6.120145321E-1
9.992381250E-1,-1.448110461E0,8.927924037E-1,5.907602310E-1
1.009180125E0,-1.520944715E0,9.364424348E-1,5.715838671E-1
1.019123125E0,-1.606282592E0,9.639682770E-1,5.685892701E-1
1.029066125E0,-1.711550713E0,9.354106784E-1,6.060016155E-1
1.039008125E0,-1.800171494E0,7.903753519E-1,6.870504022E-1
1.048951125E0,-1.866375804E0,4.623375833E-1,7.827292681E-1
1.058894125E0,-1.915392876E0,3.073925525E-2,8.548312783E-1
1.068836125E0,-1.893645763E0,-4.578647912E-1,8.872286677E-1
1.078779125E0,-1.738708258E0,-9.026966095E-1,8.712151051E-1
1.088722125E0,-1.407547355E0,-1.159814715E0,8.153933883E-1
1.098664125E0,-9.443457127E-1,-1.199913621E0,7.436131239E-1
1.108607125E0,-4.116975367E-1,-1.121433496E0,6.624713540E-1
1.118549125E0,1.513590664E-1,-9.915519357E-1,5.709975958E-1
1.128492125E0,6.298553348E-1,-5.914977193E-1,4.725362360E-1
1.138435125E0,8.879711628E-1,-2.465308309E-1,3.595693409E-1
1.148377125E0,9.877347946E-1,-1.195164323E-1,3.462974727E-1
1.158320125E0,1.107364416E0,-7.900501043E-2,4.742378294E-1
1.168263125E0,1.212607265E0,-5.156459659E-2,6.609776020E-1
1.178205125E0,1.229560375E0,-7.697959244E-2,8.433998227E-1
1.188148125E0,1.189135432E0,-1.210660934E-1,1.001761556E0
1.198090750E0,1.137707353E0,-1.111821011E-1,1.137875199E0
1.208032750E0,1.079688191E0,-9.677147120E-2,1.251882672E0
1.217975750E0,1.009462476E0,-2.276673764E-1,1.313467503E0
1.227917750E0,9.128453135E-1,-5.189862847E-1,1.260145426E0
1.237860750E0,7.931639552E-1,-8.098080158E-1,1.073025584E0
1.247803750E0,6.573960185E-1,-1.002893567E0,7.753489614E-1
1.257745750E0,5.536612272E-1,-1.071551561E0,4.885045588E-1
1.267688750E0,4.667505920E-1,-1.083646297E0,3.323365152E-1
1.277631750E0,3.630081117E-1,-1.004337788E0,3.030717671E-1
1.287573750E0,2.205393761E-1,-8.180709481E-1,3.241629303E-1
1.297516750E0,2.471136861E-2,-5.221251845E-1,3.413550854E-1
1.307459750E0,-2.017033994E-1,-1.602481902E-1,3.250924945E-1
1.317401750E0,-4.191128016E-1,1.600775868E-1,2.640849352E-1
1.327344750E0,-5.528839231E-1,4.772968292E-1,1.713028103E-1
1.337286750E0,-6.193645000E-1,7.826998234E-1,1.216763258E-2
1.347229750E0,-6.518678665E-1,1.080371261E0,-1.672500670E-1
1.357172750E0,-6.810189486E-1,1.362625957E0,-3.001896441E-1
1.367114750E0,-7.349785566E-1,1.532099128E0,-3.525300920E-1
1.377057750E0,-8.125720620E-1,1.582561731E0,-3.590802848E-1
1.387000750E0,-9.039595127E-1,1.543882132E0,-3.428131640E-1
1.396942750E0,-9.830577374E-1,1.370228767E0,-3.223066032E-1
1.406885750E0,-1.042520761E0,1.011569381E0,-2.990912795E-1
1.416827750E0,-1.093121052E0,4.637386203E-1,-2.995785177E-1
1.426770750E0,-1.129342675E0,-1.743491888E-1,-3.872263432E-1
1.436713750E0,-1.160814047E0,-8.070264459E-1,-5.646426678E-1
