"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.522184601E0,7.871381378E0,5.564079437E0
9.942000033E-3,-1.698817291E0,8.000263367E0,5.345982971E0
1.988499996E-2,-1.972148895E0,8.195607147E0,5.160668335E0
2.982800000E-2,-2.083966370E0,8.257129211E0,5.116360474E0
3.977000003E-2,-2.007475433E0,8.110733643E0,4.975503387E0
4.971299996E-2,-1.774559784E0,7.830815735E0,4.920867004E0
5.965499999E-2,-1.585951996E0,7.553741913E0,4.995411987E0
6.959800003E-2,-1.473386078E0,7.471562805E0,5.108277283E0
7.953999995E-2,-1.349593506E0,7.478598175E0,5.239254913E0
8.948299999E-2,-1.240470428E0,7.473957825E0,5.248385925E0
9.942500002E-2,-1.097368011E0,7.458988953E0,5.208868103E0
1.093680001E-1,-9.439370728E-1,7.419920197E0,5.032085724E0
1.193110000E-1,-8.572673035E-1,7.598498840E0,4.982089691E0
1.292530000E-1,-8.515791321E-1,7.839497681E0,5.083279266E0
1.391960001E-1,-9.053173828E-1,7.851772156E0,5.189707947E0
1.491380000E-1,-9.116043091E-1,7.743696899E0,5.356012115E0
1.590810000E-1,-9.437873840E-1,7.628586273E0,5.468278656E0
1.690230001E-1,-1.005159760E0,7.547454987E0,5.428760834E0
1.789660000E-1,-1.115330658E0,7.497009888E0,5.355563049E0
1.889080000E-1,-1.281485138E0,7.581284637E0,5.332660675E0
1.988510001E-1,-1.405277710E0,7.652386780E0,5.382806396E0
2.087930000E-1,-1.500330048E0,7.590565338E0,5.404211884E0
2.187360000E-1,-1.581461334E0,7.541168060E0,5.568420410E0
2.286790001E-1,-1.540895691E0,7.491321716E0,5.666167145E0
2.386210000E-1,-1.395098877E0,7.373666382E0,5.506898346E0
2.485640000E-1,-1.291065216E0,7.261998596E0,5.457950134E0
2.585060000E-1,-1.231938171E0,7.240144043E0,5.692961426E0
2.684490000E-1,-1.217118988E0,7.261250153E0,6.040838013E0
2.783910000E-1,-1.265917511E0,7.277416534E0,6.367608490E0
2.883340000E-1,-1.367855530E0,7.345824280E0,6.665788422E0
2.982760000E-1,-1.492695923E0,7.457492065E0,7.076983337E0
3.082190000E-1,-1.621577911E0,7.590864716E0,7.436385956E0
3.181610000E-1,-1.719174957E0,7.673941956E0,7.819289703E0
3.281040000E-1,-1.791624298E0,7.675139465E0,8.146958313E0
3.380470000E-1,-1.789977722E0,7.630232849E0,8.435408478E0
3.479890000E-1,-1.769021301E0,7.639214172E0,9.160800018E0
3.579320000E-1,-1.720522156E0,7.570956116E0,9.635163574E0
3.678740000E-1,-1.698368225E0,7.579188995E0,1.001043320E1
3.778170000E-1,-1.744771729E0,7.781867523E0,1.032088760E1
3.877590001E-1,-1.685494995E0,8.237819366E0,1.073792038E1
3.977020000E-1,-1.657203827E0,8.652307434E0,1.080542999E1
4.076440000E-1,-1.550775146E0,8.768765259E0,1.066636917E1
4.175870001E-1,-1.372196503E0,8.521629181E0,1.056398209E1
4.275290000E-1,-1.256786499E0,8.040529633E0,1.082488953E1
4.374720000E-1,-1.301393738E0,7.550748138E0,1.168589905E1
4.474150001E-1,-1.312021637E0,7.285499725E0,1.183468964E1
4.573570000E-1,-1.315763855E0,7.195237427E0,1.119896164E1
4.673000000E-1,-1.334025879E0,7.024741974E0,1.089958420E1
4.772420001E-1,-1.247505798E0,6.654861145E0,1.099927689E1
4.871848751E-1,-1.144519958E0,6.218817902E0,1.118983063E1
4.971268750E-1,-1.129251709E0,5.799539795E0,1.133413055E1
5.070698750E-1,-1.029559021E0,5.369933167E0,1.141750717E1
5.170118751E-1,-7.870632935E-1,5.139711914E0,1.140493332E1
