"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.473800003E-2,-5.181981921E-1,4.699323699E-2,3.136140481E-2
5.468099995E-2,-5.534816384E-1,6.216739118E-2,8.165094256E-2
6.462299998E-2,-5.423894525E-1,4.680723697E-2,8.332327008E-2
7.456600002E-2,-5.085135102E-1,1.396082807E-3,4.571277276E-2
8.450800006E-2,-4.781385958E-1,-5.512158200E-2,-8.031459525E-3
9.445099998E-2,-4.749606550E-1,-1.008611023E-1,-6.949508190E-2
1.043930000E-1,-5.030319691E-1,-9.422804415E-2,-1.185289323E-1
1.143360001E-1,-5.496940017E-1,-5.547905341E-2,-1.750297695E-1
1.242790000E-1,-5.850682259E-1,3.521224950E-3,-2.217895538E-1
1.342210000E-1,-5.993822217E-1,7.028241456E-2,-2.660734057E-1
1.441640001E-1,-5.943981409E-1,1.208055243E-1,-3.050717115E-1
1.541060000E-1,-5.865926743E-1,1.614999473E-1,-3.289123178E-1
1.640490000E-1,-5.769008398E-1,2.070728093E-1,-3.266578615E-1
1.739910000E-1,-5.665898919E-1,2.370336354E-1,-3.019312024E-1
1.839340000E-1,-5.544363260E-1,2.360295057E-1,-2.754283249E-1
1.938760000E-1,-5.328804255E-1,1.885956824E-1,-2.547461987E-1
2.038190000E-1,-5.145599842E-1,1.141925007E-1,-2.503061593E-1
2.137610000E-1,-5.147408247E-1,-4.233216867E-3,-2.599356174E-1
2.237040000E-1,-5.592160225E-1,-1.450919807E-1,-2.539622784E-1
2.336470000E-1,-6.378511786E-1,-2.318391353E-1,-2.066483051E-1
2.435890000E-1,-7.249479890E-1,-2.361488193E-1,-1.484901905E-1
2.535320000E-1,-7.935366035E-1,-1.929009408E-1,-8.692190796E-2
2.634740000E-1,-8.252208829E-1,-1.588177532E-1,-4.494683444E-2
2.734170000E-1,-8.030683994E-1,-1.486210376E-1,-3.401056305E-2
2.833590000E-1,-7.383925319E-1,-1.731393784E-1,-4.607550055E-2
2.933020000E-1,-6.377838850E-1,-2.469222546E-1,-6.675974280E-2
3.032440000E-1,-5.308773518E-1,-3.560827076E-1,-1.043448448E-1
3.131870000E-1,-4.622002542E-1,-4.818851054E-1,-1.443116963E-1
3.231290000E-1,-4.571038187E-1,-5.989457369E-1,-1.847393215E-1
3.330720000E-1,-5.101742148E-1,-6.816936135E-1,-1.866618693E-1
3.430150000E-1,-5.984123349E-1,-8.358862400E-1,-1.751720160E-1
3.529570000E-1,-7.005850673E-1,-1.022727489E0,-1.627598256E-1
3.628999999E-1,-8.005608320E-1,-1.205117106E0,-1.537122726E-1
3.728420000E-1,-8.809837699E-1,-1.328798294E0,-1.471313387E-1
3.827850000E-1,-9.398502707E-1,-1.373058796E0,-1.250723004E-1
3.927270001E-1,-9.680022597E-1,-1.263394356E0,-7.480087131E-2
4.026700000E-1,-9.745723009E-1,-1.025581002E0,-4.855398554E-3
4.126120000E-1,-9.685019255E-1,-7.113032937E-1,4.596650600E-2
4.225550001E-1,-9.881499410E-1,-4.833737612E-1,7.081003487E-2
4.324970000E-1,-1.056825995E0,-4.799579978E-1,8.327203244E-2
4.424400000E-1,-1.186038971E0,-5.454696417E-1,1.281785667E-1
4.523830001E-1,-1.326495409E0,-5.062367320E-1,2.342903614E-1
4.623250000E-1,-1.437939763E0,-4.197691083E-1,3.574715853E-1
4.722680000E-1,-1.497175932E0,-3.585624695E-1,4.643072188E-1
4.822100000E-1,-1.491974711E0,-3.340586722E-1,5.322656631E-1
4.921528751E-1,-1.460880876E0,-3.012434542E-1,5.653713942E-1
5.020948750E-1,-1.421666503E0,-3.121117949E-1,5.762063861E-1
5.120378750E-1,-1.421070218E0,-3.540949225E-1,6.241760254E-1
5.219798750E-1,-1.410587311E0,-1.360717863E-1,6.771858931E-1
5.319228750E-1,-1.424809456E0,-1.594447494E-1,7.682566643E-1
5.418648750E-1,-1.460134625E0,-1.317071319E-1,9.601092935E-1
5.518078750E-1,-1.495014787E0,-1.020874605E-1,1.237469792E0
5.617508750E-1,-1.515920758E0,-8.929323405E-2,1.546826839E0
