"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.201885400E-2,-1.038731858E-1,2.332594097E-1,2.167977765E-2
1.402291700E-2,-1.070689708E-1,2.449773401E-1,2.807135880E-2
1.602765600E-2,-1.145258173E-1,2.460425943E-1,2.487556823E-2
1.803302100E-2,-1.177216098E-1,2.534994483E-1,3.020188585E-2
2.003895800E-2,-1.177216098E-1,2.566952407E-1,2.913662419E-2
2.204541700E-2,-1.177216098E-1,2.630868256E-1,3.126715124E-2
2.405229200E-2,-1.155910790E-1,2.641520798E-1,3.020188585E-2
2.605942700E-2,-1.155910790E-1,2.694784105E-1,2.807135880E-2
2.806671900E-2,-1.134605557E-1,2.716089189E-1,2.807135880E-2
3.007406200E-2,-1.155910790E-1,2.737394571E-1,2.594083175E-2
3.208140600E-2,-1.113300323E-1,2.748047113E-1,1.848398708E-2
3.408145800E-2,-1.081342399E-1,2.801310420E-1,1.954925060E-2
3.608151000E-2,-1.060037091E-1,2.737394571E-1,1.741872355E-2
3.808203100E-2,-1.006773934E-1,2.769352496E-1,1.954925060E-2
4.008312500E-2,-9.109002352E-2,2.737394571E-1,2.061451413E-2
4.208494800E-2,-8.789423108E-2,2.737394571E-1,1.741872355E-2
4.408755200E-2,-8.469843864E-2,2.737394571E-1,2.061451413E-2
4.609098900E-2,-8.150264621E-2,2.694784105E-1,2.167977765E-2
4.809526000E-2,-7.937212288E-2,2.684131265E-1,2.700609528E-2
5.010031200E-2,-7.511106879E-2,2.673478723E-1,2.274504118E-2
5.210609400E-2,-6.765422225E-2,2.694784105E-1,2.167977765E-2
5.411255200E-2,-5.806685239E-2,2.641520798E-1,2.487556823E-2
5.611958300E-2,-5.700159073E-2,2.673478723E-1,2.807135880E-2
5.812703100E-2,-4.528369009E-2,2.609562874E-1,2.913662419E-2
6.013479200E-2,-3.569631651E-2,2.620215416E-1,3.020188585E-2
6.214270800E-2,-2.823946998E-2,2.620215416E-1,3.126715124E-2
6.415062500E-2,-2.184788883E-2,2.630868256E-1,3.659347072E-2
6.615583300E-2,-1.652157120E-2,2.588257790E-1,3.765873238E-2
6.816031200E-2,-7.999463007E-3,2.652173340E-1,3.020188585E-2
7.016473900E-2,-2.673145384E-3,2.630868256E-1,2.913662419E-2
7.216916700E-2,5.226451904E-4,2.588257790E-1,2.913662419E-2
7.417359400E-2,5.848962814E-3,2.577604949E-1,2.061451413E-2
7.617802100E-2,6.914226338E-3,2.620215416E-1,2.487556823E-2
7.818244800E-2,9.044753388E-3,2.588257790E-1,2.274504118E-2
8.018687500E-2,1.330580749E-2,2.556299865E-1,2.061451413E-2
8.219130200E-2,1.330580749E-2,2.630868256E-1,1.422293205E-2
8.419572900E-2,1.756686158E-2,2.641520798E-1,1.422293205E-2
8.620015600E-2,1.756686158E-2,2.662826180E-1,1.209240500E-2
8.820458300E-2,2.182791568E-2,2.726742029E-1,8.896614425E-3
9.020901000E-2,2.289317921E-2,2.758699954E-1,4.635560326E-3
9.221343700E-2,2.928475849E-2,2.833268344E-1,3.570297500E-3
9.421786400E-2,3.248054534E-2,2.897184193E-1,3.745069262E-4
9.622229200E-2,3.567633778E-2,2.939794660E-1,-2.821283648E-3
9.822671900E-2,3.780686855E-2,2.971752584E-1,-4.951810464E-3
1.002311460E-1,3.993739188E-2,3.035668433E-1,1.439770451E-3
1.022355730E-1,4.419844598E-2,3.078278899E-1,-1.756020123E-3
1.042400000E-1,4.313318431E-2,3.110236824E-1,3.745069262E-4
1.062444270E-1,4.526370764E-2,3.184805214E-1,-1.756020123E-3
1.082488540E-1,4.739423841E-2,3.270026445E-1,-2.821283648E-3
1.102532810E-1,5.165529251E-2,3.280678988E-1,-3.886547172E-3
1.122577080E-1,4.952476174E-2,3.333941996E-1,3.745069262E-4
1.142621350E-1,5.378581583E-2,3.376552761E-1,-2.821283648E-3
1.162665620E-1,5.378581583E-2,3.408510685E-1,-2.821283648E-3
1.182709890E-1,5.059003085E-2,3.397857845E-1,-2.821283648E-3
1.202754170E-1,4.845950007E-2,3.419163227E-1,1.439770451E-3
1.222798440E-1,4.845950007E-2,3.440468609E-1,-1.756020123E-3
