"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.971299996E-2,-7.123372555E-1,-4.170099199E-1,-1.446039528E-1
5.965499999E-2,-7.505612969E-1,-3.891676366E-1,-1.901280284E-1
6.959800003E-2,-7.822888494E-1,-2.985958755E-1,-2.188244164E-1
7.954000006E-2,-8.035653830E-1,-1.747844219E-1,-2.239123732E-1
8.948299999E-2,-8.059785366E-1,-8.626200259E-2,-2.076791227E-1
9.942500002E-2,-7.935498357E-1,-2.291258797E-2,-1.798562855E-1
1.093680001E-1,-7.585219741E-1,-9.126310237E-3,-1.606832594E-1
1.193100000E-1,-7.034589648E-1,-6.676537544E-2,-1.389683783E-1
1.292530000E-1,-6.416199803E-1,-1.624859869E-1,-1.099414304E-1
1.391950001E-1,-5.786644220E-1,-2.622653246E-1,-8.222671598E-2
1.491380000E-1,-5.445879102E-1,-3.446236253E-1,-4.467367008E-2
1.590810000E-1,-5.383909941E-1,-4.149033725E-1,-1.035803836E-2
1.690230001E-1,-5.646172166E-1,-4.658246338E-1,1.338999439E-2
1.789660000E-1,-6.011874676E-1,-4.814222157E-1,7.634370588E-3
1.889080000E-1,-6.430531740E-1,-4.656507969E-1,-2.591668814E-2
1.988510001E-1,-6.898217201E-1,-4.168108404E-1,-8.977050334E-2
2.087930000E-1,-7.498001456E-1,-3.353287578E-1,-1.404421926E-1
2.187360000E-1,-8.167693019E-1,-1.992473602E-1,-1.590046883E-1
2.286780000E-1,-8.762019873E-1,-6.337410212E-2,-1.701108515E-1
2.386210000E-1,-9.096300006E-1,1.823926717E-2,-1.580930799E-1
2.485630000E-1,-9.127576947E-1,2.554027922E-2,-1.188056916E-1
2.585060000E-1,-8.822296262E-1,-1.078657061E-2,-8.271612972E-2
2.684480000E-1,-8.282219172E-1,-8.818760514E-2,-4.808485508E-2
2.783910000E-1,-7.472133636E-1,-2.014393359E-1,-2.964725718E-2
2.883340000E-1,-6.487540007E-1,-3.547364473E-1,-2.635623328E-2
2.982760000E-1,-5.351566076E-1,-5.125604272E-1,-2.539909445E-2
3.082190000E-1,-4.247436821E-1,-6.428357363E-1,-1.819156669E-2
3.181610000E-1,-3.304259479E-1,-7.354186177E-1,-8.733084425E-3
3.281040000E-1,-2.600777745E-1,-7.643707395E-1,1.425876096E-2
3.380460000E-1,-2.191843837E-1,-6.820471287E-1,4.989451915E-2
3.479890000E-1,-1.914182603E-1,-5.261927843E-1,8.768504113E-2
3.579310001E-1,-1.617048383E-1,-3.853286505E-1,1.192339137E-1
3.678740000E-1,-1.294167340E-1,-2.379927784E-1,1.495576948E-1
3.778160000E-1,-9.257350117E-2,-1.620521992E-1,1.826237589E-1
3.877590001E-1,-5.168119445E-2,-1.888840795E-1,2.175966650E-1
3.977010000E-1,-5.864702165E-3,-2.302088886E-1,2.507066727E-1
4.076440000E-1,4.142287374E-2,-2.907567918E-1,2.738915682E-1
4.175870001E-1,7.897370309E-2,-4.067595601E-1,2.646741271E-1
4.275290000E-1,9.146846086E-2,-5.396847725E-1,2.229184061E-1
4.374720000E-1,6.553619355E-2,-6.949923038E-1,1.776257604E-1
4.474140001E-1,-9.201916866E-3,-9.179538488E-1,1.591556966E-1
4.573570000E-1,-1.456806660E-1,-1.202155948E0,1.911631525E-1
4.672990000E-1,-4.007313251E-1,-1.736464500E0,3.279420435E-1
4.772420001E-1,-7.567405701E-1,-2.253440619E0,5.232452750E-1
4.871840000E-1,-1.182609558E0,-2.611477137E0,7.592630982E-1
4.971270000E-1,-1.640783310E0,-2.671987772E0,1.033863068E0
5.070690000E-1,-2.110221624E0,-2.405799150E0,1.333709836E0
5.170120000E-1,-2.508520126E0,-1.981172800E0,1.634497404E0
5.269540000E-1,-2.770256042E0,-1.491039395E0,1.895860076E0
5.368970000E-1,-2.869180441E0,-1.053286314E0,2.074204922E0
5.468390000E-1,-2.829293489E0,-7.566881776E-1,2.137002707E0
5.567820000E-1,-2.716146946E0,-5.397329330E-1,2.051268101E0
5.667250000E-1,-2.557914972E0,-3.349499702E-1,1.845105648E0
5.766670000E-1,-2.335078716E0,-1.655833125E-1,1.553391218E0
5.866100000E-1,-2.043963909E0,-6.193862855E-2,1.216232181E0
5.965520000E-1,-1.703928590E0,5.203391425E-3,8.455395699E-1
6.064950000E-1,-1.337952375E0,4.970102012E-2,4.968687296E-1
6.164370000E-1,-9.567109346E-1,8.186065592E-3,2.591698766E-1
6.263800000E-1,-6.462692618E-1,-8.582060039E-2,1.378540546E-1
6.363220001E-1,-5.044724941E-1,-2.069654018E-1,7.719124109E-2
6.462650000E-1,-5.050226450E-1,-5.512759089E-1,1.164683625E-1
6.562070000E-1,-5.920052528E-1,-6.131592989E-1,1.560693085E-1
6.661500001E-1,-7.528426647E-1,-4.616416395E-1,1.563081294E-1
6.760919166E-1,-9.206745028E-1,-3.032743931E-1,1.547770798E-1
6.860349167E-1,-1.044876456E0,-1.603645533E-1,1.697649509E-1
6.959769167E-1,-1.133003116E0,2.834703028E-2,1.939009130E-1
7.059199166E-1,-1.191050529E0,2.330599278E-1,1.978751123E-1
7.158629167E-1,-1.219595075E0,3.984584808E-1,1.756995022E-1
7.258049167E-1,-1.239253044E0,4.827140272E-1,1.251359731E-1
7.357479166E-1,-1.263937354E0,5.220814347E-1,4.076570272E-2
7.456899167E-1,-1.276875496E0,6.275425553E-1,-5.690424889E-2
7.556329167E-1,-1.203942180E0,8.206052184E-1,-1.379546374E-1
7.655749167E-1,-1.140977502E0,1.024948478E0,-2.159673721E-1
7.755179167E-1,-1.056141496E0,1.170343161E0,-2.600797117E-1
7.854599167E-1,-9.529655576E-1,1.262818575E0,-2.595329583E-1
7.954029167E-1,-8.594353199E-1,1.296030760E0,-2.160935998E-1
8.053449166E-1,-7.671023607E-1,1.284686923E0,-1.578363627E-1
8.152879167E-1,-6.831539869E-1,1.250258684E0,-9.580920637E-2
8.252299167E-1,-5.944670439E-1,1.191759348E0,-5.204686895E-2
8.351729166E-1,-5.020518899E-1,1.121791005E0,-1.989425905E-2
8.451149167E-1,-4.281608462E-1,1.084388375E0,3.110155929E-3
8.550579167E-1,-3.672000170E-1,1.078688383E0,1.281711180E-2
8.650009166E-1,-3.071000874E-1,1.024336338E0,-2.929479629E-2
8.749429167E-1,-2.742976546E-1,8.195491433E-1,-2.478116900E-1
8.848859167E-1,-2.521415353E-1,6.453159451E-1,-5.954605341E-1
8.948279166E-1,-1.962223351E-1,5.518363118E-1,-9.245883226E-1
9.047709167E-1,-1.061271280E-1,4.818703830E-1,-1.104685545E0
9.147129167E-1,-2.858519740E-2,3.581700325E-1,-1.150540829E0
9.246559166E-1,5.848301202E-2,2.101068944E-1,-1.103128195E0
9.345979167E-1,2.165983468E-1,1.893454194E-1,-9.280876517E-1
9.445409167E-1,3.991695046E-1,2.567224205E-1,-7.210077047E-1
9.544829166E-1,5.796787739E-1,2.324072570E-1,-5.568810701E-1
9.644259167E-1,7.607555389E-1,2.495858073E-1,-4.156372249E-1
9.743679167E-1,9.381827712E-1,3.025121391E-1,-2.567338645E-1
9.843109166E-1,1.100618958E0,3.141065538E-1,-4.821839929E-2
9.942539167E-1,1.223335266E0,3.142314851E-1,1.225160584E-1
1.004195917E0,1.301200509E0,2.718096077E-1,2.370648682E-1
1.014138917E0,1.345891595E0,1.901973188E-1,2.977811992E-1
1.024080917E0,1.424428582E0,-1.442141179E-2,3.355585039E-1
1.034023917E0,1.534351826E0,-3.436653614E-1,3.468859792E-1
1.043965917E0,1.601919293E0,-6.232299805E-1,3.030820489E-1
1.053908917E0,1.624153972E0,-9.169098139E-1,1.931840479E-1
1.063850917E0,1.616024256E0,-1.188809633E0,5.013487116E-2
1.073793917E0,1.523673892E0,-1.300349951E0,-1.345087439E-1
1.083735917E0,1.334298491E0,-1.214213967E0,-3.222612143E-1
1.093678917E0,1.088621259E0,-1.005690098E0,-4.425532520E-1
1.103621917E0,7.862621546E-1,-8.097380996E-1,-4.479707479E-1
1.113563917E0,4.158103168E-1,-6.613160968E-1,-3.542349339E-1
1.123506917E0,-2.927047387E-2,-6.105750203E-1,-1.966381073E-1
1.133448917E0,-5.104251504E-1,-6.590901017E-1,-3.676162288E-2
1.143391917E0,-9.314112663E-1,-6.910729408E-1,7.422640920E-3
1.153333917E0,-1.187677622E0,-6.315073371E-1,-5.692226067E-2
1.163276917E0,-1.296948552E0,-4.954938591E-1,-1.742271334E-1
1.173218917E0,-1.301816344E0,-3.126441538E-1,-2.844583094E-1
1.183161917E0,-1.219148755E0,-1.216408908E-1,-3.506002128E-1
