"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.329984283E0,8.950637054E0,3.388952637E0
9.941000026E-3,-1.314716034E0,8.899892578E0,3.576063538E0
1.988199999E-2,-1.352138214E0,8.894653473E0,3.611090698E0
2.982200001E-2,-1.432521057E0,8.844507751E0,3.633843384E0
3.976300004E-2,-1.499731293E0,8.850944366E0,3.666625214E0
4.970400000E-2,-1.567390594E0,8.878038025E0,3.608396301E0
5.964500003E-2,-1.610201569E0,8.880882111E0,3.531905365E0
6.958600000E-2,-1.574575653E0,8.943152618E0,3.492387543E0
7.952700002E-2,-1.530417480E0,9.015302582E0,3.508703613E0
8.946799999E-2,-1.418749695E0,9.013506317E0,3.477867737E0
9.940900002E-2,-1.311123505E0,9.050180054E0,3.377725983E0
1.093500000E-1,-1.264570312E0,9.035510559E0,3.340902557E0
1.192900000E-1,-1.303040314E0,8.992849274E0,3.434458008E0
1.292310000E-1,-1.398841095E0,9.018895111E0,3.525169373E0
1.391720000E-1,-1.520388336E0,9.048832855E0,3.554059296E0
1.491130000E-1,-1.574875031E0,8.997789001E0,3.584296417E0
1.590540000E-1,-1.593735809E0,8.983119507E0,3.605851593E0
1.689950000E-1,-1.607207794E0,9.036708069E0,3.602408752E0
1.789360000E-1,-1.567989349E0,9.060658264E0,3.594624939E0
1.888770000E-1,-1.500928802E0,9.059460754E0,3.595373383E0
1.988170000E-1,-1.423090668E0,9.057664490E0,3.549418945E0
2.087580000E-1,-1.372944946E0,9.070238342E0,3.474724274E0
2.186990000E-1,-1.322050781E0,9.081315308E0,3.407364349E0
2.286400000E-1,-1.341809692E0,9.058712311E0,3.407963104E0
2.385810000E-1,-1.446591797E0,9.086404724E0,3.446882172E0
2.485220000E-1,-1.523531799E0,9.077872467E0,3.450474701E0
2.584630000E-1,-1.551673279E0,9.047635345E0,3.437451782E0
2.684040000E-1,-1.577120361E0,9.059760132E0,3.443289642E0
2.783440000E-1,-1.610351257E0,9.059460754E0,3.445385284E0
2.882850000E-1,-1.648671570E0,9.121581573E0,3.458857269E0
2.982260000E-1,-1.661395111E0,9.162296906E0,3.461701355E0
3.081670000E-1,-1.631157990E0,9.131311340E0,3.420237579E0
3.181080000E-1,-1.519939270E0,9.110354919E0,3.332669678E0
3.280490000E-1,-1.420995026E0,9.102122040E0,3.311713257E0
3.379900000E-1,-1.407373352E0,9.004524994E0,3.427722015E0
3.479310000E-1,-1.416354675E0,9.027127991E0,3.501518555E0
3.578720000E-1,-1.426832886E0,9.098828888E0,3.491639099E0
3.678120000E-1,-1.437161407E0,9.144783325E0,3.462898865E0
3.777530000E-1,-1.453477478E0,9.170380096E0,3.463946686E0
3.876940000E-1,-1.476529541E0,9.251511383E0,3.407514038E0
3.976350000E-1,-1.471889191E0,9.279353485E0,3.308420105E0
4.075760000E-1,-1.446741486E0,9.207502899E0,3.353476410E0
4.175170000E-1,-1.435514832E0,9.149273987E0,3.443139954E0
4.274580000E-1,-1.439257050E0,9.125174103E0,3.455115051E0
4.373990000E-1,-1.444496155E0,9.115144958E0,3.405717773E0
4.473390000E-1,-1.439556427E0,9.097481689E0,3.383713531E0
4.572800000E-1,-1.428629150E0,9.080716553E0,3.382216644E0
4.672210000E-1,-1.417701874E0,9.057814178E0,3.390599213E0
4.771620000E-1,-1.412762146E0,9.054820404E0,3.393592987E0
4.871030000E-1,-1.414408722E0,9.068591766E0,3.389401703E0
4.970440000E-1,-1.415606232E0,9.078770599E0,3.377426605E0
5.069850000E-1,-1.406774597E0,9.091194763E0,3.396586761E0
5.169260000E-1,-1.379381561E0,9.101822662E0,3.411256256E0
5.268660000E-1,-1.334774323E0,9.075627136E0,3.403771820E0
5.368070000E-1,-1.312620392E0,9.069040833E0,3.400179291E0
5.467480000E-1,-1.282682648E0,9.100176086E0,3.401376801E0
5.566890000E-1,-1.275198212E0,9.119336243E0,3.413800964E0
5.666300000E-1,-1.283730469E0,9.138646088E0,3.422931976E0
5.765710000E-1,-1.290616150E0,9.135802002E0,3.456462250E0
5.865120000E-1,-1.290616150E0,9.147328033E0,3.455414429E0
5.964530000E-1,-1.303040314E0,9.147178345E0,3.458707581E0
6.063940000E-1,-1.311722260E0,9.160500641E0,3.463048553E0
6.163340000E-1,-1.301693115E0,9.155411224E0,3.481759644E0
6.262750000E-1,-1.245709534E0,9.123527527E0,3.490740967E0
6.362160000E-1,-1.158291321E0,9.099427643E0,3.447181549E0
6.461570000E-1,-1.101259918E0,9.082363129E0,3.388653259E0
6.560980000E-1,-1.132395172E0,9.111103363E0,3.365601196E0
6.660390000E-1,-1.217568054E0,9.156758423E0,3.384162598E0
6.759800000E-1,-1.281934204E0,9.208700409E0,3.383264465E0
6.859210000E-1,-1.330283661E0,9.223818970E0,3.356619873E0
6.958610000E-1,-1.413211212E0,9.283095703E0,3.346890106E0
7.058020000E-1,-1.495689697E0,9.384884033E0,3.348087616E0
7.157430000E-1,-1.575922852E0,9.448801117E0,3.352727966E0
7.256840000E-1,-1.682052155E0,9.458081818E0,3.365750885E0
7.356250000E-1,-1.779798889E0,9.485025787E0,3.360062714E0
7.455660000E-1,-1.881287842E0,9.469907227E0,3.319048004E0
7.555070000E-1,-1.997595978E0,9.388476563E0,3.231929169E0
7.654480000E-1,-2.101479950E0,9.267677765E0,3.157533875E0
7.753880000E-1,-2.139500885E0,9.141490173E0,3.100801849E0
7.853290000E-1,-2.099683685E0,9.035510559E0,3.049458618E0
7.952700000E-1,-1.995949402E0,8.937614136E0,2.987038422E0
8.052110000E-1,-1.890269165E0,8.858428802E0,2.888094177E0
8.151520000E-1,-1.830992432E0,8.753497009E0,2.760110321E0
8.250930000E-1,-1.828747101E0,8.626860352E0,2.641706543E0
8.350340000E-1,-1.852098541E0,8.557704163E0,2.505938873E0
8.449508750E-1,-1.915267181E0,8.543334045E0,2.350711670E0
8.548908750E-1,-2.021246796E0,8.587791595E0,2.233206024E0
