"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-5.791456604E-1,8.621920624E0,3.038980408E0
9.943000041E-3,-5.755531311E-1,8.493338013E0,2.950364685E0
1.988499996E-2,-6.393205261E-1,8.511300659E0,2.641407166E0
2.982699999E-2,-6.285429382E-1,8.587492218E0,2.796484680E0
3.977000003E-2,-4.314028931E-1,8.477321320E0,3.205434265E0
4.971199995E-2,-2.269281006E-1,8.283474426E0,3.478167114E0
5.965499999E-2,-1.724414062E-1,8.151748352E0,3.840563507E0
6.959700002E-2,-2.344125366E-1,8.121810608E0,4.142635345E0
7.953999995E-2,-3.071612549E-1,8.118667145E0,4.279001770E0
8.948199998E-2,-4.179309082E-1,8.123157806E0,4.258045349E0
9.942500002E-2,-6.032455444E-1,8.159981232E0,4.081861725E0
1.093670001E-1,-8.168513489E-1,8.234675903E0,3.930227051E0
1.193100000E-1,-9.776170349E-1,8.291856995E0,3.911665649E0
1.292520000E-1,-1.010847931E0,8.254285126E0,3.855981445E0
1.391950001E-1,-9.539662170E-1,8.113428040E0,3.683540039E0
1.491370000E-1,-8.464897156E-1,8.006250916E0,3.592678986E0
1.590790000E-1,-9.201365662E-1,7.965984650E0,3.583697662E0
1.690218333E-1,-1.052760773E0,7.997568970E0,3.680246887E0
1.789638334E-1,-1.132694550E0,8.037086792E0,3.813020782E0
1.889068333E-1,-1.072669373E0,8.025860138E0,4.031416626E0
1.988488333E-1,-9.595046997E-1,7.999664612E0,4.190984802E0
2.087918334E-1,-9.398954773E-1,8.079598389E0,4.445605316E0
2.187338333E-1,-1.073118439E0,8.310268707E0,4.901407471E0
2.286768333E-1,-1.262923737E0,8.689280548E0,5.369933167E0
2.386188334E-1,-1.471140747E0,9.118737488E0,5.590274963E0
2.485618333E-1,-1.756597137E0,9.499395905E0,5.770649872E0
2.585038333E-1,-2.091301117E0,9.701775055E0,6.002218323E0
2.684458334E-1,-2.261796570E0,1.005010071E1,6.312523041E0
2.783888333E-1,-2.082469482E0,1.018062927E1,6.979985046E0
2.883308333E-1,-1.719025269E0,9.962532806E0,7.678133240E0
2.982738334E-1,-1.387614441E0,9.603579254E0,8.190817108E0
3.082158334E-1,-1.243763580E0,9.442214813E0,8.627010040E0
3.181588333E-1,-1.365310822E0,9.433083801E0,9.008716278E0
3.281008333E-1,-1.641187134E0,9.427245941E0,9.206006012E0
3.380438334E-1,-1.927391968E0,9.427395630E0,9.197324066E0
3.479858333E-1,-2.128723297E0,9.498048706E0,9.349258118E0
3.579288333E-1,-2.227517853E0,9.549841003E0,9.496252441E0
3.678708334E-1,-2.390229492E0,9.562714233E0,9.514215088E0
3.778128333E-1,-2.544558563E0,9.585167542E0,9.392368469E0
3.877558333E-1,-2.568957825E0,9.531878357E0,9.144633636E0
3.976978334E-1,-2.517614594E0,9.362879791E0,8.800199890E0
4.076408333E-1,-2.485132141E0,9.104966125E0,8.592731323E0
4.175828333E-1,-2.465223541E0,8.777896271E0,8.453520813E0
4.275258334E-1,-2.510130157E0,8.446485443E0,8.486901398E0
4.374678333E-1,-2.652184753E0,8.292306061E0,8.577762451E0
4.474108333E-1,-2.739902344E0,8.261919250E0,8.694819031E0
4.573528334E-1,-2.751128998E0,8.242609406E0,8.954528961E0
