"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.990560608E0,7.136409760E0,4.540507965E0
9.943000041E-3,-1.866019592E0,6.979535980E0,4.352498932E0
1.988500007E-2,-1.733994141E0,6.842121735E0,4.300257568E0
2.982800000E-2,-1.507664795E0,6.559210052E0,4.475093994E0
3.977000003E-2,-1.154549103E0,6.176755371E0,4.505480804E0
4.971300007E-2,-7.923023987E-1,5.698050842E0,4.321363678E0
5.965499999E-2,-4.851411438E-1,5.333409119E0,4.074377289E0
6.959800003E-2,-2.496807861E-1,5.165608063E0,3.829785919E0
7.954000006E-2,-1.710942078E-1,4.991370392E0,3.817661133E0
8.948299999E-2,-3.481759644E-1,5.068909149E0,3.870351563E0
9.942500002E-2,-7.596702576E-1,5.553750916E0,3.763922882E0
1.093680001E-1,-1.140328674E0,6.067781982E0,3.713178406E0
1.193100000E-1,-1.516795807E0,6.318959656E0,3.725003815E0
1.292530000E-1,-1.789678345E0,6.558311920E0,3.891607361E0
1.391950001E-1,-2.034868469E0,6.891968079E0,3.966152344E0
1.491380000E-1,-2.306553497E0,7.327412567E0,4.053420868E0
1.590800000E-1,-2.435435486E0,7.712411957E0,4.124223633E0
1.690230001E-1,-2.421065369E0,7.843838654E0,4.045337677E0
1.789650000E-1,-2.257754974E0,7.803722076E0,4.070036316E0
1.889080000E-1,-1.993853760E0,7.783514099E0,4.097279663E0
1.988500000E-1,-1.746268616E0,7.804769897E0,4.031416626E0
2.087930000E-1,-1.520987091E0,7.810009003E0,4.076173553E0
2.187350000E-1,-1.370250549E0,7.784262543E0,4.201612701E0
2.286780000E-1,-1.312171326E0,7.899672546E0,4.491559753E0
2.386200001E-1,-1.349743195E0,8.148904266E0,4.873565369E0
2.485630000E-1,-1.452130280E0,8.392597504E0,5.093607788E0
2.585050000E-1,-1.548679504E0,8.452472992E0,5.150639191E0
2.684480001E-1,-1.634600830E0,8.313861237E0,5.109325104E0
2.783900000E-1,-1.708247681E0,8.130492554E0,5.079986115E0
2.883330000E-1,-1.756746826E0,8.042026520E0,5.089566193E0
2.982750001E-1,-1.694925385E0,8.057893524E0,5.221441956E0
3.082180000E-1,-1.581910400E0,8.083340607E0,5.456153870E0
3.181600000E-1,-1.400637360E0,8.021070099E0,5.690865784E0
3.281030001E-1,-1.152902527E0,8.077951813E0,5.899082794E0
3.380450000E-1,-1.022972717E0,8.142168274E0,6.181545410E0
3.479880000E-1,-8.921447754E-1,8.234526215E0,6.469845886E0
3.579300001E-1,-8.695417786E-1,8.328530731E0,6.672225037E0
3.678730000E-1,-9.633966064E-1,8.405470734E0,6.843468933E0
3.778150000E-1,-1.005459137E0,8.523874512E0,6.955735474E0
3.877580001E-1,-1.019230499E0,8.626710663E0,7.098089447E0
3.977000000E-1,-1.102906494E0,8.739426270E0,7.377857666E0
4.076430000E-1,-1.178948364E0,8.935518494E0,7.501201172E0
4.175850000E-1,-1.297651520E0,9.219927063E0,7.492818604E0
4.275280000E-1,-1.392554169E0,9.472901001E0,7.445067902E0
4.374700000E-1,-1.394649811E0,9.655072174E0,7.323520660E0
4.474130000E-1,-1.472637634E0,9.677226105E0,7.245532837E0
4.573550001E-1,-1.618135071E0,9.590706024E0,7.310797119E0
4.672980000E-1,-1.820514221E0,9.541009369E0,7.616162109E0
4.772400000E-1,-2.052531738E0,9.556726685E0,7.996820526E0
4.871830001E-1,-2.154170380E0,9.779313812E0,8.390052795E0
4.971250000E-1,-2.126777344E0,1.004276596E1,8.665779419E0
5.070680000E-1,-1.907932434E0,1.018377274E1,8.514294434E0
5.170100001E-1,-1.492695923E0,1.010758118E1,8.290809174E0
5.269530000E-1,-1.097368011E0,9.804461517E0,8.334368591E0
5.368950000E-1,-7.554789734E-1,9.445807343E0,8.281378784E0
5.468380001E-1,-4.909790039E-1,9.144633636E0,7.888595581E0
5.567800000E-1,-3.948788452E-1,8.871601410E0,7.641010437E0
5.667230000E-1,-4.685256958E-1,8.651109924E0,7.614066467E0
5.766650001E-1,-5.535488892E-1,8.502918091E0,7.566315765E0
5.866080000E-1,-6.313870239E-1,8.404273224E0,7.314239960E0
5.965500000E-1,-7.884104919E-1,8.295449524E0,7.136858826E0
6.064930001E-1,-9.315129089E-1,8.147557068E0,7.056326294E0
6.164350000E-1,-9.252259827E-1,7.914940796E0,6.730304260E0
6.263780000E-1,-8.345146179E-1,7.590116272E0,6.393504639E0
6.363200000E-1,-7.611671448E-1,7.259154510E0,6.132297821E0
6.462630000E-1,-6.830296326E-1,6.985972595E0,5.874234467E0
6.562050000E-1,-6.171665955E-1,6.732549591E0,5.703439636E0
6.661470000E-1,-6.759942627E-1,6.511758728E0,5.350323944E0
6.760900000E-1,-7.539820862E-1,6.434219971E0,5.122198334E0
6.860320000E-1,-9.550140381E-1,6.303392029E0,5.257217560E0
6.959750000E-1,-9.969268799E-1,6.130202179E0,5.542973328E0
7.059170001E-1,-9.497749329E-1,5.964047699E0,5.549559631E0
7.158600000E-1,-8.232879639E-1,5.843248901E0,5.261109467E0
7.258020000E-1,-6.146218872E-1,5.776038666E0,5.043911133E0
7.357450001E-1,-1.962419128E-1,5.737119598E0,5.423372040E0
7.456870000E-1,3.981719971E-2,5.550308075E0,5.423372040E0
7.556300000E-1,2.664459229E-2,5.401517487E0,4.837041321E0
7.655720001E-1,5.134323120E-2,5.330115967E0,4.657265167E0
7.755150000E-1,1.496887207E-2,5.259911957E0,4.723726959E0
7.854570000E-1,-1.305285645E-1,5.172044678E0,4.879103851E0
7.954000001E-1,-3.279679871E-1,5.095853119E0,5.178780670E0
8.053420000E-1,-4.504133606E-1,5.114713898E0,5.431604919E0
8.152850000E-1,-4.067042542E-1,5.192252655E0,5.619913330E0
8.252263750E-1,-2.502795410E-1,5.222040710E0,5.712121582E0
8.351693751E-1,-3.218307495E-2,5.161267090E0,5.836662598E0
8.451113750E-1,1.731898499E-1,5.074148254E0,5.824388123E0
8.550543750E-1,3.219804382E-1,5.027145996E0,5.800437927E0
8.649963751E-1,4.071533203E-1,4.949307861E0,5.749094696E0
8.749393750E-1,4.306544495E-1,4.830754395E0,5.779032440E0
