"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.003755200E-2,-3.738408908E-3,-2.514354885E-1,-1.796550304E-1
2.204296900E-2,-1.012999006E-2,-2.525007427E-1,-1.817855537E-1
2.404838600E-2,-1.652157120E-2,-2.588923275E-1,-1.817855537E-1
2.605411500E-2,-1.439104415E-2,-2.610228360E-1,-1.871118695E-1
2.806010400E-2,-1.971736178E-2,-2.631533742E-1,-1.807202995E-1
3.006625000E-2,-2.184788883E-2,-2.610228360E-1,-1.807202995E-1
3.207250000E-2,-2.291315235E-2,-2.642186284E-1,-1.807202995E-1
3.407875000E-2,-2.930473350E-2,-2.631533742E-1,-1.807202995E-1
3.608401100E-2,-2.717420645E-2,-2.642186284E-1,-1.743287146E-1
3.808838600E-2,-3.143525869E-2,-2.642186284E-1,-1.743287146E-1
4.009276100E-2,-2.930473350E-2,-2.631533742E-1,-1.721981913E-1
4.209713600E-2,-3.463105112E-2,-2.684796751E-1,-1.668718755E-1
4.410145900E-2,-3.143525869E-2,-2.695449293E-1,-1.668718755E-1
4.610578200E-2,-3.250052407E-2,-2.684796751E-1,-1.658066064E-1
4.811010400E-2,-3.676158190E-2,-2.663491666E-1,-1.690023988E-1
5.011442700E-2,-3.889210522E-2,-2.663491666E-1,-1.647413373E-1
5.211875000E-2,-4.528369009E-2,-2.695449293E-1,-1.626108140E-1
5.412307300E-2,-4.208789766E-2,-2.663491666E-1,-1.604802907E-1
5.612739600E-2,-4.634895176E-2,-2.631533742E-1,-1.626108140E-1
5.813171900E-2,-5.061000586E-2,-2.674144208E-1,-1.636760831E-1
6.013604200E-2,-5.380579829E-2,-2.695449293E-1,-1.615455449E-1
6.214036500E-2,-5.700159073E-2,-2.727407217E-1,-1.626108140E-1
6.414468800E-2,-5.593632162E-2,-2.674144208E-1,-1.604802907E-1
6.614901100E-2,-6.019737571E-2,-2.695449293E-1,-1.594150215E-1
6.815333400E-2,-6.232790649E-2,-2.674144208E-1,-1.583497524E-1
7.015765700E-2,-6.765422225E-2,-2.695449293E-1,-1.626108140E-1
7.216197900E-2,-6.765422225E-2,-2.727407217E-1,-1.604802907E-1
7.416630200E-2,-6.978475302E-2,-2.727407217E-1,-1.604802907E-1
7.617062500E-2,-6.871949136E-2,-2.748712599E-1,-1.636760831E-1
7.817494800E-2,-6.658896059E-2,-2.759365141E-1,-1.647413373E-1
8.017927100E-2,-7.085001469E-2,-2.748712599E-1,-1.679371297E-1
8.218359400E-2,-7.085001469E-2,-2.770017982E-1,-1.679371297E-1
8.418791700E-2,-6.978475302E-2,-2.759365141E-1,-1.711329222E-1
8.619224000E-2,-7.085001469E-2,-2.759365141E-1,-1.732634455E-1
8.819656300E-2,-6.445842981E-2,-2.738060057E-1,-1.753939688E-1
9.020088600E-2,-6.339316815E-2,-2.716754675E-1,-1.753939688E-1
9.220520900E-2,-6.232790649E-2,-2.716754675E-1,-1.743287146E-1
9.420953200E-2,-6.658896059E-2,-2.695449293E-1,-1.743287146E-1
9.621390700E-2,-6.552369893E-2,-2.663491666E-1,-1.785897613E-1
9.821828200E-2,-6.339316815E-2,-2.674144208E-1,-1.775245070E-1
1.002226570E-1,-6.232790649E-2,-2.610228360E-1,-1.764592379E-1
1.022270320E-1,-6.019737571E-2,-2.631533742E-1,-1.743287146E-1
1.042314070E-1,-6.126264483E-2,-2.588923275E-1,-1.753939688E-1
1.062357820E-1,-5.913211405E-2,-2.578270733E-1,-1.743287146E-1
1.082401570E-1,-5.806685239E-2,-2.556965351E-1,-1.721981913E-1
1.102445320E-1,-6.019737571E-2,-2.599575818E-1,-1.690023988E-1
1.122489070E-1,-5.913211405E-2,-2.514354885E-1,-1.711329222E-1
1.142532820E-1,-6.339316815E-2,-2.525007427E-1,-1.658066064E-1
1.162576570E-1,-6.445842981E-2,-2.482396960E-1,-1.690023988E-1
1.182620320E-1,-6.232790649E-2,-2.418481261E-1,-1.668718755E-1
1.202664070E-1,-6.339316815E-2,-2.407828569E-1,-1.721981913E-1
1.222707820E-1,-6.339316815E-2,-2.354565412E-1,-1.668718755E-1
1.242751570E-1,-6.339316815E-2,-2.290649563E-1,-1.658066064E-1
1.262795320E-1,-6.019737571E-2,-2.301302254E-1,-1.615455449E-1
1.282839070E-1,-5.700159073E-2,-2.237386405E-1,-1.668718755E-1
1.302882820E-1,-6.126264483E-2,-2.226733714E-1,-1.626108140E-1
1.322926570E-1,-5.913211405E-2,-2.120207399E-1,-1.594150215E-1
1.342970320E-1,-6.019737571E-2,-2.120207399E-1,-1.615455449E-1
1.363014070E-1,-6.232790649E-2,-2.120207399E-1,-1.604802907E-1
1.383057820E-1,-5.593632162E-2,-2.077596933E-1,-1.636760831E-1
1.403101570E-1,-6.126264483E-2,-2.013681084E-1,-1.594150215E-1
1.423145320E-1,-5.700159073E-2,-2.024333775E-1,-1.615455449E-1
1.443189070E-1,-5.806685239E-2,-1.992375851E-1,-1.583497524E-1
1.463232820E-1,-5.593632162E-2,-1.875196844E-1,-1.604802907E-1
1.483276570E-1,-5.487105995E-2,-1.843238920E-1,-1.508929133E-1
1.503320320E-1,-5.274053663E-2,-1.779323071E-1,-1.572844982E-1
1.523364070E-1,-5.380579829E-2,-1.768670380E-1,-1.519581825E-1
1.543407820E-1,-4.421842843E-2,-1.747365147E-1,-1.498276591E-1
1.563451570E-1,-4.741421342E-2,-1.715407223E-1,-1.487623900E-1
1.583495320E-1,-4.528369009E-2,-1.662144065E-1,-1.498276591E-1
1.603539070E-1,-4.315315932E-2,-1.640838832E-1,-1.476971209E-1
1.623582820E-1,-4.315315932E-2,-1.598228216E-1,-1.487623900E-1
1.643626570E-1,-3.676158190E-2,-1.555617750E-1,-1.455665976E-1
1.663670320E-1,-3.463105112E-2,-1.523659825E-1,-1.434360743E-1
1.683714070E-1,-3.143525869E-2,-1.481049359E-1,-1.498276591E-1
1.703757820E-1,-3.250052407E-2,-1.459743977E-1,-1.413055360E-1
1.723801570E-1,-2.823946998E-2,-1.427786052E-1,-1.487623900E-1
1.743845320E-1,-2.504367940E-2,-1.374522895E-1,-1.487623900E-1
1.763889070E-1,-2.397841588E-2,-1.342564970E-1,-1.487623900E-1
1.783932820E-1,-1.971736178E-2,-1.342564970E-1,-1.455665976E-1
1.803976570E-1,-1.758683473E-2,-1.278649122E-1,-1.498276591E-1
1.824020320E-1,-1.652157120E-2,-1.225385889E-1,-1.476971209E-1
1.844064070E-1,-9.064726532E-3,-1.246691197E-1,-1.487623900E-1
1.864107820E-1,-5.868935958E-3,-1.182775348E-1,-1.519581825E-1
1.884151570E-1,-7.999463007E-3,-1.172122732E-1,-1.487623900E-1
1.904195320E-1,5.226451904E-4,-1.140164807E-1,-1.476971209E-1
1.924239070E-1,-5.426183343E-4,-1.076249033E-1,-1.466318667E-1
1.944282820E-1,3.718435764E-3,-1.054943725E-1,-1.487623900E-1
1.964326570E-1,1.117528044E-2,-1.012333184E-1,-1.466318667E-1
1.984370320E-1,1.011001691E-2,-9.697226435E-2,-1.445013285E-1
2.004414070E-1,1.224054396E-2,-9.271121025E-2,-1.445013285E-1
2.024457820E-1,1.863212511E-2,-8.738489449E-2,-1.413055360E-1
2.044501570E-1,2.076265216E-2,-8.525437117E-2,-1.402402818E-1
2.064545320E-1,1.756686158E-2,-7.779752463E-2,-1.402402818E-1
2.084589070E-1,2.608896978E-2,-7.353647053E-2,-1.402402818E-1
2.104632820E-1,2.395844273E-2,-7.247120887E-2,-1.381097585E-1
2.124676570E-1,2.182791568E-2,-6.927541643E-2,-1.327834427E-1
2.144720320E-1,2.821949683E-2,-6.394910067E-2,-1.327834427E-1
2.164764070E-1,2.502370626E-2,-6.075330824E-2,-1.306529045E-1
2.184807820E-1,2.289317921E-2,-5.968804657E-2,-1.306529045E-1
2.204851570E-1,1.969738863E-2,-5.755751580E-2,-1.263918579E-1
2.224895320E-1,1.863212511E-2,-5.649225414E-2,-1.253265887E-1
2.244939070E-1,1.863212511E-2,-5.862277746E-2,-1.263918579E-1
2.264982820E-1,1.863212511E-2,-5.649225414E-2,-1.295876503E-1
2.285026570E-1,1.650159806E-2,-5.862277746E-2,-1.178697497E-1
2.305070320E-1,1.330580749E-2,-5.649225414E-2,-1.168044806E-1
2.325114070E-1,9.044753388E-3,-5.649225414E-2,-1.178697497E-1
2.345157820E-1,1.011001691E-2,-6.075330824E-2,-1.125434265E-1
2.365201570E-1,1.011001691E-2,-6.075330824E-2,-1.146739572E-1
2.385245320E-1,1.117528044E-2,-5.436172336E-2,-1.114781648E-1
2.405289070E-1,1.011001691E-2,-5.755751580E-2,-1.136086881E-1
2.425332820E-1,5.848962814E-3,-5.755751580E-2,-1.093476415E-1
2.445376570E-1,7.979489863E-3,-5.542699248E-2,-1.104129031E-1
2.465420320E-1,5.848962814E-3,-5.436172336E-2,-1.082823724E-1
2.485464070E-1,7.979489863E-3,-5.329646170E-2,-1.050865799E-1
2.505507820E-1,3.718435764E-3,-5.436172336E-2,-1.061518490E-1
2.525551570E-1,3.718435764E-3,-5.223120004E-2,-9.869500250E-2
2.545595320E-1,7.979489863E-3,-5.010067299E-2,-9.762974083E-2
2.565639070E-1,3.718435764E-3,-5.329646170E-2,-9.549921006E-2
2.585682820E-1,5.226451904E-4,-5.116593838E-2,-9.123815596E-2
2.605726570E-1,-5.426183343E-4,-5.436172336E-2,-9.123815596E-2
2.625770320E-1,-5.426183343E-4,-5.436172336E-2,-8.484657854E-2
2.645814070E-1,-1.607881859E-3,-5.329646170E-2,-8.271604776E-2
2.665857820E-1,-6.934199482E-3,-5.649225414E-2,-7.845499367E-2
2.685901570E-1,-9.064726532E-3,-5.649225414E-2,-7.525920868E-2
2.705945320E-1,-9.064726532E-3,-5.755751580E-2,-7.632447034E-2
2.725989070E-1,-1.119525358E-2,-5.649225414E-2,-7.525920868E-2
2.746032820E-1,-1.545630768E-2,-5.649225414E-2,-6.886762381E-2
2.766076570E-1,-1.758683473E-2,-5.542699248E-2,-6.886762381E-2
2.786120320E-1,-1.758683473E-2,-5.329646170E-2,-6.567183137E-2
2.806164070E-1,-1.865209825E-2,-5.329646170E-2,-6.247603893E-2
2.826207820E-1,-1.545630768E-2,-4.903540760E-2,-5.821498483E-2
2.846251570E-1,-1.971736178E-2,-4.477435350E-2,-5.821498483E-2
2.866295320E-1,-1.758683473E-2,-4.264383018E-2,-4.969287664E-2
2.886339070E-1,-1.865209825E-2,-3.838277608E-2,-5.182340369E-2
2.906382820E-1,-1.758683473E-2,-3.518698364E-2,-4.969287664E-2
2.926426570E-1,-1.652157120E-2,-2.879540250E-2,-4.969287664E-2
2.946470320E-1,-1.652157120E-2,-2.986066788E-2,-5.288866535E-2
2.966514070E-1,-1.652157120E-2,-2.346908674E-2,-4.543182254E-2
2.986557820E-1,-1.332578063E-2,-2.453434840E-2,-4.649708793E-2
3.006601570E-1,-1.758683473E-2,-2.346908674E-2,-4.543182254E-2
3.026645320E-1,-1.545630768E-2,-2.666487545E-2,-4.436655715E-2
3.046689070E-1,-1.652157120E-2,-3.625224903E-2,-4.117076844E-2
3.066732820E-1,-2.184788883E-2,-4.051330313E-2,-4.117076844E-2
3.086776570E-1,-2.184788883E-2,-4.690488428E-2,-4.117076844E-2
3.106820320E-1,-2.184788883E-2,-5.010067299E-2,-4.010550305E-2
3.126864070E-1,-2.717420645E-2,-5.755751580E-2,-3.158339858E-2
3.146907820E-1,-2.823946998E-2,-5.968804657E-2,-3.690971434E-2
3.166951570E-1,-3.036999702E-2,-5.968804657E-2,-3.690971434E-2
3.186995320E-1,-3.569631651E-2,-6.501436234E-2,-3.051813506E-2
3.207039070E-1,-3.569631651E-2,-6.394910067E-2,-3.051813506E-2
3.227082820E-1,-3.356578946E-2,-6.927541643E-2,-3.051813506E-2
3.247126570E-1,-3.676158190E-2,-6.288383156E-2,-2.945287153E-2
3.267170320E-1,-3.676158190E-2,-6.394910067E-2,-2.625708096E-2
3.287214070E-1,-3.782684356E-2,-6.394910067E-2,-2.838760801E-2
3.307257820E-1,-3.889210522E-2,-6.501436234E-2,-2.732234448E-2
3.327301570E-1,-3.889210522E-2,-6.181856990E-2,-2.519181743E-2
3.347345320E-1,-3.889210522E-2,-6.714488566E-2,-2.306129038E-2
3.367389070E-1,-4.208789766E-2,-6.181856990E-2,-2.412655391E-2
3.387432820E-1,-3.995737433E-2,-6.394910067E-2,-2.412655391E-2
3.407476570E-1,-3.995737433E-2,-6.181856990E-2,-2.519181743E-2
3.427520320E-1,-3.995737433E-2,-6.181856990E-2,-2.732234448E-2
3.447564070E-1,-3.995737433E-2,-5.862277746E-2,-2.199602686E-2
3.467607820E-1,-3.676158190E-2,-5.862277746E-2,-2.199602686E-2
3.487651570E-1,-3.782684356E-2,-5.862277746E-2,-2.199602686E-2
3.507695320E-1,-3.250052407E-2,-5.542699248E-2,-2.625708096E-2
3.527739070E-1,-2.823946998E-2,-5.755751580E-2,-1.986549981E-2
3.547782820E-1,-3.036999702E-2,-5.436172336E-2,-2.519181743E-2
3.567826570E-1,-2.397841588E-2,-5.436172336E-2,-2.093076333E-2
3.587870320E-1,-2.823946998E-2,-5.329646170E-2,-2.199602686E-2
3.607914070E-1,-1.865209825E-2,-5.010067299E-2,-1.986549981E-2
3.627957820E-1,-2.397841588E-2,-5.116593838E-2,-2.412655391E-2
3.648001570E-1,-2.078262530E-2,-4.264383018E-2,-2.412655391E-2
3.668045320E-1,-1.758683473E-2,-3.731751069E-2,-2.519181743E-2
3.688089070E-1,-2.078262530E-2,-3.305645660E-2,-1.986549981E-2
3.708132820E-1,-1.865209825E-2,-2.986066788E-2,-2.519181743E-2
3.728176570E-1,-1.332578063E-2,-2.773014084E-2,-2.199602686E-2
3.748220320E-1,-1.758683473E-2,-2.453434840E-2,-2.093076333E-2
3.768264070E-1,-1.012999006E-2,-1.814276725E-2,-2.412655391E-2
3.788307820E-1,-1.119525358E-2,-1.494697761E-2,-1.986549981E-2
3.808351570E-1,-3.738408908E-3,-1.388171408E-2,-1.986549981E-2
3.828395320E-1,-5.868935958E-3,-1.281645056E-2,-2.093076333E-2
3.848439070E-1,5.226451904E-4,-8.555396460E-3,-1.773497276E-2
3.868482820E-1,1.587908715E-3,-4.294342361E-3,-2.093076333E-2
