"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-5.182971954E0,7.045399017E0,6.396947479E0
9.942000033E-3,-5.194947052E0,7.264393616E0,6.245462494E0
1.988499996E-2,-5.121300201E0,7.077282715E0,6.286776581E0
2.982800000E-2,-4.974904633E0,6.667434998E0,6.521488495E0
3.977000003E-2,-4.608766022E0,6.490802307E0,7.077282715E0
4.971299996E-2,-4.056414642E0,6.262227631E0,7.518864441E0
5.965499999E-2,-3.500021667E0,5.930966492E0,7.780819702E0
6.959800003E-2,-2.996019745E0,5.564079437E0,7.457042999E0
7.953999995E-2,-2.703977051E0,5.326673126E0,7.263794861E0
8.948299999E-2,-2.549348602E0,5.051694946E0,7.337741089E0
9.942500002E-2,-2.403402100E0,4.778513031E0,7.177274780E0
1.093679999E-1,-2.397713928E0,4.704716492E0,7.120542755E0
1.193110000E-1,-2.654879150E0,4.997807007E0,7.049590302E0
1.292530000E-1,-3.010988617E0,5.388195190E0,6.705006866E0
1.391959999E-1,-3.181933136E0,5.744604034E0,6.310726776E0
1.491380000E-1,-3.213816833E0,5.956563263E0,5.899082794E0
1.590810000E-1,-3.133284302E0,5.880671082E0,5.503605194E0
1.690230001E-1,-2.941832428E0,5.727539520E0,5.170847168E0
1.789660000E-1,-2.799328766E0,5.779032440E0,5.090164948E0
1.889090000E-1,-2.922821960E0,6.026318207E0,5.028942261E0
1.988510001E-1,-3.130589905E0,6.387068024E0,4.859344940E0
2.087940000E-1,-3.214565277E0,6.607409821E0,4.725074158E0
2.187360000E-1,-3.146157532E0,6.606661377E0,4.657863922E0
2.286790001E-1,-2.958447876E0,6.466552734E0,4.534221039E0
2.386210000E-1,-2.804867249E0,6.266718292E0,4.396357727E0
2.485640000E-1,-2.723586273E0,6.130950623E0,4.387675781E0
2.585060000E-1,-2.798430634E0,6.120322723E0,4.465813293E0
2.684490000E-1,-3.040626984E0,6.233786774E0,4.544848938E0
2.783920000E-1,-3.403472443E0,6.402935028E0,4.783452759E0
2.883340000E-1,-3.629502411E0,6.652316437E0,5.137915649E0
2.982770000E-1,-3.571423187E0,6.808890839E0,5.351970520E0
3.082190000E-1,-3.358565826E0,6.755002899E0,5.563031616E0
3.181620000E-1,-3.119662628E0,6.576424255E0,5.846542053E0
3.281040000E-1,-2.901416473E0,6.441854095E0,6.150110779E0
3.380522917E-1,-2.686313782E0,6.402336273E0,6.309229889E0
3.479952917E-1,-2.500849457E0,6.447691956E0,6.513105927E0
3.579372916E-1,-2.368374939E0,6.480174408E0,6.812333679E0
3.678802917E-1,-2.237846375E0,6.476881256E0,7.038363647E0
3.778222917E-1,-2.224374390E0,6.356381836E0,6.979985046E0
3.877652916E-1,-2.326312408E0,6.283034363E0,6.778204651E0
3.977072916E-1,-2.481838989E0,6.165528717E0,6.679410095E0
4.076502917E-1,-2.679278412E0,6.010900269E0,6.668632507E0
4.175932916E-1,-2.801125031E0,5.953719177E0,6.731352081E0
4.275352916E-1,-2.846780090E0,6.049370270E0,6.898853760E0
4.374782917E-1,-2.946622467E0,6.289470978E0,7.196135559E0
4.474202917E-1,-2.966980133E0,6.496340790E0,7.562423859E0
4.573632916E-1,-2.855462036E0,6.509064331E0,7.528444519E0
4.673052917E-1,-2.691403198E0,6.523883514E0,7.829917603E0
4.772482917E-1,-2.533032532E0,6.552174683E0,8.004754028E0
4.871902916E-1,-2.353855133E0,6.502478027E0,7.874973907E0
4.971332917E-1,-2.028731232E0,6.461762695E0,7.752079468E0
5.070762917E-1,-1.674268341E0,6.301146698E0,7.711214447E0
5.170182916E-1,-1.338815918E0,6.066734161E0,7.505691833E0
5.269612917E-1,-9.339079285E-1,5.896388397E0,7.107370148E0
5.369032917E-1,-6.162684631E-1,5.755681000E0,6.746470642E0
5.468462916E-1,-4.159849548E-1,5.638474731E0,6.403234406E0
5.567882917E-1,-3.516188049E-1,5.470074921E0,6.191574554E0
5.667312917E-1,-4.812492371E-1,5.201233978E0,6.380332031E0
5.766742916E-1,-7.039860535E-1,4.913382568E0,6.606960754E0
5.866162917E-1,-9.361532593E-1,4.708907776E0,6.659351807E0
5.965592917E-1,-1.077010345E0,4.619693298E0,6.536008301E0
6.065012916E-1,-1.036744080E0,4.595593414E0,6.325995026E0
6.164442917E-1,-8.258326721E-1,4.653073883E0,5.913452911E0
6.263862917E-1,-5.836363220E-1,4.690346375E0,5.825286255E0
6.363292916E-1,-4.430786133E-1,4.584666138E0,5.976322174E0
6.462722917E-1,-4.899311829E-1,4.459825745E0,6.024971008E0
6.562142917E-1,-7.244934082E-1,4.399800568E0,6.004613342E0
6.661572916E-1,-9.509724426E-1,4.367467804E0,5.940696259E0
6.760992917E-1,-1.157991943E0,4.364024963E0,5.945785675E0
6.860422917E-1,-1.341510315E0,4.361779633E0,6.115682373E0
6.959842916E-1,-1.485510864E0,4.276906128E0,6.334078217E0
7.059272917E-1,-1.571282501E0,4.116140442E0,6.304589539E0
7.158702917E-1,-1.590143280E0,4.016447754E0,6.250252533E0
7.258122916E-1,-1.662742310E0,4.004173279E0,6.688391418E0
7.357552917E-1,-1.865121460E0,4.014651489E0,7.406148834E0
7.456972917E-1,-2.102677460E0,4.025728455E0,7.958200836E0
7.556402917E-1,-2.236199799E0,3.983815613E0,8.131540375E0
7.655822916E-1,-2.186503143E0,3.950135651E0,8.038883057E0
7.755252917E-1,-1.920955353E0,3.915108490E0,7.819439392E0
7.854672917E-1,-1.475781097E0,3.850592651E0,7.419171753E0
7.954102916E-1,-1.083446960E0,3.762126617E0,6.909481659E0
8.053532917E-1,-7.593708801E-1,3.755989380E0,6.612648926E0
8.152952917E-1,-6.237528992E-1,3.936364288E0,6.516249390E0
8.252382916E-1,-7.514373779E-1,4.269721069E0,7.062313843E0
8.351802917E-1,-9.743238831E-1,4.619842987E0,7.981402588E0
8.451232917E-1,-1.038240967E0,4.996310120E0,8.356522522E0
8.550652916E-1,-9.607022095E-1,5.246889038E0,8.228388977E0
8.650082917E-1,-8.229885864E-1,5.275180206E0,8.124505005E0
8.749512917E-1,-6.406677246E-1,5.194797363E0,8.123906250E0
8.848932916E-1,-4.516108704E-1,5.106630707E0,8.564889221E0
8.948362917E-1,-3.671864319E-1,5.003794556E0,9.690698090E0
9.047782917E-1,-3.811074829E-1,4.967869263E0,1.109732300E1
9.147212916E-1,-3.423381042E-1,5.098248138E0,1.231025070E1
9.246632917E-1,-1.002914429E-2,5.364993439E0,1.302920563E1
9.346062917E-1,5.337899780E-1,5.521418152E0,1.345551910E1
9.445482916E-1,8.479866028E-1,5.583538971E0,1.407268570E1
9.544912917E-1,7.316784668E-1,5.776936798E0,1.489432709E1
9.644342917E-1,3.826043701E-1,5.982160034E0,1.559831314E1
9.743762916E-1,1.068777466E-1,5.966293030E0,1.606863510E1
9.843192917E-1,6.451583862E-2,5.793701935E0,1.634002075E1
9.942612917E-1,2.912942505E-1,5.458099823E0,1.645378418E1
1.004204292E0,6.176156616E-1,4.902455292E0,1.657622955E1
1.014146292E0,1.011746063E0,4.354145508E0,1.647459091E1
1.024089292E0,1.529070282E0,3.974684601E0,1.608764557E1
1.034031292E0,1.957778778E0,3.656446381E0,1.569486237E1
1.043974292E0,2.413131866E0,3.434907074E0,1.511811172E1
1.053917292E0,2.578238525E0,3.318898315E0,1.411235321E1
1.063859292E0,2.652334442E0,2.882855072E0,1.314311874E1
1.073802292E0,2.666105804E0,2.549348602E0,1.205218735E1
1.083744292E0,2.390079803E0,2.789748688E0,1.057745407E1
1.093687292E0,2.093696136E0,2.887794800E0,9.461075592E0
1.103629292E0,1.846859436E0,2.881358185E0,8.469238129E0
1.113572292E0,1.573527832E0,2.937192078E0,7.691156158E0
1.123515292E0,1.285377045E0,2.964136047E0,6.957980804E0
1.133457292E0,9.744735718E-1,2.989882507E0,6.163732452E0
1.143400292E0,9.309141541E-1,2.906056824E0,5.464985504E0
1.153342292E0,9.271719360E-1,2.730172577E0,4.930596771E0
1.163285292E0,9.102571106E-1,2.666105804E0,4.659660187E0
1.173227292E0,9.223818970E-1,2.776576080E0,4.674629059E0
1.183170292E0,1.069376221E0,3.012335815E0,4.875062256E0
1.193112292E0,1.273252258E0,3.168461151E0,4.997657318E0
1.203055292E0,1.277593231E0,3.095712433E0,5.147346039E0
1.212998292E0,1.267115021E0,2.684068451E0,5.587879944E0
1.222940292E0,1.586101685E0,1.866618347E0,6.373296661E0
1.232883292E0,1.768721924E0,1.553469543E0,6.689439240E0
1.242825292E0,1.829944611E0,1.663640442E0,6.755302277E0
1.252768292E0,1.779499512E0,1.904040527E0,7.077881470E0
1.262710292E0,1.924098816E0,2.022893372E0,7.519014130E0
1.272653292E0,1.941612396E0,1.970202942E0,7.568261719E0
1.282595292E0,1.921105042E0,1.870360565E0,7.585625610E0
1.292538292E0,1.685644684E0,1.915416870E0,7.554640045E0
1.302481292E0,1.490300903E0,1.887125702E0,7.576943665E0
1.312423292E0,1.305585022E0,1.822460175E0,7.384593658E0
1.322366292E0,1.104104004E0,1.840422821E0,7.126530304E0
1.332308750E0,9.018745422E-1,2.054178314E0,7.117998047E0
1.342251750E0,8.316705322E-1,2.352208557E0,7.241042175E0
1.352193750E0,9.366023254E-1,2.410287781E0,7.342231750E0
1.362136750E0,1.017134857E0,2.272574158E0,7.249724121E0
1.372078750E0,1.162033539E0,2.216291199E0,7.152875519E0
1.382021750E0,1.313817902E0,2.284549255E0,7.067103882E0
1.391963750E0,1.396146698E0,2.353106689E0,6.945107574E0
1.401906750E0,1.427132263E0,2.478246460E0,6.863826599E0
1.411849750E0,1.443897400E0,2.687361603E0,6.739285583E0
1.421791750E0,1.420396271E0,2.908601532E0,6.415508881E0
1.431734750E0,1.394500122E0,3.099304962E0,6.048172760E0
1.441676750E0,1.476828918E0,3.320245514E0,5.824388123E0
1.451619750E0,1.584904175E0,3.563489685E0,5.642216949E0
1.461561750E0,1.594334564E0,3.709735565E0,5.432053986E0
1.471504750E0,1.503473511E0,3.817661133E0,5.098697205E0
1.481446750E0,1.452579346E0,3.973487091E0,5.045557709E0
1.491389750E0,1.407073975E0,3.896547089E0,5.212310944E0
1.501332750E0,1.495240631E0,3.828588409E0,5.720953217E0
1.511274750E0,1.634151764E0,4.068689117E0,6.142476654E0
1.521217750E0,1.900897064E0,4.182602234E0,6.523733826E0
1.531159750E0,2.063908081E0,3.945046234E0,6.871909790E0
1.541102750E0,2.070045319E0,3.791465607E0,7.370522919E0
1.551044750E0,2.116149445E0,4.103865967E0,7.748936005E0
1.560987750E0,1.885030060E0,4.588258667E0,8.215665436E0
1.570929750E0,1.618584137E0,4.890330505E0,9.438322906E0
1.580872750E0,1.443448334E0,5.006638641E0,1.093311447E1
1.590814750E0,1.317859497E0,4.973258057E0,1.235470825E1
1.600757750E0,1.338666229E0,4.892426147E0,1.349129471E1
1.610700750E0,1.620979156E0,4.947062531E0,1.438388855E1
1.620642750E0,2.072290649E0,5.088218994E0,1.514655258E1
1.630585750E0,2.512225800E0,5.091811523E0,1.589873840E1
1.640527750E0,2.858904877E0,4.994513855E0,1.681722839E1
1.650470750E0,3.117866364E0,4.737348633E0,1.761387177E1
1.660412750E0,3.477268982E0,4.443958740E0,1.793944473E1
1.670355750E0,3.842509460E0,4.188140717E0,1.786250473E1
1.680297750E0,4.089196472E0,4.085005188E0,1.766641251E1
1.690240750E0,4.105512543E0,4.090992737E0,1.716226089E1
1.700183750E0,3.984414368E0,4.067790985E0,1.634810394E1
1.710125750E0,3.806135101E0,3.993695068E0,1.534578827E1
1.720068750E0,3.551963654E0,4.020040283E0,1.435739365E1
1.730010750E0,3.177741852E0,4.138294373E0,1.337483688E1
1.739953750E0,2.845432892E0,4.294120331E0,1.249077530E1
1.749895750E0,2.593057709E0,4.365072784E0,1.168365372E1
1.759838750E0,2.410736847E0,4.322261810E0,1.092128906E1
1.769780750E0,2.257605286E0,4.204007721E0,1.013766861E1
1.779723750E0,2.158062286E0,4.025878143E0,9.370064850E0
1.789665750E0,2.034718781E0,3.831731873E0,8.700656891E0
1.799608750E0,1.857936401E0,3.698059845E0,8.188571777E0
1.809550750E0,1.685644684E0,3.591182098E0,7.866142273E0
1.819493750E0,1.557511139E0,3.515439606E0,7.514673157E0
1.829436750E0,1.431772614E0,3.416944427E0,7.135960693E0
1.839378750E0,1.303788757E0,3.290307770E0,6.807244263E0
1.849321750E0,1.195863190E0,3.151097260E0,6.536008301E0
1.859263750E0,1.094074860E0,3.072959747E0,6.259533234E0
1.869206750E0,9.894424438E-1,3.041974182E0,5.970634003E0
1.879148750E0,8.740324402E-1,3.022514648E0,5.733826447E0
1.889091750E0,7.367678833E-1,2.981949005E0,5.535189514E0
1.899033750E0,6.270460510E-1,2.930156708E0,5.356461182E0
1.908976750E0,5.143304443E-1,2.841690674E0,5.184618530E0
1.918918750E0,4.333488464E-1,2.741099854E0,5.020709381E0
1.928861750E0,3.594026184E-1,2.677781525E0,4.882995758E0
1.938804750E0,2.463876343E-1,2.630180511E0,4.790188751E0
1.948746750E0,1.478924561E-1,2.523751831E0,4.815785522E0
1.958689750E0,7.948471069E-2,2.425256653E0,4.941374359E0
1.968631750E0,8.083190918E-3,2.401007080E0,5.053341522E0
1.978574750E0,6.286926270E-3,2.376757507E0,5.148543549E0
1.988516750E0,-1.691482544E-2,2.340233459E0,5.211562500E0
1.998459750E0,-1.766326904E-2,2.326013031E0,5.235512695E0
2.008401750E0,-4.251159668E-2,2.413131866E0,5.233117676E0
2.018344750E0,-1.448986816E-1,2.457439728E0,5.151687012E0
2.028286750E0,-1.959425354E-1,2.634820862E0,5.129682770E0
