"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.225399997E-2,-8.688979745E-1,-1.163922906E0,2.542754114E-1
5.219700001E-2,-8.827759624E-1,-1.257164598E0,2.204594016E-1
6.213900005E-2,-8.490145206E-1,-1.147163987E0,1.780379266E-1
7.208199997E-2,-7.524908781E-1,-8.637828231E-1,1.353248209E-1
8.202400000E-2,-5.984257460E-1,-5.342123508E-1,1.053144336E-1
9.196700004E-2,-3.987586796E-1,-1.822923869E-1,7.722154260E-2
1.019090000E-1,-1.621053070E-1,1.046619862E-1,4.225384071E-2
1.118520000E-1,6.684744358E-2,2.484665513E-1,2.090886980E-2
1.217950000E-1,2.580946982E-1,2.820961475E-1,3.206597269E-2
1.317370000E-1,3.796751797E-1,2.566853166E-1,9.569208324E-2
1.416800000E-1,4.612624049E-1,2.172122896E-1,1.925086230E-1
1.516220000E-1,5.027368665E-1,1.901489794E-1,2.760032713E-1
1.615650000E-1,5.074164867E-1,1.810812056E-1,3.094705641E-1
1.715070000E-1,4.636817575E-1,1.361012161E-1,3.169279397E-1
1.814500000E-1,3.737084270E-1,5.565892532E-2,3.444740176E-1
1.913930000E-1,2.777749896E-1,-2.178926393E-2,3.933579326E-1
2.013350000E-1,2.133203447E-1,-9.650489688E-2,4.482658803E-1
2.112780000E-1,1.888525486E-1,-1.735498756E-1,4.806951880E-1
2.212199999E-1,2.042866349E-1,-2.433980852E-1,4.709888101E-1
2.311630000E-1,2.319552749E-1,-2.927038670E-1,4.078772068E-1
2.411050000E-1,2.439046055E-1,-3.390081525E-1,2.835690975E-1
2.510479999E-1,2.063180953E-1,-4.155146480E-1,1.242707893E-1
2.609900000E-1,9.972416610E-2,-5.154044628E-1,-3.433707729E-2
2.709330000E-1,-7.105396688E-2,-6.378081441E-1,-1.790748090E-1
2.808759999E-1,-2.886571884E-1,-7.366154790E-1,-2.861522734E-1
2.908180000E-1,-5.276734829E-1,-7.565463185E-1,-3.353925347E-1
3.007610000E-1,-7.670757771E-1,-7.000706792E-1,-3.230918050E-1
3.107030001E-1,-9.859058857E-1,-5.949362516E-1,-2.782433927E-1
3.206460000E-1,-1.152263284E0,-4.991512001E-1,-2.322914302E-1
3.305880000E-1,-1.260951638E0,-3.868968189E-1,-1.805059910E-1
3.405362917E-1,-1.311571121E0,-3.128637671E-1,-1.265296489E-1
3.504792916E-1,-1.304468989E0,-2.943545580E-1,-7.721189409E-2
3.604212917E-1,-1.225675941E0,-3.109557629E-1,-3.936170414E-2
3.703642917E-1,-1.072563648E0,-2.963818908E-1,-2.980528399E-3
3.803062916E-1,-8.686848283E-1,-2.047104388E-1,3.887774050E-2
3.902492917E-1,-6.484805346E-1,-8.222793043E-2,6.435753405E-2
4.001912917E-1,-4.259399772E-1,2.548425458E-2,4.892838374E-2
4.101342916E-1,-2.209503651E-1,8.844511211E-2,1.153520867E-2
4.200772917E-1,-8.019436151E-2,5.633848906E-2,-1.161857974E-2
4.300192917E-1,-1.266858261E-2,-6.161344796E-2,-1.664077118E-2
4.399622916E-1,-2.429754473E-2,-2.646343410E-1,3.005391685E-3
4.499042917E-1,-1.024317592E-1,-4.684170485E-1,5.094175786E-2
4.598472917E-1,-2.159367502E-1,-7.061587572E-1,1.165470928E-1
4.697892916E-1,-3.563519120E-1,-9.502166510E-1,2.098293602E-1
4.797322917E-1,-4.952796102E-1,-1.152168274E0,2.955990136E-1
4.896742917E-1,-6.251904368E-1,-1.293428183E0,3.719475567E-1
4.996172916E-1,-7.326605320E-1,-1.380502820E0,4.168531001E-1
5.095602917E-1,-7.929539680E-1,-1.385415316E0,4.375163019E-1
5.195022917E-1,-7.970554233E-1,-1.327539563E0,4.445890486E-1
5.294452916E-1,-7.623863816E-1,-1.236618400E0,4.445490837E-1
5.393872916E-1,-6.898461580E-1,-1.120716333E0,4.204964042E-1
5.493302917E-1,-6.137463450E-1,-9.865103364E-1,3.636951745E-1
5.592722917E-1,-5.444949269E-1,-9.186382294E-1,2.669683099E-1
5.692152916E-1,-4.954080582E-1,-9.322730899E-1,1.496070325E-1
5.791582917E-1,-4.785025716E-1,-9.950366616E-1,3.535051644E-2
5.891002917E-1,-4.723970294E-1,-1.050895452E0,-4.833159968E-2
5.990432916E-1,-4.597560465E-1,-1.031157851E0,-9.328310192E-2
6.089852917E-1,-4.320607781E-1,-8.872371912E-1,-9.136429429E-2
6.189282917E-1,-4.269973636E-1,-6.970676184E-1,-9.125649929E-3
6.288702916E-1,-4.561475217E-1,-5.917233229E-1,1.080353260E-1
6.388132917E-1,-5.174803734E-1,-5.622558594E-1,2.523410916E-1
6.487562917E-1,-5.851044059E-1,-5.556464195E-1,3.858336210E-1
6.586982916E-1,-6.441048384E-1,-5.339675546E-1,4.724101126E-1
6.686412917E-1,-6.888550520E-1,-4.909735024E-1,5.053983927E-1
6.785832917E-1,-7.208870649E-1,-4.549747407E-1,4.926702976E-1
6.885262916E-1,-7.304635048E-1,-4.221304953E-1,4.363018274E-1
6.984682917E-1,-7.245728374E-1,-3.421417177E-1,3.290869892E-1
7.084112917E-1,-7.061498761E-1,-2.172338814E-1,2.038619518E-1
7.183542916E-1,-6.771843433E-1,-1.677893698E-1,8.423908055E-2
7.282962917E-1,-6.626394987E-1,-2.641236186E-1,-3.186621517E-2
7.382392917E-1,-6.612625718E-1,-4.736593068E-1,-1.480169445E-1
7.481812916E-1,-6.481971145E-1,-7.194363475E-1,-2.505297363E-1
7.581242917E-1,-5.842546821E-1,-8.970661163E-1,-3.230761290E-1
7.680662917E-1,-4.765793085E-1,-9.631415009E-1,-3.590754271E-1
7.780092916E-1,-3.279784918E-1,-9.265683293E-1,-3.523348272E-1
7.879512917E-1,-2.050389796E-1,-7.781069875E-1,-3.073537946E-1
7.978942917E-1,-1.348139346E-1,-5.944524407E-1,-2.398006320E-1
8.078372916E-1,-1.156287864E-1,-4.589036703E-1,-1.480592638E-1
8.177792917E-1,-1.428592354E-1,-4.741557837E-1,-5.272177607E-2
8.277222917E-1,-2.269253731E-1,-6.725988388E-1,1.703253761E-2
8.376642916E-1,-4.047236145E-1,-8.863693476E-1,7.821788639E-2
8.476072917E-1,-6.769478917E-1,-9.288874865E-1,1.553403735E-1
8.575492917E-1,-9.972454906E-1,-8.194558620E-1,2.545047998E-1
8.674922916E-1,-1.271476150E0,-6.322090030E-1,3.679575920E-1
8.774352917E-1,-1.454318523E0,-4.481142759E-1,4.797176123E-1
8.873772917E-1,-1.558885098E0,-3.675046563E-1,5.445573330E-1
8.973202916E-1,-1.592744946E0,-3.833971620E-1,5.422570705E-1
9.072622916E-1,-1.572715759E0,-4.163900018E-1,4.742894769E-1
9.172052917E-1,-1.488324642E0,-3.753918409E-1,4.145048857E-1
9.271472917E-1,-1.349633574E0,-1.835366488E-1,3.986321688E-1
9.370902916E-1,-1.238880634E0,6.269437075E-2,4.065745175E-1
9.470322917E-1,-1.224039912E0,2.264771760E-1,4.097836316E-1
9.569752917E-1,-1.305964828E0,2.782399058E-1,3.901623487E-1
9.669182916E-1,-1.474040627E0,2.229904830E-1,3.490931988E-1
9.768602917E-1,-1.677229524E0,1.153760776E-1,3.060216606E-1
9.868032917E-1,-1.801864028E0,3.258026019E-2,2.777889669E-1
9.967452916E-1,-1.816101193E0,-3.707689047E-2,2.425336391E-1
1.006688292E0,-1.704973578E0,-7.421786338E-2,1.982450038E-1
1.016630292E0,-1.492321849E0,-3.598737717E-2,1.918120980E-1
1.026573292E0,-1.199593544E0,2.841025405E-2,2.568643093E-1
1.036515292E0,-8.364381194E-1,1.018584445E-1,3.844336867E-1
1.046458292E0,-4.110473692E-1,2.211962938E-1,5.659770966E-1
1.056401292E0,2.615027130E-3,3.416330218E-1,7.435320616E-1
1.066343292E0,3.746541142E-1,3.777042031E-1,8.890277743E-1
1.076286292E0,7.481449246E-1,4.162098765E-1,1.020222068E0
1.086228292E0,1.073490858E0,3.966380358E-1,1.086590528E0
1.096171292E0,1.298015475E0,3.443634510E-1,1.059634686E0
1.106113292E0,1.430306673E0,2.065083832E-1,9.619981647E-1
1.116056292E0,1.506476164E0,-3.149267286E-4,8.115685582E-1
1.125999292E0,1.511258125E0,-1.961321086E-1,6.054420471E-1
1.135941292E0,1.442224145E0,-3.561541736E-1,3.687825501E-1
1.145884292E0,1.303325653E0,-5.020272136E-1,1.661434323E-1
1.155826292E0,1.108615637E0,-6.655520201E-1,4.606380314E-2
1.165769292E0,8.724635839E-1,-8.207733035E-1,7.116401102E-3
1.175711292E0,6.085722446E-1,-9.085549116E-1,1.442300621E-2
