"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,4.190167189E-1,6.928203583E0,6.777232647E0
1.965208000E-3,3.998529315E-1,6.909039497E0,6.796396255E0
3.930625000E-3,3.902710080E-1,6.956949234E0,6.782023430E0
5.897812000E-3,4.285986423E-1,6.985694885E0,6.801187515E0
7.868229000E-3,4.717172384E-1,7.000067711E0,6.796396255E0
9.843125000E-3,5.196268559E-1,7.024022579E0,6.825141907E0
1.182359400E-2,5.867002010E-1,7.081513882E0,6.815560341E0
1.381036500E-2,6.202369332E-1,7.115050793E0,6.801187515E0
1.580395800E-2,6.441916823E-1,7.124632835E0,6.801187515E0
1.780458300E-2,6.873103380E-1,7.167751312E0,6.767650604E0
1.980864600E-2,7.064741254E-1,7.167751312E0,6.743695736E0
2.181270800E-2,7.208470106E-1,7.206079006E0,6.748486996E0
2.382369800E-2,7.064741254E-1,7.230033875E0,6.714950085E0
2.584109400E-2,6.921012998E-1,7.215661049E0,6.710159302E0
2.786447900E-2,6.968922615E-1,7.210869789E0,6.695786476E0
2.988890600E-2,6.825193763E-1,7.215661049E0,6.700577259E0
3.191333300E-2,6.825193763E-1,7.210869789E0,6.710159302E0
3.393776000E-2,6.346098185E-1,7.196496964E0,6.690995216E0
3.596474000E-2,6.202369332E-1,7.201288223E0,6.690995216E0
3.799333300E-2,6.106550097E-1,7.182124138E0,6.695786476E0
4.002255200E-2,5.867002010E-1,7.186914921E0,6.690995216E0
4.204369800E-2,5.819092393E-1,7.148587704E0,6.690995216E0
4.404921900E-2,5.675364137E-1,7.153378487E0,6.700577259E0
4.605474000E-2,5.531635284E-1,7.139005661E0,6.705368042E0
4.806031200E-2,5.531635284E-1,7.143796444E0,6.700577259E0
5.006593700E-2,5.387906432E-1,7.115050793E0,6.724532127E0
5.207161500E-2,5.531635284E-1,7.091095924E0,6.719740868E0
5.407729200E-2,5.483725667E-1,7.115050793E0,6.705368042E0
5.608296900E-2,5.627454519E-1,7.119841576E0,6.681413651E0
5.808760400E-2,5.914911628E-1,7.148587704E0,6.681413651E0
6.009218700E-2,6.394007206E-1,7.167751312E0,6.662249565E0
6.209677100E-2,6.681464911E-1,7.206079006E0,6.652667522E0
6.410135400E-2,6.968922615E-1,7.230033875E0,6.633503914E0
6.610593700E-2,7.016831636E-1,7.239615440E0,6.633503914E0
6.811052100E-2,7.448018193E-1,7.253988743E0,6.628712654E0
7.011510400E-2,7.543837428E-1,7.249197483E0,6.609549046E0
7.211968700E-2,7.543837428E-1,7.249197483E0,6.614339828E0
7.412427100E-2,7.735475302E-1,7.239615440E0,6.604758263E0
7.612885400E-2,7.879204154E-1,7.206079006E0,6.599967003E0
