"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.430944824E-1,9.387428741E0,4.060755615E0
9.938999952E-3,-6.343807983E-1,9.003028107E0,4.341272278E0
1.987699996E-2,-8.583151245E-1,8.626411285E0,4.543651428E0
2.981599997E-2,-9.202862549E-1,8.381819916E0,4.591252441E0
3.975499998E-2,-8.309220886E-1,8.245004425E0,4.477039948E0
4.969299998E-2,-5.888754272E-1,8.138575745E0,4.290677490E0
5.963199999E-2,-3.234773254E-1,8.043673096E0,4.210144958E0
6.957100000E-2,-8.607101440E-2,8.003855896E0,4.183200989E0
7.950999995E-2,5.388793945E-2,8.071365509E0,4.077670441E0
8.944799996E-2,1.209484863E-1,8.153245239E0,3.907773743E0
9.938699997E-2,1.483415222E-1,8.139473877E0,3.832180939E0
1.093260000E-1,2.790197754E-1,8.074508972E0,3.860172729E0
1.192650000E-1,4.034111023E-1,8.105644226E0,3.902235260E0
1.292030000E-1,3.848497009E-1,8.220305786E0,3.881877594E0
1.391420000E-1,3.094065857E-1,8.384963379E0,3.857628021E0
1.490810000E-1,2.411485291E-1,8.609646149E0,3.917054443E0
1.590190000E-1,1.707948303E-1,8.888216858E0,4.015399933E0
1.689580000E-1,2.168989563E-1,9.178612976E0,4.052971802E0
1.788970000E-1,3.138972473E-1,9.420060883E0,4.064497833E0
1.888360000E-1,3.240760803E-1,9.608818359E0,4.125121765E0
1.987740000E-1,2.818638611E-1,9.734706573E0,4.199067993E0
2.087130000E-1,2.272274780E-1,9.801467743E0,4.274660797E0
2.186520000E-1,1.678010559E-1,9.802515564E0,4.327500916E0
2.285900000E-1,1.429527283E-1,9.707463226E0,4.308041382E0
2.385290000E-1,1.577719116E-1,9.580227814E0,4.308191071E0
2.484680000E-1,1.848655701E-1,9.477990417E0,4.301754456E0
2.584070000E-1,2.207908630E-1,9.406139832E0,4.301604767E0
2.683450000E-1,2.655477905E-1,9.341923370E0,4.293222198E0
2.782840000E-1,3.312611389E-1,9.288484497E0,4.233795776E0
2.882230000E-1,3.838018799E-1,9.221873016E0,4.146078186E0
2.981620000E-1,4.020639038E-1,9.154662781E0,4.057163086E0
3.081000000E-1,3.299139404E-1,9.082063751E0,4.029770050E0
3.180390000E-1,2.293231201E-1,8.991951141E0,4.018992462E0
3.279780000E-1,1.257385254E-1,8.903335419E0,3.975433044E0
3.379170000E-1,3.742218018E-2,8.782536621E0,3.933370514E0
3.478550000E-1,-2.694396973E-2,8.667875061E0,3.881428528E0
3.577940000E-1,-9.654922485E-2,8.608748016E0,3.833528137E0
3.677330000E-1,-1.507365417E-1,8.606203308E0,3.807631989E0
3.776710000E-1,-2.165995789E-1,8.643176422E0,3.831282806E0
3.876100000E-1,-3.174897766E-1,8.691825256E0,3.888613586E0
3.975490000E-1,-4.349954224E-1,8.657097473E0,3.959416351E0
4.074880000E-1,-2.839595032E-1,8.528514862E0,4.001478882E0
4.174260000E-1,5.239105225E-3,8.500972137E0,3.989054718E0
4.273650000E-1,1.450483704E-1,8.529862061E0,3.994593201E0
4.373040000E-1,1.422042847E-1,8.724158020E0,4.069736938E0
4.472420000E-1,1.161584473E-1,9.051976318E0,4.249513092E0
4.571810000E-1,9.415420532E-2,9.431137848E0,4.481979675E0
4.671200000E-1,9.744735718E-2,9.703571320E0,4.683011627E0
4.770590000E-1,1.429527283E-1,9.823921051E0,4.822820892E0
4.869970000E-1,2.800675964E-1,9.719288635E0,4.852459259E0
4.969360000E-1,4.096980286E-1,9.384285278E0,4.860542450E0
5.068750000E-1,4.260140991E-1,8.824449463E0,4.988825684E0
5.168140000E-1,3.406915283E-1,8.402027893E0,5.172344055E0
5.267520000E-1,2.459385681E-1,8.152646484E0,5.292693787E0
5.366910000E-1,1.775308228E-1,7.993227997E0,5.301675110E0
5.466300000E-1,1.496887207E-1,7.909402313E0,5.172942810E0
5.565680000E-1,1.607656860E-1,7.860603790E0,5.007087708E0
5.665070000E-1,2.194436646E-1,7.847431183E0,4.841382294E0
5.764460000E-1,2.703378296E-1,7.901618500E0,4.646038513E0
5.863850000E-1,2.755769348E-1,8.049061890E0,4.450545044E0
5.963230000E-1,2.393522644E-1,8.253087616E0,4.275109863E0
6.062620000E-1,1.628613281E-1,8.516090698E0,4.128863983E0
6.162010000E-1,5.179229736E-2,8.825646973E0,4.044140167E0
6.261390000E-1,-8.128097534E-2,9.118288422E0,4.016148376E0
6.360780000E-1,-2.323168945E-1,9.344617767E0,4.041745148E0
6.460170000E-1,-3.775149536E-1,9.485325165E0,4.100273438E0
6.559560000E-1,-5.131329346E-1,9.528585205E0,4.168980560E0
6.658948333E-1,-6.333329773E-1,9.450298004E0,4.220623169E0
6.758338333E-1,-7.571255493E-1,9.255852356E0,4.317771149E0
6.857728333E-1,-8.830137634E-1,8.988657990E0,4.422104187E0
6.957118333E-1,-9.641450500E-1,8.705297241E0,4.501289520E0
7.056498333E-1,-1.003064117E0,8.458610229E0,4.586911469E0
7.155888333E-1,-9.816586304E-1,8.266260223E0,4.636757812E0
7.255278333E-1,-9.074130249E-1,8.118517456E0,4.666545868E0
7.354658333E-1,-7.908055115E-1,8.028853912E0,4.644841003E0
7.454048333E-1,-6.503974915E-1,7.990234222E0,4.568948822E0
7.553438333E-1,-5.035528564E-1,8.008346558E0,4.516258392E0
7.652828333E-1,-3.661386108E-1,8.050708466E0,4.461921387E0
7.752208333E-1,-2.375559998E-1,8.114026794E0,4.438569946E0
7.851598333E-1,-1.486408997E-1,8.202343140E0,4.448150024E0
7.950988333E-1,-9.789642334E-2,8.321794739E0,4.463268585E0
8.050368333E-1,-7.214996338E-2,8.456215210E0,4.509971466E0
8.149758333E-1,-7.723937988E-2,8.553662567E0,4.575684814E0
8.249148333E-1,-9.011260986E-2,8.625064087E0,4.662953339E0
8.348538333E-1,-1.040336609E-1,8.691226501E0,4.753065948E0
8.447918333E-1,-1.160087585E-1,8.754544830E0,4.839436340E0
8.547308333E-1,-1.583706665E-1,8.747509460E0,4.911735992E0
8.646698333E-1,-2.227368164E-1,8.688831482E0,4.982239380E0
8.746078333E-1,-2.829116821E-1,8.639284515E0,5.033432922E0
8.845468333E-1,-2.968327332E-1,8.655750275E0,5.069807281E0
8.944858333E-1,-3.014730835E-1,8.686586151E0,5.083129578E0
9.044248333E-1,-3.165916443E-1,8.719966736E0,5.079537048E0
9.143628333E-1,-3.426374817E-1,8.742270355E0,5.069807281E0
9.243018333E-1,-3.243754578E-1,8.716374207E0,5.033881989E0
9.342408333E-1,-2.885998535E-1,8.652606812E0,4.960684204E0
9.441788333E-1,-2.490820312E-1,8.559949493E0,4.900659027E0
9.541178333E-1,-2.186952209E-1,8.444689178E0,4.836143188E0
9.640568333E-1,-1.932481384E-1,8.338859253E0,4.758155365E0
9.739958333E-1,-1.832189941E-1,8.268505554E0,4.681215363E0
9.839338333E-1,-1.710942078E-1,8.256530457E0,4.612807617E0
9.938728333E-1,-1.529818726E-1,8.244106293E0,4.549339600E0
1.003811833E0,-1.029858398E-1,8.225844269E0,4.506828003E0
1.013750833E0,-3.143463135E-2,8.236621857E0,4.463118896E0
1.023688833E0,3.442840576E-2,8.270601196E0,4.425247650E0
1.033627833E0,9.430389404E-2,8.341403961E0,4.404141541E0
1.043566833E0,1.423539734E-1,8.419990540E0,4.406536560E0
1.053504833E0,1.999841309E-1,8.461454315E0,4.444258118E0
1.063443833E0,2.207908630E-1,8.460855560E0,4.474644928E0
1.073382833E0,2.130070496E-1,8.465944977E0,4.519701233E0
1.083321833E0,1.987866211E-1,8.489595795E0,4.553081818E0
1.093259833E0,2.219883728E-1,8.549920349E0,4.583917694E0
1.103198833E0,2.489323425E-1,8.640631714E0,4.597988434E0
1.113137833E0,2.688409424E-1,8.716374207E0,4.579127655E0
