"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.846399999E-2,-3.257525563E-1,-3.960234113E-3,-2.650802135E-1
5.840700003E-2,-2.981123924E-1,2.269853652E-1,-2.731019258E-1
6.834899995E-2,-2.870359719E-1,4.001305103E-1,-2.204085588E-1
7.829099998E-2,-2.881718278E-1,5.215248466E-1,-1.659538448E-1
8.823400002E-2,-2.841352820E-1,5.854098201E-1,-1.179218665E-1
9.817599994E-2,-2.686873376E-1,5.912751555E-1,-7.248674333E-2
1.081190000E-1,-2.497672141E-1,5.395752192E-1,-1.821663603E-2
1.180610000E-1,-2.274035960E-1,4.779904187E-1,3.038605489E-2
1.280039999E-1,-1.830052435E-1,4.732647240E-1,8.678593487E-2
1.379460000E-1,-1.345498264E-1,4.437552989E-1,1.402089596E-1
1.478890000E-1,-8.414672315E-2,3.778975010E-1,1.831501424E-1
1.578309999E-1,-5.370199308E-2,3.123150170E-1,1.837624013E-1
1.677740000E-1,-5.782576650E-2,2.208240628E-1,1.310551167E-1
1.777160000E-1,-1.143401712E-1,1.112480164E-1,3.818935901E-2
1.876589999E-1,-2.284090370E-1,3.173326328E-2,-6.362948567E-2
1.976010000E-1,-3.461367488E-1,-4.884403199E-3,-1.390456855E-1
2.075440000E-1,-4.458799958E-1,-3.292692825E-2,-1.961983293E-1
2.174859999E-1,-5.307440162E-1,-7.053794712E-2,-2.233908027E-1
2.274290000E-1,-6.027163267E-1,-9.603047371E-2,-2.177213281E-1
2.373710000E-1,-6.570389867E-1,-1.148784682E-1,-1.725594401E-1
2.473130000E-1,-7.257502675E-1,-1.465667337E-1,-1.165996864E-1
2.572560000E-1,-8.097554445E-1,-2.156549990E-1,-8.350964636E-2
2.671980000E-1,-8.713440299E-1,-3.524867594E-1,-1.139653102E-1
2.771410000E-1,-8.825803995E-1,-5.607171655E-1,-1.940414906E-1
2.870829999E-1,-8.459551334E-1,-8.124037385E-1,-2.983498871E-1
2.970260000E-1,-7.655286789E-1,-1.051183820E0,-3.906574249E-1
