"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,6.927686930E-2,6.655118942E0,7.007198334E0
2.000782000E-3,5.011304095E-2,6.664700985E0,7.016780376E0
4.002188000E-3,3.094921261E-2,6.674282551E0,7.007198334E0
6.004323000E-3,6.994426250E-3,6.693446636E0,6.992825508E0
8.007240000E-3,-1.696036011E-2,6.698237419E0,7.002407551E0
1.001041700E-2,-4.091514647E-2,6.693446636E0,7.011989594E0
1.201359400E-2,-6.966088712E-2,6.707819462E0,7.016780376E0
1.401770900E-2,-7.445184886E-2,6.693446636E0,7.021571159E0
1.602182300E-2,-8.882471919E-2,6.693446636E0,7.035944462E0
1.802687500E-2,-9.840662777E-2,6.679073811E0,7.050317287E0
2.003281300E-2,-9.840662777E-2,6.698237419E0,7.045526028E0
2.203953200E-2,-1.223614067E-1,6.674282551E0,7.059898853E0
2.404692700E-2,-9.840662777E-2,6.679073811E0,7.059898853E0
2.605484400E-2,-1.079885364E-1,6.674282551E0,7.074271679E0
2.806312500E-2,-1.127794981E-1,6.659909725E0,7.103017807E0
3.007161500E-2,-1.415252388E-1,6.645536900E0,7.107808590E0
3.208010400E-2,-1.367342919E-1,6.631164074E0,7.117390633E0
3.408588600E-2,-1.558981091E-1,6.612000465E0,7.126972198E0
3.609041700E-2,-1.654800326E-1,6.588045597E0,7.141345501E0
3.809494800E-2,-1.702709794E-1,6.583254337E0,7.131763458E0
4.009947900E-2,-1.702709794E-1,6.592836380E0,7.136554241E0
4.210401100E-2,-1.606890708E-1,6.592836380E0,7.146136284E0
4.410854200E-2,-1.558981091E-1,6.602418423E0,7.165299892E0
4.611307300E-2,-1.558981091E-1,6.602418423E0,7.150927067E0
4.811760400E-2,-1.319433302E-1,6.607209206E0,7.160509109E0
5.012213600E-2,-1.463162005E-1,6.597627640E0,7.174881935E0
5.212666700E-2,-1.319433302E-1,6.616791248E0,7.170091152E0
5.413119800E-2,-1.367342919E-1,6.588045597E0,7.179672718E0
5.613572900E-2,-1.271523684E-1,6.583254337E0,7.179672718E0
5.814026100E-2,-1.319433302E-1,6.564090729E0,7.155718327E0
6.014479200E-2,-1.271523684E-1,6.559299946E0,7.170091152E0
6.214932300E-2,-1.319433302E-1,6.544927120E0,7.150927067E0
6.415385400E-2,-1.367342919E-1,6.525763035E0,7.170091152E0
6.615838600E-2,-1.415252388E-1,6.511390209E0,7.174881935E0
6.816291700E-2,-1.175704598E-1,6.530553818E0,7.179672718E0
7.016744800E-2,-1.127794981E-1,6.506599426E0,7.170091152E0
7.217197900E-2,-8.882471919E-2,6.511390209E0,7.170091152E0
7.417651100E-2,-7.924279571E-2,6.516180992E0,7.160509109E0
7.618104200E-2,-8.403375745E-2,6.492226601E0,7.170091152E0
7.818557300E-2,-4.091514647E-2,6.520972252E0,7.160509109E0
8.019010400E-2,-4.570610076E-2,6.516180992E0,7.150927067E0
8.219463600E-2,-3.612418473E-2,6.540135860E0,7.146136284E0
8.419916700E-2,-3.133323044E-2,6.535345078E0,7.117390633E0
8.620369800E-2,-7.378444076E-3,6.535345078E0,7.088644981E0
8.820822900E-2,2.203471959E-3,6.559299946E0,7.079062939E0
