"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.003281300E-2,1.733716391E-2,4.432828352E-2,3.016027622E-3
2.203953200E-2,1.520663686E-2,3.793669865E-2,8.855005726E-4
2.404692700E-2,1.201084629E-2,4.113249108E-2,1.950764097E-3
2.605484400E-2,1.094558276E-2,4.006722942E-2,1.950764097E-3
2.806312500E-2,6.684528664E-3,4.326301441E-2,6.211817730E-3
3.007161500E-2,7.749792188E-3,4.113249108E-2,8.855005726E-4
3.208010400E-2,2.423474565E-3,3.793669865E-2,8.855005726E-4
3.408588600E-2,5.619265139E-3,3.474090621E-2,3.016027622E-3
3.609041700E-2,4.554001614E-3,3.261038288E-2,1.950764097E-3
3.809494800E-2,2.423474565E-3,2.834932506E-2,1.950764097E-3
4.009947900E-2,-7.723160088E-4,3.047985025E-2,8.855005726E-4
4.210401100E-2,2.929475158E-4,2.621879801E-2,3.016027622E-3
4.410854200E-2,-1.837579533E-3,2.089248039E-2,4.081291147E-3
4.611307300E-2,-3.968106583E-3,1.769668981E-2,8.855005726E-4
4.811760400E-2,-5.033370107E-3,1.982721686E-2,1.950764097E-3
5.012213600E-2,-5.033370107E-3,1.130510960E-2,3.016027622E-3
5.212666700E-2,-6.098633632E-3,1.023984607E-2,1.950764097E-3
5.413119800E-2,-3.968106583E-3,4.913528450E-3,3.016027622E-3
5.613572900E-2,-6.098633632E-3,6.524741184E-4,5.146554206E-3
5.814026100E-2,-6.098633632E-3,-1.478052931E-3,4.081291147E-3
6.014479200E-2,-5.033370107E-3,-1.106542442E-2,-1.797629520E-4
6.214932300E-2,-5.033370107E-3,-1.106542442E-2,6.211817730E-3
6.415385400E-2,-7.163897157E-3,-1.532647852E-2,6.211817730E-3
6.615838600E-2,-8.229160681E-3,-1.958753355E-2,5.146554206E-3
6.816291700E-2,-7.163897157E-3,-2.278332412E-2,6.211817730E-3
7.016744800E-2,-2.902843058E-3,-2.597911470E-2,6.211817730E-3
7.217197900E-2,-6.098633632E-3,-3.237069398E-2,1.153813489E-2
7.417651100E-2,-2.902843058E-3,-3.663174808E-2,9.407607839E-3
7.618104200E-2,-3.968106583E-3,-3.982753679E-2,9.407607839E-3
7.818557300E-2,-1.837579533E-3,-3.982753679E-2,1.792971604E-2
8.019010400E-2,-7.723160088E-4,-4.408859089E-2,1.473392546E-2
8.219463600E-2,-1.837579533E-3,-4.728438333E-2,1.686445251E-2
8.419916700E-2,-1.837579533E-3,-4.941490665E-2,1.686445251E-2
8.620369800E-2,-5.033370107E-3,-5.154543743E-2,2.432129718E-2
8.820822900E-2,-2.902843058E-3,-4.941490665E-2,2.538656071E-2
9.021276100E-2,-5.033370107E-3,-4.728438333E-2,3.071287833E-2
9.221729200E-2,-7.163897157E-3,-4.515385255E-2,2.751708776E-2
9.422182300E-2,-7.163897157E-3,-4.195806757E-2,2.964761667E-2
9.622635400E-2,-1.837579533E-3,-3.982753679E-2,3.177814558E-2
