"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.405171900E-2,2.026930153E-1,2.573809922E-1,-2.164282501E-1
2.605906300E-2,1.994972229E-1,2.637725770E-1,-2.089713961E-1
2.806666700E-2,1.994972229E-1,2.648378611E-1,-1.972535104E-1
3.007437500E-2,1.888445914E-1,2.669683695E-1,-1.897966564E-1
3.208208300E-2,1.877793223E-1,2.722947001E-1,-1.791440248E-1
3.408666700E-2,1.856487989E-1,2.808167934E-1,-1.727524400E-1
3.609125000E-2,1.771266907E-1,2.818820775E-1,-1.620998085E-1
3.809583300E-2,1.739308983E-1,2.946652174E-1,-1.546429694E-1
4.010041700E-2,1.739308983E-1,2.999915481E-1,-1.471861154E-1
4.210500000E-2,1.632782668E-1,3.074483871E-1,-1.407945305E-1
4.410958300E-2,1.590172052E-1,3.138399720E-1,-1.333376914E-1
4.611416700E-2,1.515603662E-1,3.244926035E-1,-1.226850748E-1
4.811875000E-2,1.494298428E-1,3.340799809E-1,-1.162934899E-1
5.012333300E-2,1.409077346E-1,3.426020741E-1,-1.045755893E-1
5.212791700E-2,1.366466731E-1,3.564505279E-1,-1.013798043E-1
5.413250000E-2,1.291898340E-1,3.628420830E-1,-9.392295778E-2
5.613708300E-2,1.281245649E-1,3.745599985E-1,-9.285769612E-2
5.814166700E-2,1.217329800E-1,3.820168376E-1,-8.433558792E-2
6.014625000E-2,1.164066643E-1,3.873431683E-1,-8.220505714E-2
6.215083300E-2,1.132108793E-1,4.022568464E-1,-7.687874138E-2
6.415541700E-2,1.089498252E-1,4.011915922E-1,-7.581347972E-2
6.616000000E-2,1.046887711E-1,4.065178931E-1,-7.048715651E-2
6.816458300E-2,1.004277170E-1,4.097136855E-1,-6.942189485E-2
7.016916700E-2,9.936244786E-2,4.161052704E-1,-6.622610986E-2
7.217375000E-2,9.403613210E-2,4.214316010E-1,-6.729137152E-2
7.417833300E-2,9.190560877E-2,4.214316010E-1,-6.835663319E-2
7.618291700E-2,8.870981634E-2,4.246273935E-1,-6.516083330E-2
7.818750000E-2,8.764455467E-2,4.267579019E-1,-6.729137152E-2
8.019208300E-2,8.231823146E-2,4.278231561E-1,-6.516083330E-2
8.219666700E-2,7.805718482E-2,4.278231561E-1,-6.942189485E-2
8.420125000E-2,8.018770814E-2,4.331494868E-1,-7.048715651E-2
8.620578100E-2,7.912244648E-2,4.299536943E-1,-7.368294895E-2
8.821031300E-2,7.273086160E-2,4.278231561E-1,-7.794400305E-2
9.021484400E-2,7.273086160E-2,4.299536943E-1,-8.113979548E-2
9.221937500E-2,7.166559994E-2,4.267579019E-1,-9.072716534E-2
9.422390600E-2,6.527401507E-2,4.203663170E-1,-9.605348110E-2
9.622843800E-2,6.846980751E-2,4.193010628E-1,-1.003145427E-1
9.823296900E-2,5.888243765E-2,4.107789397E-1,-1.077713817E-1
1.002375000E-1,5.994769931E-2,4.054526389E-1,-1.141629666E-1
1.022420310E-1,5.142559111E-2,4.043873847E-1,-1.237503365E-1
1.042465630E-1,5.249086022E-2,3.969305158E-1,-1.280113757E-1
1.062510940E-1,5.036032945E-2,3.905389607E-1,-1.333376914E-1
1.082556250E-1,4.183822125E-2,3.830820918E-1,-1.397292763E-1
1.102601560E-1,3.970769793E-2,3.777557909E-1,-1.450555921E-1
1.122646880E-1,3.225085139E-2,3.713642061E-1,-1.503819078E-1
1.142692190E-1,3.012032248E-2,3.660378754E-1,-1.578387469E-1
1.162737500E-1,2.692453377E-2,3.553852439E-1,-1.599692851E-1
1.182782810E-1,2.159821801E-2,3.468631506E-1,-1.620998085E-1
1.202828130E-1,1.201084629E-2,3.394062817E-1,-1.620998085E-1
1.222873440E-1,6.684528664E-3,3.266231418E-1,-1.610345393E-1
1.242918750E-1,1.358211040E-3,3.181010187E-1,-1.631650776E-1
1.262964060E-1,-7.723160088E-4,3.021220863E-1,-1.631650776E-1
1.283009380E-1,-1.035968773E-2,2.935999632E-1,-1.599692851E-1
1.303054690E-1,-1.249021478E-2,2.786862850E-1,-1.599692851E-1
1.323100000E-1,-1.781653240E-2,2.616420686E-1,-1.525124311E-1
1.343145310E-1,-2.420811355E-2,2.477936149E-1,-1.514471769E-1
1.363191150E-1,-2.740390413E-2,2.296841294E-1,-1.482513845E-1
1.383236980E-1,-3.486074880E-2,2.126399130E-1,-1.439903229E-1
1.403282810E-1,-4.338286072E-2,1.934651583E-1,-1.418597996E-1
1.423328650E-1,-5.083970726E-2,1.742904186E-1,-1.386640072E-1
1.443374480E-1,-5.403549224E-2,1.561809480E-1,-1.290766448E-1
1.463420310E-1,-6.255760044E-2,1.359409392E-1,-1.258808672E-1
1.483466150E-1,-6.894918531E-2,1.188967302E-1,-1.205545440E-1
1.503511980E-1,-7.427550107E-2,9.865672141E-2,-1.141629666E-1
1.523557810E-1,-8.386287093E-2,8.161250502E-2,-1.067061201E-1
1.543603650E-1,-8.918919414E-2,6.137249991E-2,-9.924927354E-2
1.563649480E-1,-9.771130234E-2,4.432828352E-2,-8.859664202E-2
1.583695310E-1,-1.062334105E-1,3.047985025E-2,-8.433558792E-2
