"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,7.256379724E-1,9.247026443E0,5.809459209E0
2.000833000E-3,5.531635284E-1,9.079342842E0,5.847786903E0
4.002292000E-3,4.094347954E-1,8.940405846E0,5.890905380E0
6.004479000E-3,2.704970837E-1,8.806258202E0,5.934024334E0
8.007448000E-3,1.315593123E-1,8.700857162E0,5.981933594E0
1.001125000E-2,6.994426250E-3,8.605038643E0,6.015470505E0
1.201588500E-2,-9.840662777E-2,8.523591995E0,6.053798199E0
1.402072900E-2,-1.942257732E-1,8.437355042E0,6.092125893E0
1.602557300E-2,-2.756720185E-1,8.365490913E0,6.120871544E0
1.803119800E-2,-3.331634998E-1,8.322372437E0,6.140035152E0
2.003750000E-2,-3.954459429E-1,8.269671440E0,6.130453587E0
2.204437500E-2,-4.577284455E-1,8.236134529E0,6.135244370E0
2.405171900E-2,-4.864741564E-1,8.173851967E0,6.120871544E0
2.605906300E-2,-5.439656377E-1,8.125943184E0,6.106498718E0
2.806666700E-2,-5.631294847E-1,8.087615013E0,6.068171024E0
3.007437500E-2,-6.206209660E-1,8.068450928E0,5.996306419E0
3.208208300E-2,-6.302028894E-1,8.049287796E0,5.957978725E0
3.408666700E-2,-6.445757747E-1,7.991796017E0,5.876532555E0
3.609125000E-2,-6.493667364E-1,7.982213974E0,5.852577686E0
3.809583300E-2,-6.445757747E-1,7.963050365E0,5.775922298E0
4.010041700E-2,-6.110390425E-1,7.972631931E0,5.728013039E0
4.210500000E-2,-5.966661572E-1,7.953468323E0,5.656148434E0
4.410958300E-2,-5.822933316E-1,7.963050365E0,5.622612000E0
4.611416700E-2,-5.343837142E-1,7.967841148E0,5.541165829E0
4.811875000E-2,-5.056380033E-1,7.982213974E0,5.498046875E0
5.012333300E-2,-4.816831946E-1,7.977423191E0,5.450137615E0
5.212791700E-2,-4.385645986E-1,7.987004757E0,5.402227879E0
5.413250000E-2,-3.858640790E-1,7.996586800E0,5.339945316E0
5.613708300E-2,-3.331634998E-1,7.996586800E0,5.315990448E0
5.814166700E-2,-2.612991929E-1,8.006168365E0,5.277662754E0
