"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.844899999E-2,-7.504128665E-2,1.870647967E-1,-3.197785094E-2
5.838700000E-2,-7.380185276E-2,1.962766647E-1,-3.086038679E-2
6.832600001E-2,-7.662811875E-2,1.889518648E-1,-3.480264544E-2
7.826400001E-2,-8.562268317E-2,1.795905828E-1,-4.190050066E-2
8.820299996E-2,-8.550325781E-2,1.712172627E-1,-4.746422917E-2
9.814199997E-2,-8.024670929E-2,1.639324576E-1,-5.808171630E-2
1.080800000E-1,-7.429853827E-2,1.659993380E-1,-7.049897313E-2
1.180190000E-1,-6.599533558E-2,1.673546135E-1,-8.504036814E-2
1.279580000E-1,-5.064380914E-2,1.656512618E-1,-9.312172979E-2
1.378960000E-1,-3.804386407E-2,1.584916264E-1,-9.886137396E-2
1.478350000E-1,-2.899010852E-2,1.459218413E-1,-1.069946662E-1
1.577730000E-1,-2.465608157E-2,1.330662370E-1,-1.136128828E-1
1.677120000E-1,-1.975007541E-2,1.232310981E-1,-1.175218746E-1
1.776510000E-1,-1.667199284E-2,1.173468530E-1,-1.184792817E-1
1.875890000E-1,-1.488058828E-2,1.140613556E-1,-1.143569350E-1
1.975280000E-1,-1.596156508E-2,1.132637411E-1,-1.154533625E-1
2.074660000E-1,-2.828532271E-2,1.176821366E-1,-1.156330109E-1
2.174050000E-1,-3.870760277E-2,1.313103288E-1,-1.111708879E-1
2.273440000E-1,-5.028897151E-2,1.503095478E-1,-1.063616723E-1
2.372820000E-1,-5.357371643E-2,1.581147313E-1,-9.505628794E-2
2.472210000E-1,-5.818592012E-2,1.589970887E-1,-8.637120575E-2
2.571590000E-1,-5.777925625E-2,1.600631475E-1,-7.494331151E-2
2.670980000E-1,-5.573833361E-2,1.570840925E-1,-6.330208480E-2
2.770370000E-1,-4.694803804E-2,1.497289687E-1,-4.873432592E-2
2.869750000E-1,-3.876477852E-2,1.450940520E-1,-3.805314749E-2
2.969140000E-1,-3.339478001E-2,1.435433030E-1,-3.446213901E-2
3.068530000E-1,-2.961259149E-2,1.428132951E-1,-3.383164108E-2
3.167910000E-1,-3.037292324E-2,1.519394219E-1,-3.336851299E-2
3.267300000E-1,-2.230924182E-2,1.616259068E-1,-3.411176428E-2
3.366680000E-1,-1.586785354E-2,1.631356627E-1,-2.923072129E-2
3.466070000E-1,-9.483855218E-3,1.608780771E-1,-2.545000426E-2
3.565460000E-1,-5.583389662E-3,1.554870456E-1,-2.022115327E-2
3.664840000E-1,4.253587220E-3,1.442763060E-1,-1.061638631E-2
3.764230000E-1,1.117141359E-2,1.340095550E-1,-2.693749499E-3
3.863610000E-1,1.941481233E-2,1.218374893E-1,3.316357499E-3
3.963000000E-1,2.304656431E-2,1.129337475E-1,1.167841628E-2
4.062390000E-1,2.129067853E-2,1.055248827E-1,1.191713195E-2
4.161770000E-1,1.283754036E-2,9.545067698E-2,1.887970045E-2
4.261160000E-1,1.290264167E-2,7.599127293E-2,2.507179603E-2
4.360540000E-1,1.020113006E-2,6.006316841E-2,2.869343013E-2
4.459930000E-1,5.863310304E-3,4.279608279E-2,3.216948360E-2
4.559320000E-1,-2.380770864E-3,2.730767243E-2,2.668150514E-2
4.658700000E-1,-1.292140502E-2,1.494334266E-2,2.059852332E-2
4.758090000E-1,-2.185897343E-2,4.936515354E-3,1.222695224E-3
4.857470000E-1,-3.008505516E-2,1.809358597E-3,-7.013453636E-3
4.956860000E-1,-3.471203148E-2,2.922826447E-3,-1.551959105E-2
5.056250000E-1,-4.138680920E-2,2.179560717E-3,-2.826019004E-2
5.155630000E-1,-4.842740670E-2,2.539087553E-3,-4.068117216E-2
5.255020000E-1,-5.258603022E-2,9.474824183E-4,-4.698261619E-2
5.354400000E-1,-5.561590940E-2,6.983270403E-3,-4.518018663E-2
5.453790000E-1,-6.258914620E-2,5.227090791E-3,-5.061864480E-2
5.553180000E-1,-7.184496522E-2,-1.159169711E-3,-5.762276053E-2
5.652556250E-1,-8.494657278E-2,-5.968653131E-3,-6.237481162E-2
5.751946250E-1,-9.223405272E-2,-3.550502937E-3,-6.645477563E-2
5.851326250E-1,-9.664393961E-2,6.034486461E-3,-7.712840289E-2
5.950716250E-1,-1.057772487E-1,2.546996996E-2,-8.200784773E-2
6.050106250E-1,-1.165836528E-1,3.857273981E-2,-8.396051079E-2
6.149486250E-1,-1.267926097E-1,5.877441540E-2,-8.423694223E-2
6.248876250E-1,-1.375799030E-1,7.203572243E-2,-7.901994884E-2
6.348256250E-1,-1.497766525E-1,8.769857138E-2,-7.205311954E-2
6.447646250E-1,-1.560877115E-1,9.374111891E-2,-6.453754753E-2
6.547036250E-1,-1.599929780E-1,1.110016033E-1,-5.215863883E-2
6.646416250E-1,-1.707636416E-1,1.295877546E-1,-4.089200497E-2
6.745806250E-1,-1.801406294E-1,1.464160085E-1,-3.276057541E-2
6.845186250E-1,-1.838360280E-1,1.571563184E-1,-3.138044477E-2
6.944576250E-1,-1.790098399E-1,1.657663137E-1,-3.750917688E-2
7.043966250E-1,-1.720168889E-1,1.727374047E-1,-3.399028629E-2
7.143346250E-1,-1.582888216E-1,1.764162928E-1,-2.673796751E-2
7.242736250E-1,-1.461183280E-1,1.715821922E-1,-1.709114015E-2
7.342126250E-1,-1.337780356E-1,1.591287255E-1,-1.303594559E-2
7.441506250E-1,-1.226414293E-1,1.414065063E-1,-3.958295565E-3
7.540896250E-1,-1.153659448E-1,1.181331426E-1,8.471123874E-4
7.640276250E-1,-1.043620855E-1,1.030329317E-1,4.526223056E-4
7.739666250E-1,-9.619763494E-2,8.764651418E-2,5.540885031E-4
7.839046250E-1,-8.165756613E-2,7.295450568E-2,-2.654925920E-3
7.938436250E-1,-6.224472076E-2,5.893882364E-2,-5.122610368E-3
8.037826250E-1,-4.258702695E-2,4.376009107E-2,-9.558409452E-3
8.137206250E-1,-2.895563468E-2,2.619867399E-2,-9.380510077E-3
8.236596250E-1,-1.163801737E-2,9.749620222E-3,-1.547593251E-2
8.335986250E-1,-1.412278041E-3,-1.069472171E-3,-1.848823391E-2
8.435366250E-1,1.313093677E-2,-3.442620859E-3,-2.213735506E-2
8.534756250E-1,2.572582290E-2,-5.377407186E-3,-1.709492691E-2
8.634136250E-1,3.468199074E-2,-1.246568747E-2,-1.909102313E-2
8.733526250E-1,4.014785960E-2,-1.478024013E-2,-1.311062835E-2
