"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.954186249E0,8.980574799E0,3.961961060E0
9.939000010E-3,1.911974030E0,8.965755615E0,4.012256470E0
1.987699996E-2,1.764830017E0,8.910819855E0,4.053720245E0
2.981599997E-2,1.698966980E0,8.813971252E0,4.074526978E0
3.975499998E-2,1.723964996E0,8.796008606E0,4.095782776E0
4.969299998E-2,1.657203827E0,8.845555573E0,4.090094604E0
5.963199999E-2,1.518442383E0,8.914113007E0,4.036805420E0
6.956999999E-2,1.431922302E0,8.936266937E0,4.041296082E0
7.950900000E-2,1.406175842E0,8.887767792E0,4.091591492E0
8.944799996E-2,1.382974091E0,8.857979736E0,4.117637329E0
9.938599996E-2,1.346899109E0,8.799301758E0,4.138444061E0
1.093250000E-1,1.333876190E0,8.748856659E0,4.154011688E0
1.192640000E-1,1.317111053E0,8.729097748E0,4.121678925E0
1.292020000E-1,1.265019379E0,8.713230743E0,4.113595734E0
1.391410000E-1,1.198557587E0,8.715326385E0,4.140240326E0
1.490790000E-1,1.140777740E0,8.705895996E0,4.150568848E0
1.590180000E-1,1.140927429E0,8.641529846E0,4.139342194E0
1.689570000E-1,1.165027313E0,8.581804047E0,4.144281921E0
1.788950000E-1,1.179098053E0,8.537346497E0,4.161645813E0
1.888340000E-1,1.185235291E0,8.529263306E0,4.142335968E0
1.987720000E-1,1.185684357E0,8.529263306E0,4.114493866E0
2.087110000E-1,1.240171051E0,8.498427429E0,4.048331451E0
2.186500000E-1,1.290316772E0,8.478069763E0,3.997886353E0
2.285880000E-1,1.288819885E0,8.487649841E0,3.953428802E0
2.385270000E-1,1.259630585E0,8.529712372E0,3.924538879E0
2.484650000E-1,1.213526459E0,8.564440155E0,3.929328918E0
2.584040000E-1,1.180445251E0,8.578510895E0,3.922592926E0
2.683430000E-1,1.162183228E0,8.571774902E0,3.913312225E0
2.782810000E-1,1.129850464E0,8.582851868E0,3.918850708E0
2.882200000E-1,1.087488556E0,8.626860352E0,3.956871643E0
2.981590000E-1,1.088835754E0,8.654702454E0,3.953728180E0
3.080970000E-1,1.121467896E0,8.668324127E0,3.925586700E0
3.180360000E-1,1.137185211E0,8.712631989E0,3.904480591E0
3.279740000E-1,1.119821320E0,8.777596893E0,3.913761292E0
3.379130000E-1,1.067430267E0,8.830586700E0,3.952979736E0
3.478520000E-1,1.008602600E0,8.885073395E0,4.018244019E0
3.577900000E-1,9.668394470E-1,8.936117249E0,4.078269196E0
3.677290000E-1,9.247769165E-1,8.941805420E0,4.121529236E0
3.776670000E-1,8.789721680E-1,8.928483124E0,4.163591766E0
3.876060000E-1,8.545729065E-1,8.928034058E0,4.186494141E0
3.975450000E-1,8.521778870E-1,8.947044525E0,4.181704102E0
4.074830000E-1,8.315208435E-1,8.954678650E0,4.160747681E0
4.174220000E-1,7.979905701E-1,8.959319000E0,4.182452545E0
4.273600000E-1,7.327262878E-1,8.983418884E0,4.216880951E0
4.372990000E-1,7.003935242E-1,9.011260986E0,4.227209473E0
4.472380000E-1,6.896159363E-1,9.027127991E0,4.219425659E0
4.571760000E-1,7.057823181E-1,9.010811920E0,4.198319550E0
4.671150000E-1,7.448510742E-1,8.972641296E0,4.193230133E0
4.770530000E-1,7.728428650E-1,8.876690826E0,4.226161652E0
4.869920000E-1,8.881031799E-1,8.766669617E0,4.239783325E0
4.969310000E-1,8.189469910E-1,8.706943817E0,4.281396790E0
5.068690000E-1,7.764353943E-1,8.677305450E0,4.291276245E0
5.168080000E-1,9.134005737E-1,8.687035217E0,4.323908386E0
5.267460000E-1,1.009351044E0,8.743916931E0,4.344864807E0
5.366850000E-1,9.925859070E-1,8.818461914E0,4.368216248E0
5.466240000E-1,9.740245056E-1,8.853339386E0,4.404889984E0
5.565616250E-1,1.043629761E0,8.873996429E0,4.440815277E0
5.665006250E-1,1.122066650E0,8.901988220E0,4.470753021E0
5.764386250E-1,1.129102020E0,8.909622345E0,4.503235474E0
5.863776250E-1,1.216220856E0,8.858578491E0,4.544100494E0
5.963166250E-1,1.363664246E0,8.840466156E0,4.554728394E0
6.062546250E-1,1.429826660E0,8.868008881E0,4.576283569E0
6.161936250E-1,1.414708099E0,8.847052460E0,4.615801392E0
6.261316250E-1,1.379082184E0,8.819360046E0,4.646637268E0
6.360706250E-1,1.336420898E0,8.773704987E0,4.683311005E0
6.460096250E-1,1.360520782E0,8.693471832E0,4.683610382E0
6.559476250E-1,1.350341949E0,8.653205566E0,4.629722443E0
6.658866250E-1,1.264270935E0,8.660839691E0,4.543950806E0
6.758246250E-1,1.189725952E0,8.589737549E0,4.474046173E0
6.857636250E-1,1.203796692E0,8.519533539E0,4.426445160E0
6.957026250E-1,1.206042023E0,8.498277740E0,4.404590607E0
7.056406250E-1,1.128203888E0,8.580606537E0,4.345164185E0
7.155796250E-1,1.029109955E0,8.672365723E0,4.321962433E0
7.255186250E-1,9.458830261E-1,8.718170471E0,4.304149475E0
7.354566250E-1,8.428971863E-1,8.730894012E0,4.296665039E0
7.453956250E-1,7.569758606E-1,8.722212067E0,4.301006012E0
7.553336250E-1,7.057823181E-1,8.731343079E0,4.291425934E0
7.652726250E-1,6.966513062E-1,8.723708954E0,4.279001770E0
7.752106250E-1,6.947053528E-1,8.676557007E0,4.281247101E0
7.851496250E-1,6.924600220E-1,8.604856110E0,4.280049591E0
7.950886250E-1,6.644682312E-1,8.519683228E0,4.280199280E0
8.050266250E-1,6.426136780E-1,8.486901398E0,4.292174377E0
8.149656250E-1,6.379733276E-1,8.511600037E0,4.314777374E0
8.249046250E-1,6.644682312E-1,8.544232178E0,4.321513367E0
8.348426250E-1,7.214996338E-1,8.570876770E0,4.333189087E0
8.447816250E-1,7.667056274E-1,8.565637665E0,4.383933563E0
8.547196250E-1,7.825726318E-1,8.565637665E0,4.422403564E0
8.646586250E-1,7.990383911E-1,8.587791595E0,4.449347534E0
8.745976250E-1,8.301736450E-1,8.613837433E0,4.484823761E0
8.845356250E-1,8.614585876E-1,8.638386383E0,4.511468353E0
8.944746250E-1,8.869056702E-1,8.638087006E0,4.523593140E0
9.044126250E-1,9.030720520E-1,8.627159729E0,4.543651428E0
9.143516250E-1,8.885522461E-1,8.610244904E0,4.572840729E0
9.242906250E-1,8.439450073E-1,8.601263580E0,4.598437500E0
9.342286250E-1,7.996371460E-1,8.614136810E0,4.615502014E0
9.441676250E-1,7.878117371E-1,8.623866577E0,4.615352325E0
9.541056250E-1,7.903564453E-1,8.644822998E0,4.599185944E0
9.640446250E-1,8.051756287E-1,8.659193115E0,4.572391663E0
9.739826250E-1,8.056246948E-1,8.685837708E0,4.552183685E0
9.839216250E-1,7.807763672E-1,8.700058136E0,4.537663879E0
9.938606250E-1,7.423063660E-1,8.722511444E0,4.513713684E0
1.003798625E0,7.051835632E-1,8.743168488E0,4.509821777E0
1.013737625E0,6.734495544E-1,8.737180939E0,4.472399597E0
1.023675625E0,6.426136780E-1,8.725654907E0,4.437971191E0
1.033614625E0,5.942642212E-1,8.719367981E0,4.390220490E0
1.043553625E0,5.492079163E-1,8.716074829E0,4.338128815E0
1.053491625E0,5.137316895E-1,8.750802612E0,4.295018463E0
1.063430625E0,4.562512207E-1,8.803942108E0,4.254153442E0
1.073369625E0,3.986210632E-1,8.859476624E0,4.205654297E0
1.083307625E0,3.353027344E-1,8.899892578E0,4.140090637E0
1.093246625E0,2.748284912E-1,8.903634796E0,4.100572815E0
1.103184625E0,2.154020691E-1,8.891060944E0,4.050127716E0
1.113123625E0,1.580712891E-1,8.865464172E0,4.011807404E0
1.123061625E0,8.996292114E-2,8.840466156E0,3.960314484E0
1.133000625E0,2.499801636E-2,8.800648956E0,3.894750824E0
1.142939625E0,-2.499801636E-2,8.785081329E0,3.831282806E0
1.152877625E0,-7.080276489E-2,8.771309967E0,3.745810547E0
1.162816625E0,-1.197509766E-1,8.756191406E0,3.667673035E0
1.172754625E0,-1.655557251E-1,8.745862885E0,3.595972137E0
1.182693625E0,-2.080673218E-1,8.739276581E0,3.520379333E0
1.192632625E0,-2.501298523E-1,8.716673584E0,3.458857269E0
1.202570625E0,-2.742297363E-1,8.675958252E0,3.423231354E0
1.212509625E0,-2.917433167E-1,8.647816772E0,3.420686646E0
1.222447625E0,-2.939886475E-1,8.626860352E0,3.446433105E0
1.232386625E0,-2.743794250E-1,8.642577667E0,3.461551666E0
1.242325625E0,-2.550695801E-1,8.697962494E0,3.478466492E0
1.252263625E0,-2.692900085E-1,8.750802612E0,3.489842834E0
1.262202625E0,-3.026705933E-1,8.806935883E0,3.502416687E0
1.272140625E0,-3.526666260E-1,8.867410126E0,3.519930267E0
1.282079625E0,-3.836521912E-1,8.882229309E0,3.512146454E0
1.292018625E0,-4.230203247E-1,8.834328918E0,3.473975830E0
1.301956625E0,-4.492158508E-1,8.860075378E0,3.470982056E0
1.311895625E0,-4.517605591E-1,9.091344452E0,3.516786804E0
1.321833625E0,-4.435276794E-1,9.460177460E0,3.570974121E0
1.331772625E0,-5.254074097E-1,9.822424164E0,3.624562683E0
1.341711625E0,-6.819818115E-1,1.006072861E1,3.710633698E0
1.351649625E0,-8.273295593E-1,1.023346939E1,3.814068604E0
1.361588625E0,-8.652008057E-1,1.031744476E1,3.899540863E0
1.371526625E0,-8.168513489E-1,1.039917480E1,3.948788452E0
1.381465625E0,-7.158114624E-1,1.049482590E1,3.955823822E0
1.391404625E0,-6.126759338E-1,1.055949142E1,3.888463898E0
1.401342625E0,-5.469625854E-1,1.052401520E1,3.795058136E0
1.411281625E0,-5.210664368E-1,1.041414368E1,3.682342529E0
1.421219625E0,-4.986131287E-1,1.028256729E1,3.565884705E0
1.431158625E0,-4.626878357E-1,1.022703278E1,3.465593262E0
1.441097625E0,-4.564009094E-1,1.022778122E1,3.428320770E0
1.451035625E0,-4.641847229E-1,1.017359390E1,3.385809174E0
1.460974625E0,-4.460723877E-1,1.009889923E1,3.316652985E0
