"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.844899999E-2,-3.902597353E-2,-1.234446242E-1,1.220317557E-1
5.838800000E-2,-5.509820580E-2,-1.211247146E-1,1.202005893E-1
6.832600001E-2,-6.055182591E-2,-1.072200835E-1,1.051963419E-1
7.826499996E-2,-6.021267548E-2,-8.133126050E-2,9.121782333E-2
8.820399997E-2,-4.877679422E-2,-6.264066696E-2,7.610039413E-2
9.814199997E-2,-3.447628394E-2,-6.074818596E-2,6.482575089E-2
1.080810000E-1,-2.647428215E-2,-6.449259073E-2,5.587273091E-2
1.180200000E-1,-1.422733814E-2,-7.752001286E-2,5.306724086E-2
1.279590000E-1,-7.968643680E-3,-9.782421589E-2,5.007224903E-2
1.378970000E-1,-1.828304958E-3,-1.155510321E-1,3.924188390E-2
1.478360000E-1,2.907860558E-3,-1.364174336E-1,3.183323517E-2
1.577750000E-1,6.883825641E-3,-1.448690146E-1,2.574060485E-2
1.677130000E-1,1.396091096E-2,-1.478080750E-1,1.929016411E-2
1.776520000E-1,2.004475147E-2,-1.432009786E-1,1.153855585E-2
1.875910000E-1,2.133372054E-2,-1.333129406E-1,7.083354052E-3
1.975290000E-1,2.416092716E-2,-1.211844459E-1,4.455911927E-3
2.074680000E-1,3.013998829E-2,-1.132040173E-1,8.638403378E-4
2.174070000E-1,3.273279965E-2,-1.045323908E-1,-3.300291952E-3
2.273450000E-1,2.981504053E-2,-1.009309962E-1,-7.802099455E-3
2.372840000E-1,2.873955294E-2,-9.608931094E-2,-9.593836963E-3
2.472230000E-1,2.240602486E-2,-9.018748254E-2,-9.399959818E-3
2.571620000E-1,2.254486084E-2,-8.473911881E-2,-1.228855364E-2
2.671000000E-1,1.690242253E-2,-7.883835584E-2,-9.083174169E-3
2.770390000E-1,1.135750301E-2,-7.846766710E-2,-1.326036081E-2
2.869780000E-1,6.021594163E-3,-7.557041943E-2,-8.768405765E-3
2.969160000E-1,3.405636642E-3,-7.220487297E-2,-8.720926940E-3
3.068550000E-1,-1.038912684E-3,-6.767296791E-2,-8.135564625E-3
3.167940000E-1,-3.329970641E-3,-6.160731614E-2,-7.386842743E-3
3.267320000E-1,-2.237009350E-3,-5.903470144E-2,-1.257894188E-2
