"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,3.121009827E-1,8.997639313E0,4.763244781E0
9.939000010E-3,3.219804382E-1,8.771759033E0,4.901856537E0
1.987799996E-2,9.864486694E-2,8.634344788E0,5.064568176E0
2.981599997E-2,-1.541793823E-1,8.612340546E0,5.116360474E0
3.975499998E-2,-2.835104370E-1,8.577463074E0,5.090015259E0
4.969399999E-2,-1.992356873E-1,8.551566925E0,4.999154205E0
5.963199999E-2,3.772155762E-2,8.586893463E0,4.827610931E0
6.957100000E-2,2.224374390E-1,8.630901947E0,4.642895050E0
7.951000001E-2,2.386038208E-1,8.670868835E0,4.618196411E0
8.944800001E-2,1.960922241E-1,8.701105957E0,4.652175751E0
9.938699997E-2,1.408570862E-1,8.689729614E0,4.705315247E0
1.093260000E-1,6.900650024E-2,8.677155762E0,4.753664703E0
1.192650000E-1,7.185058594E-3,8.638536072E0,4.788242798E0
1.292030000E-1,-4.176315308E-2,8.592132568E0,4.820126495E0
1.391420000E-1,-2.544708252E-2,8.560548248E0,4.825964355E0
1.490810000E-1,1.811233521E-2,8.539591827E0,4.814737701E0
1.590190000E-1,5.149291992E-2,8.511749725E0,4.802163849E0
1.689580000E-1,8.891510010E-2,8.499924316E0,4.797074432E0
1.788970000E-1,1.508862305E-1,8.496331787E0,4.780758362E0
1.888350000E-1,2.074685669E-1,8.474028168E0,4.740641785E0
1.987740000E-1,2.279759216E-1,8.435408478E0,4.741689606E0
2.087130000E-1,2.287243652E-1,8.404572601E0,4.769681396E0
2.186510000E-1,2.420466614E-1,8.371940460E0,4.770130463E0
2.285900000E-1,2.508782959E-1,8.362510071E0,4.772076416E0
2.385290000E-1,2.597099304E-1,8.392148438E0,4.763843536E0
2.484680000E-1,2.631527710E-1,8.412506104E0,4.763993225E0
2.584060000E-1,2.610571289E-1,8.422086182E0,4.762646027E0
2.683450000E-1,2.695893860E-1,8.429420929E0,4.755460968E0
2.782840000E-1,2.589614868E-1,8.446934509E0,4.769681396E0
2.882220000E-1,2.418969727E-1,8.469687195E0,4.786296844E0
2.981610000E-1,2.293231201E-1,8.479117584E0,4.787494354E0
3.081000000E-1,2.374063110E-1,8.492439880E0,4.771926727E0
3.180380000E-1,2.257305908E-1,8.500074005E0,4.785847778E0
3.279770000E-1,1.853146362E-1,8.496481476E0,4.798870697E0
3.379160000E-1,1.559756470E-1,8.528664551E0,4.811145172E0
3.478550000E-1,1.380130005E-1,8.566086731E0,4.831502838E0
3.577930000E-1,1.158590698E-1,8.606502686E0,4.859195251E0
3.677320000E-1,1.116677856E-1,8.621920624E0,4.873415680E0
3.776710000E-1,9.969268799E-2,8.622220001E0,4.889881439E0
3.876090000E-1,8.472381592E-2,8.640931091E0,4.897066498E0
3.975480000E-1,8.442443848E-2,8.649014282E0,4.900808716E0
4.074870000E-1,9.160949707E-2,8.644373932E0,4.913681946E0
4.174250000E-1,6.301895142E-2,8.669371948E0,4.920867004E0
4.273640000E-1,1.071771240E-1,8.690178680E0,4.909640350E0
4.373030000E-1,1.809736633E-1,8.682245178E0,4.930896149E0
4.472420000E-1,2.417472839E-1,8.682843933E0,4.946314087E0
4.571800000E-1,2.857557678E-1,8.660690002E0,4.947212219E0
4.671190000E-1,3.317102051E-1,8.609646149E0,4.957241364E0
4.770580000E-1,3.640429688E-1,8.554710388E0,4.977149963E0
4.869960000E-1,3.564088440E-1,8.510252838E0,5.002597046E0
4.969350000E-1,3.299139404E-1,8.489446106E0,4.974904633E0
5.068740000E-1,3.089575195E-1,8.503666534E0,4.999603271E0
5.168120000E-1,3.098556519E-1,8.537196808E0,4.998405762E0
5.267510000E-1,3.260220337E-1,8.537795563E0,4.927602997E0
5.366900000E-1,3.763174438E-1,8.525820465E0,4.837939453E0
5.466280000E-1,4.391867065E-1,8.506061554E0,4.805007935E0
5.565670000E-1,4.070036316E-1,8.510103149E0,4.768932953E0
5.665060000E-1,3.814068604E-1,8.479866028E0,4.752317505E0
5.764450000E-1,3.462300110E-1,8.428822174E0,4.784201202E0
5.863830000E-1,2.883004761E-1,8.383017426E0,4.770729218E0
5.963220000E-1,2.531236267E-1,8.348139954E0,4.747228088E0
6.062610000E-1,2.550695801E-1,8.314160614E0,4.735851746E0
6.161990000E-1,2.591111755E-1,8.316405945E0,4.718038788E0
6.261380000E-1,2.656974792E-1,8.332422638E0,4.715344391E0
6.360770000E-1,2.710862732E-1,8.353528748E0,4.713697815E0
6.460150000E-1,2.683918762E-1,8.377478943E0,4.714146881E0
6.559540000E-1,2.698887634E-1,8.395740967E0,4.744833069E0
6.658930000E-1,2.634521484E-1,8.399632874E0,4.775968323E0
6.758310000E-1,2.722837830E-1,8.405470734E0,4.798870697E0
6.857700000E-1,2.951861572E-1,8.396190033E0,4.826413422E0
6.957090000E-1,3.276686096E-1,8.394842834E0,4.873265991E0
7.056480000E-1,3.737727356E-1,8.407566376E0,4.923262024E0
