"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.596300004E-2,2.702537775E-1,4.754177481E-2,5.793437362E-2
5.590200005E-2,2.914312184E-1,-1.737331040E-2,6.335444003E-2
6.584000005E-2,2.811255753E-1,-7.508537918E-2,6.994222105E-2
7.577800000E-2,2.337798923E-1,-1.128183752E-1,7.822971046E-2
8.571600000E-2,1.751235873E-1,-1.160849035E-1,9.442063421E-2
9.565500001E-2,1.101187691E-1,-9.107436240E-2,1.139748991E-1
1.055930000E-1,5.770901963E-2,-5.526591092E-2,1.352990270E-1
1.155310000E-1,2.306795307E-2,-1.888073795E-2,1.627825797E-1
1.254700000E-1,5.337203387E-3,1.977876574E-2,1.867777407E-1
1.354080000E-1,-7.813485339E-3,5.594848841E-2,2.033391446E-1
1.453460000E-1,-1.407082379E-2,8.606553078E-2,2.080705166E-1
1.552850000E-1,-7.995354943E-3,9.623987228E-2,2.059604824E-1
1.652230000E-1,1.225606538E-2,9.394137561E-2,2.014940232E-1
1.751610001E-1,3.493661061E-2,9.484045953E-2,1.893886328E-1
1.850990001E-1,5.753937736E-2,9.776552767E-2,1.760471612E-1
1.950380000E-1,7.762946934E-2,1.039296836E-1,1.569602937E-1
2.049760000E-1,8.934895694E-2,1.104770601E-1,1.360689700E-1
2.149140000E-1,9.750089049E-2,1.121545807E-1,1.168017909E-1
2.248530000E-1,1.005045250E-1,1.153319851E-1,1.015543565E-1
2.347910000E-1,1.020108089E-1,1.228402331E-1,8.699671924E-2
2.447290000E-1,9.924801439E-2,1.413692534E-1,7.079093903E-2
2.546680000E-1,8.668588102E-2,1.642239690E-1,5.605088174E-2
2.646060000E-1,5.910293013E-2,2.002232671E-1,3.604203835E-2
2.745440000E-1,8.458126336E-3,2.424865663E-1,9.353170171E-3
2.844830001E-1,-4.631413519E-2,2.823702395E-1,-1.328952983E-2
2.944210000E-1,-9.330428392E-2,3.084995747E-1,-4.094193131E-2
3.043590000E-1,-1.350478381E-1,3.280309141E-1,-6.647014618E-2
3.142970000E-1,-1.638459414E-1,3.330038190E-1,-9.013818949E-2
3.242360000E-1,-1.810362488E-1,3.212448955E-1,-1.001402661E-1
