"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-2.009571075E0,7.422764282E0,6.193071442E0
9.941999917E-3,-1.916913757E0,7.446864166E0,5.909411316E0
1.988499996E-2,-2.006427612E0,7.354506226E0,5.772595825E0
2.982800000E-2,-2.052980804E0,7.394622803E0,5.456303558E0
3.976999992E-2,-1.981878662E0,7.508685608E0,5.094206543E0
4.971299996E-2,-1.745520172E0,7.556136932E0,4.808151398E0
5.965499999E-2,-1.382375336E0,7.538922729E0,4.622238007E0
6.959799991E-2,-1.025966492E0,7.537425842E0,4.601580963E0
7.953999995E-2,-8.559201050E-1,7.639663239E0,4.800666962E0
8.948299999E-2,-7.476951599E-1,7.705077209E0,5.004393311E0
9.942500002E-2,-5.313949585E-1,7.728278961E0,5.041067047E0
1.093679999E-1,-3.213816833E-1,7.735613708E0,5.097200317E0
1.193100000E-1,-2.911445618E-1,7.677235107E0,5.149741058E0
1.292530000E-1,-3.766168213E-1,7.639812927E0,5.219945068E0
1.391949999E-1,-5.054988098E-1,7.562423859E0,5.240003357E0
1.491380000E-1,-7.143145752E-1,7.510182495E0,5.148393860E0
1.590800000E-1,-9.136999512E-1,7.548353119E0,5.017715607E0
1.690229999E-1,-1.093625793E0,7.620952148E0,4.948559418E0
1.789650000E-1,-1.249751129E0,7.740403748E0,4.949008484E0
1.889080000E-1,-1.299597473E0,7.881709900E0,4.880001984E0
1.988499999E-1,-1.287772064E0,7.991581421E0,4.776567078E0
2.087930000E-1,-1.255888367E0,8.063432007E0,4.771777039E0
2.187350000E-1,-1.204545135E0,8.080496521E0,4.835095367E0
2.286779999E-1,-1.171912994E0,8.046816559E0,4.820425873E0
2.386200000E-1,-1.121767273E0,8.131839752E0,4.865332489E0
2.485630000E-1,-1.005459137E0,8.346343689E0,5.016069031E0
2.585049999E-1,-9.035211182E-1,8.526119843E0,5.150938568E0
2.684480000E-1,-1.089284821E0,8.679401093E0,5.224735107E0
2.783900000E-1,-1.520388336E0,8.965306549E0,5.449118500E0
2.883329999E-1,-1.876198425E0,9.414073334E0,5.719456329E0
2.982750000E-1,-2.081721039E0,9.701325989E0,5.921536102E0
3.082180000E-1,-2.177222443E0,9.849517822E0,6.202352142E0
3.181600000E-1,-2.233655090E0,1.016431320E1,6.621630249E0
3.281029999E-1,-2.318229218E0,1.051623138E1,7.668702850E0
3.380450000E-1,-2.559527435E0,1.058463913E1,8.990005188E0
3.479880000E-1,-2.843936005E0,1.051578232E1,9.926158447E0
3.579299999E-1,-3.018622742E0,1.034034714E1,1.059406952E1
3.678730000E-1,-2.940784607E0,1.015997223E1,1.081321381E1
3.778150000E-1,-2.651735687E0,9.930948486E0,1.061038559E1
3.877579999E-1,-2.174378357E0,9.608369293E0,1.055694672E1
3.977000000E-1,-1.567390594E0,9.129066010E0,1.074750046E1
4.076430000E-1,-1.022224274E0,8.707692261E0,1.131137787E1
4.175849999E-1,-1.003513184E0,8.045768738E0,1.049707123E1
4.275280000E-1,-1.117875366E0,7.717501373E0,1.000848724E1
4.374700000E-1,-1.390608215E0,7.640112305E0,1.006207581E1
4.474129999E-1,-1.780547333E0,7.637866974E0,1.005803421E1
4.573550000E-1,-2.212998047E0,7.661218414E0,1.001207977E1
4.672980000E-1,-2.496508484E0,7.654931488E0,9.650431824E0
4.772399999E-1,-2.334096222E0,7.528145142E0,9.131760406E0
4.871830000E-1,-1.816921692E0,7.199728088E0,8.466843109E0
4.971250000E-1,-1.326242065E0,6.625073090E0,7.598498840E0
5.070679999E-1,-1.037941589E0,6.005361786E0,6.940018158E0
5.170100000E-1,-1.146316223E0,5.567073212E0,6.622378693E0
5.269530000E-1,-1.660796356E0,5.352269897E0,6.352040863E0
5.368950000E-1,-2.206711121E0,5.265450439E0,6.104755096E0
5.468380000E-1,-2.697241058E0,5.156327362E0,6.559210052E0
