"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.597999994E-2,-1.239770651E0,-1.101172805E0,-2.506410480E-1
5.592299998E-2,-1.335151553E0,-8.584322929E-1,-3.207639456E-1
6.586500001E-2,-1.348420978E0,-5.395447016E-1,-3.615984917E-1
7.580799994E-2,-1.264809132E0,-1.936413497E-1,-3.689222038E-1
8.574999997E-2,-1.103972077E0,1.248621419E-1,-3.206543326E-1
9.569300001E-2,-9.054045081E-1,3.777204752E-1,-2.381030023E-1
1.056359999E-1,-6.773812771E-1,5.074304938E-1,-1.201069951E-1
1.155780000E-1,-4.436303079E-1,5.033388138E-1,1.541861799E-2
1.255210000E-1,-2.116100192E-1,3.956502378E-1,1.597710848E-1
1.354630000E-1,5.536060780E-5,2.540489137E-1,3.058241606E-1
1.454060000E-1,1.776123643E-1,8.721701056E-2,4.336067140E-1
1.553480000E-1,3.135172129E-1,-8.045534790E-2,5.325509310E-1
1.652910000E-1,4.000162780E-1,-2.052540928E-1,5.859851837E-1
1.752330000E-1,4.364373982E-1,-2.580153048E-1,5.849249959E-1
1.851760000E-1,4.121200740E-1,-2.550522387E-1,5.497193336E-1
1.951190000E-1,3.425891995E-1,-2.417295128E-1,4.960321188E-1
2.050610000E-1,2.252435833E-1,-2.501245141E-1,4.323574603E-1
2.150040000E-1,9.048788995E-2,-2.655194700E-1,3.619147241E-1
2.249460000E-1,-5.307736620E-2,-2.593927383E-1,2.806964517E-1
2.348890000E-1,-1.897635758E-1,-2.852964997E-1,1.860881746E-1
2.448310000E-1,-3.312209845E-1,-3.665650189E-1,6.724871695E-2
2.547740000E-1,-4.866079092E-1,-4.392152727E-1,-5.966662243E-2
2.647170000E-1,-6.539953351E-1,-4.493059218E-1,-1.865452230E-1
2.746590000E-1,-8.166745305E-1,-4.317106903E-1,-2.969521582E-1
2.846020000E-1,-9.605467319E-1,-4.103330970E-1,-3.790102601E-1
2.945439999E-1,-1.075355411E0,-3.975763023E-1,-4.150026143E-1
3.044870000E-1,-1.142724872E0,-3.689155877E-1,-4.101512432E-1
3.144290000E-1,-1.170365810E0,-3.180643916E-1,-3.454561234E-1
3.243719999E-1,-1.142465591E0,-2.271063030E-1,-2.140763551E-1
3.343140000E-1,-1.070748329E0,-1.385178566E-1,-3.817990795E-2
3.442570000E-1,-9.577896595E-1,-7.122695446E-2,1.684444398E-1
3.541999999E-1,-8.157952428E-1,-3.316932172E-2,3.691711426E-1
3.641420000E-1,-6.610613465E-1,-4.938621446E-2,5.460935235E-1
3.740850000E-1,-5.024133325E-1,-8.553409576E-2,6.807516813E-1
3.840269999E-1,-3.622761667E-1,-1.278493851E-1,7.569354773E-1
3.939700000E-1,-2.474803478E-1,-1.973056942E-1,7.574393153E-1
4.039120000E-1,-1.700566709E-1,-2.691365480E-1,6.851020455E-1
4.138550000E-1,-1.274676472E-1,-2.807609737E-1,5.597158670E-1
4.237970000E-1,-1.136342958E-1,-2.078911811E-1,4.254697561E-1
4.337400000E-1,-1.401878744E-1,-8.347308636E-2,2.902975380E-1
4.436830000E-1,-2.136709243E-1,7.284828275E-2,1.742558479E-1
4.536250000E-1,-3.274222612E-1,2.435302585E-1,7.845316082E-2
4.635680000E-1,-4.785978794E-1,3.645652235E-1,3.758719889E-3
4.735100000E-1,-6.531598568E-1,3.677079976E-1,-4.388336837E-2
4.834530000E-1,-8.471935391E-1,2.942520380E-1,-8.031971008E-2
4.933950000E-1,-1.034118414E0,1.619917303E-1,-9.447627515E-2
5.033380000E-1,-1.190620661E0,1.553886011E-2,-7.813269645E-2
5.132800000E-1,-1.299719095E0,-1.180799156E-1,-1.295822114E-2
5.232230000E-1,-1.367306948E0,-2.523069680E-1,9.216535091E-2
5.331660000E-1,-1.393731833E0,-3.985696435E-1,2.143570334E-1
5.431080000E-1,-1.398959041E0,-5.129533410E-1,3.300333619E-1
5.530510000E-1,-1.401451230E0,-5.743469000E-1,4.149543643E-1
5.629930000E-1,-1.419044375E0,-6.474378705E-1,4.526140690E-1
5.729360000E-1,-1.465227008E0,-7.225105166E-1,4.360233843E-1
5.828780000E-1,-1.529598475E0,-7.979217768E-1,3.876944780E-1
5.928210000E-1,-1.593758583E0,-8.541437387E-1,3.338118196E-1
6.027627500E-1,-1.637599945E0,-9.095420837E-1,2.979900539E-1
6.127057500E-1,-1.636891603E0,-9.485678077E-1,2.826899290E-1
6.226477500E-1,-1.618552804E0,-1.000445724E0,2.765665650E-1
6.325907500E-1,-1.607615709E0,-1.014553547E0,2.701416910E-1
6.425337500E-1,-1.584977388E0,-9.482076168E-1,3.049184084E-1
6.524757500E-1,-1.488253713E0,-8.363287449E-1,4.048562050E-1
6.624187500E-1,-1.301954865E0,-7.464250922E-1,5.520417690E-1
6.723607500E-1,-1.039456129E0,-7.118268609E-1,6.989481449E-1
6.823037500E-1,-7.458165884E-1,-6.937394738E-1,7.867450118E-1
6.922457500E-1,-4.574132860E-1,-6.722350121E-1,8.047589064E-1
7.021887500E-1,-2.136224657E-1,-6.734412313E-1,7.449784875E-1
7.121307499E-1,-3.829820547E-3,-6.887480617E-1,6.629672050E-1
7.220737500E-1,1.504508704E-1,-7.087565064E-1,5.701432824E-1
7.320167500E-1,2.797574699E-1,-9.339102507E-1,4.524294436E-1
7.419587499E-1,2.987380326E-1,-1.193137765E0,2.376779318E-1
7.519017500E-1,1.437346041E-1,-1.381957769E0,-5.511319637E-2
7.618437500E-1,-3.538525105E-2,-1.348011374E0,-2.771735787E-1
7.717867499E-1,-1.613136232E-1,-1.190447569E0,-3.880084753E-1
7.817287500E-1,-2.387047708E-1,-9.442650080E-1,-3.851300478E-1
7.916717500E-1,-3.274945617E-1,-7.450534105E-1,-3.517385423E-1
8.016137499E-1,-4.115593731E-1,-5.351875424E-1,-3.271043301E-1
8.115567500E-1,-4.663488567E-1,-2.950391173E-1,-3.249913752E-1
8.214987500E-1,-4.876361787E-1,-6.884624064E-2,-3.352713585E-1
8.314417499E-1,-5.046191812E-1,3.300342709E-2,-3.570480347E-1
8.413847500E-1,-4.888004363E-1,1.891533285E-1,-3.626547158E-1
8.513267500E-1,-4.627076089E-1,2.097142637E-1,-3.736082911E-1
8.612697501E-1,-4.180018306E-1,1.977002770E-1,-3.931065202E-1
8.712117500E-1,-3.635281920E-1,2.251566648E-1,-4.324272871E-1
8.811547500E-1,-2.885434330E-1,3.119146228E-1,-4.926245809E-1
8.910967500E-1,-1.835315228E-1,4.229466021E-1,-5.485030413E-1
9.010397500E-1,-5.321862921E-2,5.233430862E-1,-5.772048235E-1
9.109817500E-1,8.668653667E-2,6.319941878E-1,-5.744660497E-1
9.209247500E-1,2.417723536E-1,7.158422470E-1,-5.356197357E-1
9.308677500E-1,3.855529726E-1,6.709754467E-1,-4.792464674E-1
9.408097500E-1,5.057453513E-1,5.221766233E-1,-4.175232947E-1
9.507527500E-1,6.002838016E-1,3.892092705E-1,-3.436866105E-1
9.606947500E-1,6.818608046E-1,3.290043771E-1,-2.307434678E-1
9.706377500E-1,7.376135588E-1,3.069467545E-1,-1.150131524E-1
9.805797500E-1,7.796099782E-1,3.022287786E-1,-4.145822674E-2
9.905227500E-1,7.995932698E-1,2.650566399E-1,-2.665371075E-2
1.000464750E0,7.724611759E-1,1.843347698E-1,-1.910931431E-3
1.010407750E0,6.824569702E-1,1.343379170E-1,3.320524469E-2
1.020349750E0,5.425053835E-1,1.231145710E-1,6.183762848E-2
1.030292750E0,3.898519576E-1,8.995954692E-2,5.235891044E-2
1.040235750E0,2.235511839E-1,-4.449442029E-2,-4.355713725E-3
1.050177750E0,2.995587885E-2,-2.978806198E-1,-1.075388193E-1
1.060120750E0,-2.003008574E-1,-6.891951561E-1,-1.914053261E-1
1.070062750E0,-4.409262538E-1,-1.097225785E0,-2.416069806E-1
1.080005750E0,-6.522567272E-1,-1.347940683E0,-3.006022274E-1
1.089947750E0,-7.918833494E-1,-1.440021038E0,-4.013914168E-1
1.099890750E0,-8.561652899E-1,-1.462373376E0,-5.345616341E-1
1.109832750E0,-8.328876495E-1,-1.311111927E0,-6.939398050E-1
1.119775750E0,-7.550194263E-1,-9.531609416E-1,-8.639115095E-1
1.129717750E0,-6.959542036E-1,-6.113945246E-1,-1.041432261E0
1.139660750E0,-7.015547156E-1,-3.666303158E-1,-1.221381545E0
1.149603750E0,-7.513880134E-1,-1.823065430E-1,-1.331468940E0
1.159545750E0,-8.187514544E-1,-5.518297665E-3,-1.395144343E0
1.169488750E0,-8.935045600E-1,1.730599701E-1,-1.414774060E0
1.179430750E0,-9.489555359E-1,3.408080637E-1,-1.376631260E0
1.189373750E0,-9.816652536E-1,4.888934195E-1,-1.248222470E0
1.199315750E0,-9.698662162E-1,6.576259732E-1,-1.064918637E0
1.209258750E0,-9.238822460E-1,7.426775098E-1,-8.958837986E-1
1.219200750E0,-8.438789845E-1,7.167844176E-1,-7.726566792E-1
1.229143750E0,-6.993974447E-1,6.440537572E-1,-6.937463880E-1
1.239086750E0,-4.942604303E-1,5.294010639E-1,-6.283227801E-1
1.249028750E0,-2.365452498E-1,3.738631308E-1,-5.381742120E-1
1.258971750E0,3.468545526E-2,2.608738840E-1,-4.016366303E-1
1.268913750E0,2.667444944E-1,2.231020033E-1,-2.424472570E-1
1.278856750E0,4.267486632E-1,2.275645137E-1,-9.983542562E-2
1.288798750E0,4.850924015E-1,2.166719139E-1,-2.874260303E-3
1.298741750E0,4.387348294E-1,1.639607549E-1,4.776526988E-2
1.308683750E0,2.912907600E-1,5.711127445E-2,6.323051453E-2
1.318626750E0,5.420807749E-2,-1.236349195E-1,6.041306630E-2
1.328569750E0,-2.449429333E-1,-3.787268698E-1,3.244428337E-2
1.338511750E0,-5.790368319E-1,-6.620396376E-1,-1.726849936E-2
1.348454750E0,-9.153709412E-1,-8.975579143E-1,-8.696022630E-2
1.358396750E0,-1.213774800E0,-1.026566625E0,-1.588555276E-1
1.368339750E0,-1.410918474E0,-1.012593865E0,-2.140660584E-1
1.378281750E0,-1.476242423E0,-8.233647346E-1,-2.326152623E-1
1.388224750E0,-1.398464322E0,-4.841057062E-1,-1.923298836E-1
1.398167750E0,-1.201000094E0,-6.271108985E-2,-5.914166942E-2
1.408109750E0,-9.169371128E-1,3.833279312E-1,1.657883823E-1
1.418052750E0,-5.902014971E-1,7.767037749E-1,4.836355150E-1
1.427994750E0,-2.324617207E-1,1.047550201E0,8.529922962E-1
1.437937750E0,1.337485462E-1,1.180340290E0,1.229306936E0
1.447879750E0,5.148924589E-1,1.176629424E0,1.547439575E0
1.457822750E0,9.009039402E-1,1.086389661E0,1.781516314E0
1.467764750E0,1.271299362E0,9.470850229E-1,1.943416238E0
1.477707750E0,1.606824994E0,7.546446323E-1,2.055754185E0
1.487650750E0,1.892470837E0,5.452999473E-1,2.123291254E0
1.497592750E0,2.133522511E0,3.493615687E-1,2.150383234E0
1.507535750E0,2.316011190E0,1.899833530E-1,2.133978367E0
1.517477750E0,2.415360689E0,6.540171057E-2,2.082186222E0
1.527420750E0,2.425528526E0,-1.953688264E-2,1.983987093E0
1.537362750E0,2.356539726E0,-6.255815178E-2,1.854943991E0
1.547305750E0,2.220557690E0,-6.306841224E-2,1.701494455E0
1.557248750E0,2.024602890E0,-4.504730552E-2,1.545741320E0
1.567190750E0,1.756492019E0,-1.890384965E-2,1.397877455E0
1.577133750E0,1.437163234E0,1.007214189E-2,1.250048637E0
1.587075750E0,1.081485510E0,1.311507076E-2,1.102788091E0
1.597018750E0,7.220342755E-1,-1.758740470E-2,9.631591439E-1
1.606960875E0,3.816599250E-1,-6.749051809E-2,8.429166675E-1
1.616903875E0,7.320819050E-2,-1.280622035E-1,7.314722538E-1
1.626846875E0,-1.993612796E-1,-1.848072559E-1,6.153927445E-1
1.636788875E0,-4.044381380E-1,-2.152708918E-1,4.837980866E-1
1.646731875E0,-5.090244412E-1,-1.571849585E-1,3.441275656E-1
1.656673875E0,-5.343550444E-1,-5.346252024E-2,2.144657969E-1
1.666616875E0,-4.813216627E-1,5.931436270E-2,1.151804924E-1
1.676558875E0,-3.820179701E-1,1.334720701E-1,5.667831749E-2
1.686501875E0,-2.655158639E-1,1.993956864E-1,2.603039518E-2
1.696444875E0,-1.569173187E-1,2.734108567E-1,1.672914810E-2
1.706386875E0,-4.241444170E-2,3.588567972E-1,4.512616619E-2
1.716329875E0,8.259332925E-2,4.655550718E-1,1.001844034E-1
1.726271875E0,2.260032147E-1,5.925231576E-1,1.826744974E-1
1.736214875E0,3.903926611E-1,7.126149535E-1,2.899574935E-1
1.746156875E0,5.635886788E-1,7.899917364E-1,4.009830952E-1
1.756099875E0,7.414824963E-1,8.039737940E-1,5.026077628E-1
1.766042875E0,8.972374797E-1,7.497920394E-1,5.599962473E-1
1.775984875E0,1.016469717E0,6.758726239E-1,5.544984341E-1
1.785927875E0,1.089080215E0,6.012988091E-1,4.928164482E-1
1.795869875E0,1.127657175E0,5.253174901E-1,3.946513832E-1
1.805812875E0,1.124454498E0,4.624687731E-1,2.752027512E-1
1.815754875E0,1.072962523E0,4.267166853E-1,1.689643562E-1
1.825697875E0,9.909960032E-1,4.395999908E-1,7.066014409E-2
1.835640875E0,8.841479421E-1,5.191937685E-1,9.495137259E-3
1.845582875E0,7.641983628E-1,6.234235168E-1,-4.740790930E-3
1.855525875E0,6.404664516E-1,7.050203085E-1,1.495447289E-2
1.865467875E0,5.336697102E-1,7.462833524E-1,5.687662214E-2
1.875410875E0,4.464369714E-1,7.187679410E-1,7.834666967E-2
1.885352875E0,3.770933151E-1,6.736180782E-1,6.913479418E-2
1.895295875E0,3.048864901E-1,6.320070624E-1,3.146969900E-2
1.905237875E0,2.299973220E-1,5.452854633E-1,-3.138409555E-2
1.915180875E0,1.518351436E-1,4.358534217E-1,-1.119324565E-1
1.925123875E0,8.297645301E-2,3.142654598E-1,-1.983890533E-1
1.935065875E0,4.940682650E-2,1.275524795E-1,-2.700527906E-1
1.945008875E0,2.388442308E-2,-5.431744084E-2,-3.120684028E-1
1.954950875E0,-1.764736697E-2,-1.977274865E-1,-3.010947108E-1
1.964893875E0,-1.630162746E-1,-4.168782234E-1,-2.287456691E-1
1.974835875E0,-5.405346751E-1,-8.687781692E-1,-1.626277417E-1
1.984778875E0,-1.162755370E0,-1.539268374E0,-1.981220841E-1
1.994721875E0,-1.895465493E0,-2.153878927E0,-3.762657046E-1
2.004663875E0,-2.501610041E0,-2.404573679E0,-6.673598886E-1
2.014606875E0,-2.886841536E0,-2.199249029E0,-9.903757572E-1
2.024548875E0,-3.059459209E0,-1.530822754E0,-1.267769575E0
2.034491875E0,-3.039155960E0,-5.667209029E-1,-1.432744622E0
2.044433875E0,-2.925701618E0,4.090996981E-1,-1.414665461E0
2.054376875E0,-2.776929379E0,1.226315022E0,-1.238610506E0
2.064318875E0,-2.631433487E0,1.772029757E0,-1.033419013E0
2.074261875E0,-2.465953112E0,2.092835903E0,-8.721538782E-1
2.084204875E0,-2.258010864E0,2.132760525E0,-7.394751906E-1
2.094146875E0,-2.009469986E0,1.938233733E0,-6.415955424E-1
2.104089875E0,-1.729946494E0,1.586497068E0,-5.657860041E-1
2.114031875E0,-1.435094714E0,1.141179442E0,-4.769389629E-1
2.123974875E0,-1.128910065E0,7.033869028E-1,-3.664534688E-1
2.133916875E0,-8.136417866E-1,3.097275496E-1,-2.396623045E-1
2.143859875E0,-4.870581031E-1,3.151369747E-3,-9.921625257E-2
2.153802875E0,-1.460135877E-1,-2.024790496E-1,5.716707557E-2
2.163744875E0,1.819669455E-1,-3.285107315E-1,2.166390121E-1
2.173687875E0,4.601243436E-1,-3.967180550E-1,3.624143898E-1
2.183629875E0,6.815125942E-1,-4.208974242E-1,4.957692623E-1
2.193572875E0,8.585979342E-1,-4.549163878E-1,6.135129333E-1
2.203514875E0,9.906917810E-1,-4.837046266E-1,7.128248811E-1
2.213457875E0,1.091380358E0,-4.913827479E-1,7.767604589E-1
2.223399875E0,1.173621774E0,-4.938416481E-1,7.909018397E-1
2.233342875E0,1.237897515E0,-4.900238514E-1,7.576139569E-1
2.243285875E0,1.287743688E0,-4.644263387E-1,6.873254180E-1
2.253227875E0,1.327361584E0,-4.216723442E-1,5.972484946E-1
2.263170875E0,1.346980333E0,-3.738190830E-1,5.153748989E-1
2.273112875E0,1.340833545E0,-3.190096915E-1,4.408417344E-1
2.283055875E0,1.298119307E0,-2.487597764E-1,3.780720830E-1
2.292997875E0,1.228441954E0,-2.031607330E-1,3.198894560E-1
2.302940875E0,1.143887401E0,-1.543207616E-1,2.895957232E-1
2.312883875E0,1.072018027E0,-1.089659929E-1,2.848132849E-1
2.322825875E0,1.024451256E0,-4.332493246E-2,3.089841306E-1
2.332768875E0,1.020842195E0,5.162368342E-2,3.454438746E-1
2.342710875E0,1.049905181E0,1.533654928E-1,3.699779809E-1
2.352653875E0,1.089073896E0,2.409434319E-1,3.848266006E-1
2.362595875E0,1.117611289E0,2.938820124E-1,3.868156970E-1
2.372538875E0,1.141617537E0,2.700982392E-1,3.723721504E-1
2.382480875E0,1.155854344E0,1.426776946E-1,3.493486047E-1
2.392423875E0,1.135652065E0,-9.355099499E-2,3.040065765E-1
2.402366875E0,1.035575032E0,-4.544276893E-1,2.110287249E-1
2.412308875E0,8.273566365E-1,-8.706855774E-1,4.946282506E-2
