"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-3.057242432E0,8.658744049E0,6.057154083E0
9.943000041E-3,-3.389701080E0,8.962462463E0,6.096522217E0
1.988499996E-2,-3.540587311E0,9.311835938E0,6.210435333E0
2.982800000E-2,-3.297043762E0,9.324110413E0,6.535259857E0
3.977000003E-2,-2.600841522E0,9.038654022E0,6.790179749E0
4.971299996E-2,-1.865420837E0,8.629554749E0,7.035070496E0
5.965499999E-2,-1.419348450E0,8.173303528E0,7.212451630E0
6.959800003E-2,-1.080453186E0,7.929759979E0,7.247179413E0
7.953999995E-2,-8.845106506E-1,7.768545227E0,7.064409485E0
8.948299999E-2,-8.144563293E-1,7.587421875E0,6.715934143E0
9.942600003E-2,-8.313711548E-1,7.361840973E0,6.262527008E0
1.093679999E-1,-9.174421692E-1,7.247029724E0,5.939798126E0
1.193110000E-1,-1.087039490E0,7.252119141E0,5.739813995E0
1.292530000E-1,-1.240470428E0,7.364685059E0,5.553750916E0
1.391959999E-1,-1.263522491E0,7.522007904E0,5.310506744E0
1.491380000E-1,-1.251846771E0,7.596852264E0,5.141059113E0
1.590810000E-1,-1.228345642E0,7.644453278E0,5.092559967E0
1.690229999E-1,-1.154998169E0,7.716004486E0,5.006638641E0
1.789660000E-1,-1.050216064E0,7.815846863E0,4.902604980E0
1.889090000E-1,-8.922944641E-1,7.871830444E0,4.822072449E0
1.988509999E-1,-7.074288940E-1,7.868387604E0,4.795128479E0
2.087940000E-1,-5.815406799E-1,7.962242432E0,4.911586304E0
2.187360000E-1,-5.655239868E-1,8.170609131E0,5.045258331E0
2.286789999E-1,-5.400769043E-1,8.326135712E0,5.121749268E0
2.386210000E-1,-5.001100159E-1,8.337062988E0,5.390290833E0
2.485640000E-1,-4.701722717E-1,8.242609406E0,5.866300964E0
2.585070000E-1,-3.591032410E-1,8.268655243E0,6.289770355E0
2.684490000E-1,-3.448828125E-1,8.357869720E0,6.528972931E0
2.783920000E-1,-4.132905579E-1,8.506510620E0,6.780899048E0
2.883340000E-1,-5.331912231E-1,8.642877045E0,7.124584351E0
2.982770000E-1,-6.586303711E-1,8.718918915E0,7.415579224E0
3.082190000E-1,-8.173004150E-1,8.721014557E0,7.616910553E0
3.181620000E-1,-8.982820129E-1,8.643775177E0,7.644602966E0
3.281040000E-1,-8.484356689E-1,8.487051086E0,7.462880859E0
