"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.971199995E-2,-2.225016803E-1,2.911687195E-1,7.838925719E-1
5.965399998E-2,-1.821654439E-1,2.296885997E-1,7.130681872E-1
6.959700002E-2,-1.486868411E-1,1.609327048E-1,6.389702559E-1
7.953899994E-2,-1.464269906E-1,1.403885931E-1,5.609954596E-1
8.948199998E-2,-1.429763287E-1,2.027068287E-1,4.983326495E-1
9.942400001E-2,-1.240955666E-1,2.682471573E-1,4.493950009E-1
1.093659999E-1,-8.938552439E-2,2.775540948E-1,4.170927107E-1
1.193090000E-1,-5.966541544E-2,2.429405004E-1,3.661176860E-1
1.292510000E-1,-5.596814677E-2,1.693461835E-1,3.098741174E-1
1.391939999E-1,-7.718074322E-2,9.552085400E-2,2.545325458E-1
1.491360000E-1,-1.181532070E-1,2.125887573E-2,2.008520216E-1
1.590780000E-1,-1.667466760E-1,-4.523765296E-2,1.642012298E-1
1.690210000E-1,-2.071316391E-1,-7.501552254E-2,1.187242866E-1
1.789630000E-1,-2.449482679E-1,-1.069006175E-1,1.040596291E-1
1.889050000E-1,-2.774684131E-1,-9.431265295E-2,8.931690454E-2
1.988480000E-1,-2.822963595E-1,-3.912129998E-2,8.641621470E-2
2.087899999E-1,-2.806087136E-1,3.246952966E-2,9.435562789E-2
2.187330000E-1,-2.859961987E-1,1.049288511E-1,1.056177318E-1
2.286750000E-1,-2.898525000E-1,1.353578717E-1,1.302074939E-1
2.386169999E-1,-2.794965208E-1,1.350634247E-1,1.533426493E-1
2.485600000E-1,-2.440389395E-1,1.345092207E-1,1.661649644E-1
2.585020000E-1,-1.885007769E-1,1.163958684E-1,1.662582308E-1
2.684440000E-1,-1.124097332E-1,9.568046778E-2,1.727190614E-1
2.783870000E-1,-4.383813217E-2,6.622031331E-2,2.049361169E-1
2.883290000E-1,1.775694080E-3,3.380751982E-2,2.716022432E-1
2.982720000E-1,1.197826397E-2,-3.852776717E-3,3.370946944E-1
3.082140000E-1,1.117212418E-2,-4.721968994E-2,4.069669843E-1
3.181560000E-1,9.461561218E-3,-1.443150826E-2,4.643101990E-1
3.280990000E-1,8.357679471E-3,1.475487277E-2,5.021891594E-1
3.380410000E-1,2.048313618E-4,-8.198090643E-2,5.103191733E-1
3.479830000E-1,-4.955842160E-3,-1.424383968E-1,4.736948311E-1
3.579260000E-1,-5.332684144E-3,-1.984061599E-1,4.099189639E-1
3.678679999E-1,-2.079073712E-2,-1.886704415E-1,3.380479515E-1
3.778110000E-1,-4.963912070E-2,-3.058368564E-1,2.861670554E-1
3.877530000E-1,-9.166752547E-2,-3.479587436E-1,2.288297117E-1
3.976949999E-1,-1.358656436E-1,-2.927339375E-1,1.915765703E-1
4.076380000E-1,-1.858310848E-1,-1.848205030E-1,1.677418202E-1
4.175800000E-1,-2.456045896E-1,-6.296024472E-2,1.628275365E-1
4.275220000E-1,-2.986342609E-1,3.819939122E-2,1.761611849E-1
4.374650000E-1,-3.490544260E-1,8.671404421E-2,1.865966320E-1
4.474070000E-1,-3.891075552E-1,9.447076917E-2,1.923378706E-1
4.573500000E-1,-4.071863890E-1,6.033807620E-2,1.923384517E-1
4.672920000E-1,-4.200776815E-1,6.261526141E-3,1.917488277E-1
4.772340000E-1,-4.372031093E-1,-4.801483452E-2,2.063299567E-1
4.871770000E-1,-4.764122963E-1,-9.894539416E-2,2.405816764E-1
4.971189999E-1,-5.203790069E-1,-1.289052516E-1,2.884426117E-1
5.070610000E-1,-5.574637651E-1,-1.375738382E-1,3.389856815E-1
5.170040000E-1,-5.803882480E-1,-1.629682481E-1,3.858639598E-1
5.269459999E-1,-5.974452496E-1,-1.963112950E-1,4.280372560E-1
5.368880000E-1,-6.227195263E-1,-2.606600821E-1,4.557363093E-1
5.468310000E-1,-6.551626921E-1,-3.333319128E-1,4.841383994E-1
5.567729999E-1,-6.888716817E-1,-4.227467477E-1,5.041823983E-1
5.667160000E-1,-7.121434808E-1,-5.245309472E-1,5.060545802E-1
5.766580000E-1,-7.183300853E-1,-5.946877599E-1,4.728831053E-1
5.866000000E-1,-6.950724125E-1,-5.922432542E-1,4.165162444E-1
5.965430000E-1,-6.446263790E-1,-5.242897868E-1,3.737146854E-1
6.064850000E-1,-5.718946457E-1,-4.420242310E-1,3.363878131E-1
6.164270000E-1,-4.789639413E-1,-3.466867507E-1,3.130230606E-1
6.263700000E-1,-3.635710180E-1,-2.308498770E-1,2.897765934E-1
6.363120000E-1,-2.441519648E-1,-1.048705280E-1,2.592772543E-1
6.462540000E-1,-1.253765821E-1,-1.620510966E-2,2.021255642E-1
6.561969999E-1,-2.877606824E-2,2.955414727E-2,1.169485673E-1
6.661390000E-1,4.986974224E-2,6.567336619E-3,2.964735264E-3
6.760820000E-1,9.061243385E-2,-1.030928269E-1,-1.138832197E-1
6.860239999E-1,8.598226309E-2,-2.090597302E-1,-1.880626529E-1
6.959660000E-1,6.887657195E-2,-2.422409207E-1,-2.100020200E-1
7.059090000E-1,5.271038041E-2,-2.164375484E-1,-1.853360832E-1
7.158510000E-1,4.298381507E-2,-1.701088250E-1,-1.248401105E-1
7.257930000E-1,4.775673151E-2,-8.696947247E-2,-6.519595534E-2
7.357360000E-1,6.038846821E-2,4.166846350E-2,-2.737097070E-2
7.456780000E-1,8.698385954E-2,1.356348991E-1,-3.146930784E-2
7.556200000E-1,1.151881814E-1,1.816868186E-1,-6.371071190E-2
7.655630000E-1,1.324968636E-1,2.129459381E-1,-1.206906438E-1
7.755050000E-1,1.400705576E-1,2.067467272E-1,-1.858596206E-1
7.854469999E-1,1.456988752E-1,1.851444840E-1,-2.317195237E-1
7.953900000E-1,1.538960338E-1,1.454740018E-1,-2.402973026E-1
8.053320000E-1,1.614634097E-1,8.945866674E-2,-2.438888401E-1
8.152739999E-1,1.535246670E-1,9.264391661E-2,-2.401320785E-1
8.252170000E-1,1.325858235E-1,1.322669685E-1,-2.265001535E-1
8.351590000E-1,1.149383485E-1,1.964051723E-1,-2.153617591E-1
8.451019999E-1,1.150262356E-1,2.914634943E-1,-2.201013863E-1
8.550440000E-1,1.168991849E-1,4.020147622E-1,-2.462675720E-1
8.649860000E-1,1.340440810E-1,4.839314520E-1,-2.670983076E-1
8.749290000E-1,1.608117074E-1,5.079866648E-1,-2.781160772E-1
8.848710000E-1,1.936735213E-1,4.743455946E-1,-2.574560642E-1
8.948130000E-1,2.117582411E-1,3.855853379E-1,-1.957551986E-1
9.047560000E-1,2.000549883E-1,2.722390592E-1,-9.253879637E-2
9.146979999E-1,1.641458422E-1,1.661686599E-1,4.793729167E-3
9.246360000E-1,1.276722550E-1,8.588312566E-2,8.590349555E-2
9.345790000E-1,1.110291183E-1,7.216059417E-2,1.310292184E-1
9.445210000E-1,1.141615286E-1,1.132502407E-1,1.354892105E-1
9.544629999E-1,1.205615103E-1,1.621478647E-1,1.081410423E-1
9.644060000E-1,1.028051525E-1,1.870790422E-1,7.225042582E-2
9.743480000E-1,4.149796069E-2,1.668795049E-1,3.547365963E-2
