"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.846399999E-2,-2.665590048E-1,-1.522248983E-2,1.912332624E-1
5.840600003E-2,-3.315753043E-1,-1.895251311E-2,1.895954162E-1
6.834899995E-2,-3.689887226E-1,-6.902608089E-3,1.852128953E-1
7.829099998E-2,-3.800648153E-1,4.757155105E-2,1.713223904E-1
8.823400002E-2,-3.615720272E-1,1.625277847E-1,1.457409412E-1
9.817599994E-2,-3.244241178E-1,2.666821480E-1,1.271589994E-1
1.081190000E-1,-2.721784711E-1,3.372747600E-1,1.024235711E-1
1.180610000E-1,-1.978853494E-1,3.641194105E-1,5.772507563E-2
1.280039999E-1,-1.180187389E-1,3.606320024E-1,2.588165924E-2
1.379460000E-1,-5.282215774E-2,3.378811479E-1,1.776913740E-2
1.478890000E-1,-1.900906116E-2,3.043816984E-1,3.944914415E-2
1.578309999E-1,-1.505533233E-2,2.580376267E-1,7.773900777E-2
1.677740000E-1,-5.125452951E-2,1.987367123E-1,1.090152487E-1
1.777160000E-1,-1.177374125E-1,1.314508766E-1,1.371811032E-1
1.876590000E-1,-2.156535536E-1,8.978559822E-2,1.536700875E-1
1.976010000E-1,-3.299942315E-1,9.892423451E-2,1.589601934E-1
2.075440000E-1,-4.499125183E-1,1.546163261E-1,1.504765749E-1
2.174860000E-1,-5.548424125E-1,2.503654957E-1,1.417664289E-1
2.274290000E-1,-6.117685437E-1,3.643362522E-1,1.052209064E-1
2.373710000E-1,-6.165124178E-1,3.575899303E-1,2.885747701E-3
2.473140000E-1,-6.000207067E-1,1.553560942E-1,-1.582409292E-1
2.572560000E-1,-6.029323339E-1,-1.196840033E-1,-3.391481340E-1
2.671990000E-1,-6.466065645E-1,-3.321043551E-1,-4.864161909E-1
2.771410000E-1,-7.313874960E-1,-4.228638411E-1,-5.781615376E-1
2.870840000E-1,-8.327565193E-1,-3.590860069E-1,-6.061537862E-1
2.970260000E-1,-9.282957911E-1,-1.764940917E-1,-5.840955973E-1
3.069690000E-1,-9.785572290E-1,9.610754251E-2,-5.450729728E-1
3.169109999E-1,-9.817165136E-1,3.025235832E-1,-4.827765822E-1
3.268540000E-1,-9.347413182E-1,3.077638745E-1,-4.075127244E-1
3.367960000E-1,-8.782913685E-1,-1.645574905E-2,-2.909096777E-1
3.467389999E-1,-8.115024567E-1,-3.607592285E-1,-2.061564028E-1
3.566810000E-1,-7.257500291E-1,-7.742123604E-1,-1.183575764E-1
3.666240000E-1,-6.555500031E-1,-1.271490812E0,-2.137654833E-2
3.765659999E-1,-6.182705164E-1,-1.782364249E0,5.680347234E-2
3.865090000E-1,-6.289511323E-1,-2.238092899E0,9.563127160E-2
3.964510000E-1,-6.404677033E-1,-2.566473484E0,1.041129082E-1
4.063939999E-1,-6.361822486E-1,-2.761686087E0,7.630778849E-2
4.163360000E-1,-6.728662252E-1,-2.728022337E0,-2.964075096E-2
4.262790000E-1,-7.575229406E-1,-2.439480782E0,-2.014967799E-1
4.362210000E-1,-8.975940347E-1,-2.039435387E0,-4.166846871E-1
4.461640000E-1,-1.085085392E0,-1.646080494E0,-5.944142342E-1
4.561060000E-1,-1.337998629E0,-1.162788153E0,-6.846479774E-1
4.660490000E-1,-1.589241862E0,-6.092754006E-1,-7.392566204E-1
4.759910000E-1,-1.804616570E0,-1.209203526E-1,-7.357191443E-1
4.859340000E-1,-1.979693651E0,1.965543032E-1,-6.711828709E-1
4.958760000E-1,-2.092317104E0,3.059481978E-1,-5.570089221E-1
5.058190000E-1,-2.168413877E0,2.450488657E-1,-4.427962899E-1
5.157610000E-1,-2.228809118E0,8.711809665E-2,-3.273818195E-1
5.257040000E-1,-2.282882690E0,-1.377960145E-1,-2.299640328E-1
5.356459999E-1,-2.335881233E0,-3.670529127E-1,-1.338505447E-1
5.455890000E-1,-2.398969412E0,-5.125704408E-1,-1.113315206E-2
5.555310000E-1,-2.466540098E0,-5.473439097E-1,1.332482547E-1
5.654729999E-1,-2.505158663E0,-5.196834803E-1,2.917265296E-1
5.754160000E-1,-2.483888865E0,-6.169682145E-1,4.125437438E-1
5.853580000E-1,-2.370738268E0,-8.186198473E-1,4.869874716E-1
5.953009999E-1,-2.150772572E0,-7.626940012E-1,5.854200721E-1
6.052430000E-1,-1.828266263E0,-6.675527096E-1,6.458835602E-1
6.151860000E-1,-1.429509640E0,-7.757252455E-1,5.790885687E-1
6.251280000E-1,-9.841085672E-1,-1.024058700E0,3.961135149E-1
6.350710000E-1,-4.796421826E-1,-1.107883573E0,1.630496234E-1
6.450130000E-1,6.433065236E-2,-9.674845934E-1,-9.126646072E-2
6.549560000E-1,5.746876597E-1,-7.527323365E-1,-3.689680994E-1
6.648980000E-1,9.829294086E-1,-6.613240838E-1,-6.269131303E-1
6.748410000E-1,1.231451154E0,-6.258515716E-1,-7.826665640E-1
6.847830000E-1,1.303830624E0,-5.817334056E-1,-8.257362247E-1
6.947260000E-1,1.224978685E0,-5.356527567E-1,-7.804068327E-1
7.046680000E-1,1.011271834E0,-4.704144001E-1,-6.524150968E-1
7.146110000E-1,7.026258111E-1,-3.827330172E-1,-4.505767822E-1
7.245529999E-1,3.548126221E-1,-3.612606227E-1,-2.437443584E-1
7.344960000E-1,3.503914177E-2,-4.551753998E-1,-6.983781606E-2
7.444380000E-1,-2.262202352E-1,-6.967837214E-1,2.440818399E-2
7.543809999E-1,-3.692426383E-1,-1.007763743E0,5.514265969E-2
7.643230000E-1,-3.949951828E-1,-1.208968043E0,1.264816523E-2
7.742660000E-1,-3.052498698E-1,-1.223063350E0,-1.004280597E-1
7.842079999E-1,-1.247158349E-1,-1.036755323E0,-2.461890876E-1
7.941510000E-1,8.135397732E-2,-7.308529019E-1,-3.771934211E-1
8.040930000E-1,2.324916422E-1,-3.830814660E-1,-4.905305505E-1
8.140359999E-1,2.850661874E-1,-3.631818295E-2,-5.865628123E-1
8.239780000E-1,2.491951436E-1,2.638368607E-1,-6.462113261E-1
8.339210000E-1,1.514853686E-1,4.858800471E-1,-6.601652503E-1
8.438630000E-1,3.120705485E-2,5.675169826E-1,-6.237064004E-1
8.538060000E-1,-7.525946945E-2,5.142303109E-1,-5.778081417E-1
8.637480000E-1,-1.802928150E-1,3.997652531E-1,-5.520134568E-1
8.736910000E-1,-2.862778306E-1,2.832932472E-1,-5.419225097E-1
8.836330000E-1,-4.072888494E-1,1.937213242E-1,-5.304552913E-1
8.935760000E-1,-5.327996016E-1,4.899316654E-2,-4.742149711E-1
9.035180000E-1,-6.518654823E-1,-2.519406974E-1,-3.680674136E-1
9.134610000E-1,-7.682110071E-1,-6.132594943E-1,-2.416548580E-1
9.234030000E-1,-8.677813411E-1,-9.725654125E-1,-1.166591868E-1
9.333460000E-1,-9.462037086E-1,-1.285238147E0,-1.860452443E-2
9.432880000E-1,-1.024407625E0,-1.405353069E0,3.465268761E-2
9.532310000E-1,-1.109033585E0,-1.423061132E0,5.247908831E-2
9.631730000E-1,-1.124579668E0,-1.509307981E0,4.375274852E-2
9.731160000E-1,-1.041742325E0,-1.583742499E0,3.864054382E-2
9.830580000E-1,-8.877844810E-1,-1.577496052E0,5.798570439E-2
9.930000000E-1,-7.315757275E-1,-1.590052605E0,8.020365983E-2
1.002943000E0,-6.204845905E-1,-1.712069035E0,8.807065338E-2
1.012885000E0,-6.064524055E-1,-1.815224290E0,7.763851434E-2
1.022828000E0,-7.078490853E-1,-1.752768517E0,3.293041885E-2
1.032770000E0,-7.926502228E-1,-1.591538668E0,3.468399169E-3
1.042713000E0,-8.158638477E-1,-1.309974074E0,1.635175012E-2
1.052655000E0,-7.840058804E-1,-9.449654818E-1,5.410658568E-2
1.062598000E0,-7.040370107E-1,-5.866358876E-1,1.201071292E-1
1.072540000E0,-5.960511565E-1,-3.199155331E-1,2.193468958E-1
1.082483000E0,-4.685375690E-1,-1.606071144E-1,3.497993052E-1
1.092425000E0,-3.467991352E-1,-9.412342310E-2,4.939607382E-1
1.102368000E0,-2.554416358E-1,-8.055219054E-2,6.184937358E-1
1.112310000E0,-1.772770584E-1,-1.024731994E-1,7.048140168E-1
1.122253000E0,-1.063799337E-1,-1.169775948E-1,7.404495478E-1
1.132195000E0,-4.475252330E-2,-1.176772043E-1,7.293489575E-1
1.142138000E0,-9.860211052E-3,-1.311118156E-1,6.698135734E-1
1.152080000E0,1.708826981E-3,-1.591453254E-1,5.783768892E-1
1.162023000E0,7.853899151E-4,-1.716929525E-1,4.777675867E-1
1.171965000E0,4.017136060E-3,-1.956803054E-1,3.774561584E-1
1.181908000E0,9.705592878E-3,-2.407111526E-1,2.965631187E-1
1.191850000E0,1.154024433E-2,-2.953680158E-1,2.550340295E-1
1.201793000E0,1.641866937E-2,-3.776207268E-1,2.562042773E-1
1.211735000E0,3.062210605E-2,-4.817207456E-1,2.877121270E-1
1.221678000E0,4.413075745E-2,-5.395436883E-1,3.274556100E-1
1.231620000E0,4.343087971E-2,-5.361559391E-1,3.605576158E-1
1.241563000E0,2.066029422E-2,-5.277469754E-1,3.942271471E-1
1.251505000E0,-2.298438922E-2,-5.563703179E-1,4.211969674E-1
1.261448000E0,-8.426972479E-2,-6.424936056E-1,4.605548978E-1
1.271390000E0,-1.544086039E-1,-7.866441607E-1,5.010389090E-1
1.281332000E0,-2.212727070E-1,-9.512146115E-1,5.310981274E-1
1.291275000E0,-2.902424634E-1,-1.076534986E0,5.315183997E-1
1.301217000E0,-3.580851853E-1,-1.116810799E0,4.847272336E-1
1.311160000E0,-4.453484416E-1,-1.118636727E0,3.893828690E-1
1.321102000E0,-5.224522948E-1,-1.101052523E0,2.761252224E-1
1.331045000E0,-5.743386745E-1,-1.082098484E0,1.886009723E-1
1.340990500E0,-5.903379321E-1,-1.053525090E0,1.433226168E-1
1.350933500E0,-5.785007477E-1,-9.840373993E-1,1.308459789E-1
1.360875500E0,-5.414767265E-1,-8.520848155E-1,1.520162225E-1
1.370818500E0,-4.910776913E-1,-6.845962405E-1,1.932094544E-1
1.380760500E0,-4.244810939E-1,-4.844068587E-1,2.703489959E-1
1.390703500E0,-3.622936010E-1,-3.172618151E-1,3.705224693E-1
1.400645500E0,-3.171294928E-1,-1.614577174E-1,4.846856296E-1
1.410588500E0,-2.769066989E-1,-7.482797373E-3,6.044522524E-1
1.420530500E0,-2.378325909E-1,1.426515877E-1,7.123371363E-1
1.430473500E0,-1.703291833E-1,3.121077418E-1,7.977747917E-1
1.440415500E0,-6.428794563E-2,4.889908135E-1,8.750264645E-1
1.450358500E0,7.799063623E-2,6.522558928E-1,9.592174888E-1
1.460300500E0,2.304033488E-1,7.570589185E-1,1.055448174E0
1.470243500E0,3.814980388E-1,8.069807291E-1,1.136816978E0
1.480185500E0,5.269160271E-1,8.438107371E-1,1.207810521E0
1.490127500E0,6.587414742E-1,8.960635662E-1,1.264214993E0
1.500070500E0,7.648414373E-1,9.639605880E-1,1.311408877E0
1.510012500E0,8.458862305E-1,9.990810752E-1,1.353945971E0
1.519955500E0,9.269780517E-1,9.694753289E-1,1.402900577E0
1.529897500E0,1.023780227E0,8.648794293E-1,1.461626410E0
1.539840500E0,1.143692255E0,7.055514455E-1,1.508856773E0
1.549782500E0,1.258009791E0,5.167093277E-1,1.520604014E0
1.559725500E0,1.334948897E0,3.210447431E-1,1.485212922E0
1.569667500E0,1.346700668E0,1.532434821E-1,1.410475492E0
1.579610500E0,1.261340976E0,3.606092930E-2,1.296436429E0
1.589552500E0,1.093648195E0,-9.986724705E-3,1.148964167E0
1.599495500E0,8.720307350E-1,2.102556080E-2,9.708453417E-1
1.609437500E0,6.622420549E-1,1.334551573E-1,7.621691227E-1
1.619380500E0,5.165377259E-1,3.167987764E-1,5.403460264E-1
1.629322500E0,4.500524402E-1,5.145238638E-1,3.016601801E-1
1.639265500E0,4.380710423E-1,6.559553146E-1,4.475563020E-2
1.649207500E0,4.516622126E-1,7.346224189E-1,-2.034911960E-1
1.659150500E0,4.380458295E-1,7.178947926E-1,-4.279932082E-1
1.669092500E0,3.877464533E-1,6.071805358E-1,-5.944476724E-1
1.679035500E0,2.920356989E-1,4.204696417E-1,-6.867440343E-1
1.688977500E0,1.344766915E-1,1.681026518E-1,-6.705977917E-1
1.698919500E0,-1.165464520E-1,-2.115560025E-1,-5.345405936E-1
1.708862500E0,-4.741538465E-1,-8.687948585E-1,-3.094369173E-1
1.718804500E0,-8.242982030E-1,-1.810926080E0,-9.701456875E-2
1.728747500E0,-9.563414454E-1,-2.793102503E0,2.259279042E-2
1.738689500E0,-7.395650148E-1,-3.494856119E0,5.436237156E-2
1.748632500E0,-3.086815476E-1,-3.710705996E0,2.476186864E-2
1.758574500E0,8.117683977E-2,-3.310079813E0,-8.536668867E-2
1.768517500E0,2.508817315E-1,-2.220854521E0,-2.929401100E-1
1.778459500E0,1.364966333E-1,-6.832863688E-1,-5.344338417E-1
1.788402500E0,-1.744721532E-1,8.672547340E-1,-7.800316215E-1
1.798344500E0,-4.516100883E-1,2.231853962E0,-9.790771604E-1
1.808287500E0,-5.488852262E-1,3.211231232E0,-1.058297515E0
1.818229500E0,-4.668889642E-1,3.719388008E0,-9.888955355E-1
1.828172500E0,-2.457506955E-1,3.854089499E0,-7.652997375E-1
1.838114500E0,6.791029871E-2,3.678625822E0,-4.186932445E-1
1.848057500E0,4.190656543E-1,3.264655352E0,-1.077927183E-2
1.857999500E0,7.656474710E-1,2.670129299E0,3.945209384E-1
1.867941500E0,1.084759712E0,1.960453629E0,7.468553185E-1
1.877884500E0,1.335319757E0,1.241457343E0,9.971935749E-1
1.887826500E0,1.504203320E0,6.301522255E-1,1.118391514E0
1.897769500E0,1.578365803E0,1.544542760E-1,1.133583069E0
1.907711500E0,1.557987213E0,-1.794185042E-1,1.078853011E0
1.917654500E0,1.448083401E0,-3.662575185E-1,9.939135909E-1
1.927596500E0,1.284213424E0,-4.699599743E-1,8.783124089E-1
1.937539500E0,1.077359200E0,-5.146320462E-1,7.319669724E-1
1.947481500E0,8.510426283E-1,-5.496733785E-1,5.524384975E-1
1.957424500E0,6.415653229E-1,-5.896654129E-1,3.381736577E-1
1.967366500E0,4.751901925E-1,-6.057868600E-1,1.123431921E-1
1.977309500E0,3.771058023E-1,-5.760006905E-1,-9.828052670E-2
1.987251500E0,3.346171975E-1,-5.272576809E-1,-2.904230654E-1
1.997194500E0,3.340875804E-1,-4.789797366E-1,-4.543839693E-1
2.007136500E0,3.566810489E-1,-4.399250150E-1,-5.860112309E-1
2.017078500E0,3.846188486E-1,-4.043753445E-1,-7.057789564E-1
2.027021500E0,3.891765773E-1,-3.795147240E-1,-8.178887367E-1
2.036963500E0,3.692413867E-1,-3.691684008E-1,-9.461256266E-1
2.046906500E0,3.325352967E-1,-3.741245568E-1,-1.097444654E0
2.056848500E0,2.832544744E-1,-3.845286965E-1,-1.277527928E0
2.066791500E0,2.211000323E-1,-3.956657648E-1,-1.469973564E0
2.076733500E0,1.398246735E-1,-4.024786055E-1,-1.649649978E0
2.086676500E0,3.342341259E-2,-4.054978192E-1,-1.819384694E0
2.096618500E0,-1.051666290E-1,-3.554195762E-1,-1.982534885E0
2.106561500E0,-2.625876665E-1,-1.557256430E-1,-2.122090101E0
2.116503500E0,-4.329865575E-1,1.773072630E-1,-2.201354980E0
2.126446500E0,-6.297273636E-1,5.136317611E-1,-2.185150862E0
2.136388500E0,-8.674265742E-1,7.650687695E-1,-2.063096762E0
2.146331500E0,-1.171216846E0,7.413559556E-1,-1.816345930E0
2.156273500E0,-1.489162564E0,3.414361179E-1,-1.463679790E0
2.166215500E0,-1.712750554E0,-2.822133601E-1,-1.053553581E0
2.176158500E0,-1.801252484E0,-9.491595030E-1,-7.470738292E-1
2.186100500E0,-1.809459090E0,-1.656979203E0,-7.107717991E-1
2.196043500E0,-1.874199748E0,-2.299432516E0,-9.224784970E-1
2.205985500E0,-2.125926256E0,-2.740463734E0,-1.186733603E0
2.215928500E0,-2.605215788E0,-3.021327257E0,-1.280110359E0
2.225870500E0,-3.232980013E0,-3.136439323E0,-1.146429062E0
2.235813500E0,-3.718654871E0,-2.771593809E0,-9.378490448E-1
2.245755500E0,-3.777811527E0,-1.680982709E0,-7.521865368E-1
2.255698500E0,-3.409472466E0,-1.482712030E-1,-5.029965639E-1
2.265640500E0,-2.674076080E0,1.282806039E0,-1.686971784E-1
2.275582500E0,-1.658502460E0,2.186312437E0,1.783888638E-1
2.285525500E0,-5.422898531E-1,2.581300259E0,4.821292758E-1
2.295467500E0,4.616783559E-1,2.597436190E0,7.636541128E-1
2.305410500E0,1.235458255E0,2.428297997E0,1.053622007E0
2.315352500E0,1.743493676E0,2.165237188E0,1.344620347E0
2.325295500E0,2.023211718E0,1.873360395E0,1.596240044E0
2.335237500E0,2.096215963E0,1.554158330E0,1.799825072E0
2.345176167E0,2.006184340E0,1.228220701E0,1.942217112E0
2.355118167E0,1.791548252E0,9.496784210E-1,2.000838757E0
2.365061167E0,1.518455744E0,7.960920930E-1,2.032176018E0
2.375003167E0,1.165960193E0,6.867936850E-1,2.000354290E0
2.384946167E0,7.436512709E-1,5.548590422E-1,1.826802969E0
2.394888167E0,3.518305719E-1,4.427871704E-1,1.550648928E0
2.404830167E0,6.121364981E-2,3.457594514E-1,1.222985029E0
2.414773167E0,-1.350002587E-1,1.881072968E-1,9.208983183E-1
2.424715167E0,-2.462034822E-1,9.143142030E-3,6.640009880E-1
2.434658167E0,-2.942138910E-1,-1.132938191E-1,4.600569010E-1
2.444600167E0,-2.973114252E-1,-1.874703020E-1,2.904236615E-1
2.454543167E0,-2.835521400E-1,-2.478765994E-1,1.284044385E-1
2.464485167E0,-2.564935982E-1,-2.635692656E-1,-1.070524659E-2
2.474428167E0,-1.752166152E-1,-1.273127198E-1,-9.159449488E-2
2.484370167E0,-1.323399842E-1,8.304238319E-2,-1.071281880E-1
2.494313167E0,-1.097668484E-1,1.901319474E-1,-5.603846163E-2
2.504255167E0,-8.206651360E-2,2.906055450E-1,5.399642885E-2
2.514197167E0,-4.082810879E-2,4.081402123E-1,1.970701218E-1
2.524140167E0,2.163473703E-2,5.257573724E-1,3.372133672E-1
2.534082167E0,8.951471746E-2,5.844816566E-1,4.165412188E-1
2.544025167E0,1.825730205E-1,5.494043827E-1,4.180453718E-1
2.553967167E0,2.702354491E-1,4.423639476E-1,3.676183820E-1
2.563910167E0,3.552203774E-1,3.083172143E-1,3.022175431E-1
2.573852167E0,4.129824042E-1,1.694785058E-1,2.483448833E-1
2.583795167E0,4.296135604E-1,4.194024578E-2,1.846377999E-1
2.593737167E0,4.047058225E-1,-8.359202743E-2,1.102088615E-1
2.603680167E0,3.527797759E-1,-1.947782040E-1,2.269898541E-2
2.613622167E0,2.897395790E-1,-2.597343028E-1,-6.820052862E-2
2.623564167E0,2.420692742E-1,-2.416463941E-1,-1.598257869E-1
2.633507167E0,2.002241611E-1,-1.573604643E-1,-2.335223109E-1
2.643449167E0,1.533852816E-1,-4.593566805E-2,-2.692187726E-1
2.653392167E0,9.088940918E-2,9.277879447E-2,-2.787619531E-1
2.663334167E0,4.755364731E-2,2.239117920E-1,-2.597970665E-1
2.673277167E0,3.179273009E-2,2.859279513E-1,-2.613217831E-1
2.683219167E0,3.726100177E-2,2.587730289E-1,-2.968576550E-1
2.693162167E0,6.064574793E-2,2.293422222E-1,-3.762507141E-1
2.703104167E0,9.644556046E-2,2.215311825E-1,-4.754201770E-1
2.713047167E0,1.269341409E-1,3.203915656E-1,-5.459553599E-1
2.722989167E0,1.093053371E-1,5.541862249E-1,-5.779828429E-1
2.732931167E0,-3.992684186E-2,7.657449245E-1,-6.000216603E-1
2.742874167E0,-3.725559413E-1,8.093169332E-1,-6.155169606E-1
2.752816167E0,-8.276082277E-1,7.729154825E-1,-6.086704135E-1
2.762759167E0,-1.244205475E0,7.354933023E-1,-5.524148345E-1
2.772701167E0,-1.466792703E0,6.064671874E-1,-3.998050690E-1
2.782644167E0,-1.386427522E0,2.947905064E-1,-1.830243021E-1
2.792586167E0,-9.892621040E-1,-2.217192203E-2,2.386338636E-2
2.802529167E0,-3.765071034E-1,-1.385070533E-1,1.842096597E-1
2.812471167E0,2.620043755E-1,-4.653086513E-2,3.022667170E-1
2.822414167E0,7.610421181E-1,2.100377977E-1,4.236730337E-1
2.832356167E0,1.066159844E0,5.572130680E-1,5.701079369E-1
2.842298167E0,1.193477035E0,9.238837361E-1,7.093606591E-1
2.852241167E0,1.211561680E0,1.210014582E0,8.210624456E-1
2.862183167E0,1.163881779E0,1.377940178E0,9.002587199E-1
2.872126167E0,1.089356422E0,1.437465072E0,9.522922039E-1
2.882068167E0,9.985916018E-1,1.376040339E0,9.845955372E-1
2.892011167E0,9.008018374E-1,1.218035579E0,9.914312363E-1
2.901953167E0,8.001753688E-1,1.003147244E0,9.758129120E-1
2.911896167E0,6.953830123E-1,7.545440793E-1,9.485416412E-1
2.921838167E0,5.927364826E-1,4.871264696E-1,9.453162551E-1
2.931781167E0,5.180622935E-1,2.301142067E-1,9.810759425E-1
2.941723167E0,4.760493040E-1,7.045716979E-3,1.030291557E0
2.951665167E0,4.602029026E-1,-1.895435750E-1,1.062077165E0
