"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-3.644471283E0,8.195008392E0,5.422773285E0
9.939999960E-3,-3.618874512E0,8.276738434E0,5.236710205E0
1.987899997E-2,-3.633843384E0,8.225544891E0,4.999752960E0
2.981899999E-2,-3.653153229E0,8.120762787E0,4.769831085E0
3.975800000E-2,-3.672762451E0,7.999814301E0,4.630321198E0
4.969799996E-2,-3.657494202E0,7.943830719E0,4.684059448E0
5.963699997E-2,-3.601510620E0,7.927664337E0,4.830155640E0
6.957699999E-2,-3.574117584E0,7.914342041E0,4.861440582E0
7.951600000E-2,-3.641477509E0,7.858358459E0,4.751569061E0
8.945599996E-2,-3.634591827E0,7.674690399E0,4.449946289E0
9.939499997E-2,-3.545826416E0,7.284751282E0,3.928131409E0
1.093350000E-1,-3.572171631E0,6.900799713E0,3.324736176E0
1.192740000E-1,-3.847449188E0,6.724616089E0,2.962040405E0
1.292140000E-1,-4.189338226E0,6.931036835E0,2.998265076E0
1.391540000E-1,-4.447850647E0,7.238647156E0,3.150797882E0
1.490930000E-1,-4.524491272E0,7.412884827E0,3.416046295E0
1.590330000E-1,-4.492308197E0,7.479645996E0,3.698059845E0
1.689720000E-1,-4.388573914E0,7.454947357E0,4.046535187E0
1.789120000E-1,-4.221072235E0,7.370373230E0,4.376449127E0
1.888510000E-1,-4.093387756E0,7.376809845E0,4.502187653E0
1.987910000E-1,-4.100572815E0,7.423363037E0,4.533023529E0
2.087300000E-1,-4.212689667E0,7.503446503E0,4.646038513E0
2.186700000E-1,-4.355941772E0,7.605384521E0,4.781656494E0
2.286090000E-1,-4.480782166E0,7.743996277E0,4.859195251E0
2.385490000E-1,-4.604125671E0,7.902816010E0,4.814588013E0
2.484890000E-1,-4.574636993E0,7.929161224E0,4.789739685E0
2.584280000E-1,-4.486320648E0,7.851023712E0,4.764292603E0
2.683680000E-1,-4.454736328E0,7.780520325E0,4.718338165E0
2.783070000E-1,-4.486919403E0,7.833809509E0,4.902604980E0
2.882470000E-1,-4.637955322E0,7.919281769E0,5.260061646E0
2.981860000E-1,-4.793781281E0,8.037984924E0,5.524411926E0
3.081260000E-1,-4.822521515E0,8.179291077E0,5.554948425E0
3.180650000E-1,-4.702471161E0,8.219856720E0,5.392386475E0
3.280050000E-1,-4.499792633E0,8.093369751E0,5.172942810E0
3.379440000E-1,-4.397405548E0,7.931406555E0,4.898862762E0
3.478840000E-1,-4.383783875E0,7.770640869E0,4.645290070E0
3.578230000E-1,-4.400099945E0,7.659272461E0,4.386927338E0
3.677630000E-1,-4.386478271E0,7.562274170E0,4.108506317E0
3.777030000E-1,-4.339026947E0,7.420668640E0,3.852089539E0
3.876420000E-1,-4.301754456E0,7.295828247E0,3.667373657E0
3.975820000E-1,-4.224515076E0,7.209008789E0,3.523373108E0
4.075210000E-1,-4.110003204E0,7.216493225E0,3.451821899E0
4.174610000E-1,-3.987557831E0,7.223229218E0,3.466940460E0
4.274000000E-1,-3.835174713E0,7.185956726E0,3.517684937E0
4.373400000E-1,-3.615281982E0,7.170688477E0,3.520229645E0
4.472790000E-1,-3.366199951E0,7.146289215E0,3.390449524E0
4.572190000E-1,-3.133883057E0,7.075935516E0,3.199446716E0
4.671580000E-1,-3.013683014E0,6.911128235E0,3.018323364E0
4.770980000E-1,-3.048560486E0,6.815926208E0,2.839295654E0
4.870380000E-1,-3.248694305E0,6.915319519E0,2.811154175E0
4.969770000E-1,-3.603157196E0,7.165299683E0,2.905607758E0
5.069170000E-1,-3.886068878E0,7.396568756E0,3.198548584E0
5.168560000E-1,-4.041894836E0,7.576644287E0,3.619922333E0
5.267960000E-1,-4.129013672E0,7.728728027E0,3.918401642E0
5.367350000E-1,-4.108057251E0,7.862699432E0,4.063599701E0
5.466750000E-1,-4.004772034E0,7.894882507E0,4.059857483E0
5.566140000E-1,-3.911965027E0,7.799231415E0,3.998036041E0
5.665540000E-1,-3.862118683E0,7.650590515E0,3.949387207E0
5.764930000E-1,-3.895199890E0,7.539970551E0,3.859424286E0
5.864330000E-1,-3.881129150E0,7.607330475E0,3.697461090E0
5.963720000E-1,-3.795357513E0,7.944130096E0,3.394790497E0
6.063120000E-1,-3.599414978E0,8.445737000E0,3.093616791E0
6.162512500E-1,-3.297941895E0,8.698561249E0,3.075055389E0
6.261902500E-1,-3.125799866E0,8.645421753E0,3.330274658E0
6.361302500E-1,-3.241958313E0,8.487949219E0,3.721860352E0
6.460692500E-1,-3.534150696E0,8.298143921E0,4.096082153E0
6.560092500E-1,-3.838467865E0,8.194858704E0,4.357738037E0
6.659482500E-1,-4.083358612E0,8.300838318E0,4.532424774E0
6.758882500E-1,-4.203408966E0,8.515192566E0,4.623884583E0
6.858272500E-1,-4.215683441E0,8.726702728E0,4.529131622E0
6.957672500E-1,-4.206552429E0,8.885672150E0,4.366719360E0
7.057062500E-1,-4.199666748E0,8.979526978E0,4.187691650E0
7.156462500E-1,-4.175267487E0,8.961863708E0,3.974534912E0
7.255852500E-1,-4.174219666E0,8.856333160E0,3.741170197E0
7.355252500E-1,-4.207899628E0,8.810528412E0,3.475173340E0
7.454652500E-1,-4.284689941E0,8.925489349E0,3.202290802E0
7.554042500E-1,-4.321663055E0,9.008267212E0,3.159030762E0
7.653442500E-1,-4.332740021E0,8.867110748E0,3.334915009E0
7.752832500E-1,-4.398153992E0,8.774154053E0,3.545377350E0
7.852232500E-1,-4.385879517E0,8.849447479E0,3.688479767E0
7.951622500E-1,-4.222868500E0,8.989256744E0,3.692671051E0
8.051022500E-1,-3.982019348E0,9.058412933E0,3.596870270E0
8.150412500E-1,-3.710034943E0,9.134754181E0,3.451372833E0
8.249812500E-1,-3.457210693E0,9.298513641E0,3.337908783E0
8.349202500E-1,-3.186872864E0,9.441017303E0,3.287763062E0
8.448602500E-1,-2.921325073E0,9.468859406E0,3.256328430E0
8.547992500E-1,-2.697540436E0,9.423653412E0,3.175795898E0
8.647392500E-1,-2.531535645E0,9.358838196E0,3.074456635E0
8.746792500E-1,-2.412832489E0,9.322463837E0,2.972967682E0
8.846182500E-1,-2.310744781E0,9.305549011E0,2.888393555E0
8.945582500E-1,-2.209255829E0,9.315129089E0,2.821183319E0
9.044972500E-1,-2.085612946E0,9.351802826E0,2.740800476E0
9.144372500E-1,-1.968706055E0,9.402397614E0,2.635569305E0
9.243762500E-1,-1.922152863E0,9.400451660E0,2.520458679E0
9.343162500E-1,-1.954186249E0,9.386530609E0,2.462229767E0
9.442552500E-1,-2.026785278E0,9.377698975E0,2.472109222E0
9.541952500E-1,-2.093845825E0,9.339827728E0,2.526595917E0
9.641342500E-1,-2.151026917E0,9.297615509E0,2.538571014E0
9.740742500E-1,-2.162702637E0,9.336384888E0,2.489622803E0
9.840132500E-1,-2.137854309E0,9.454339600E0,2.366728363E0
9.939532500E-1,-2.107018433E0,9.594298553E0,2.286794586E0
1.003892250E0,-2.120640106E0,9.735005951E0,2.283651123E0
1.013832250E0,-2.136656799E0,9.867031403E0,2.334844666E0
1.023772250E0,-2.105222168E0,9.985584869E0,2.398013306E0
1.033711250E0,-2.038161621E0,1.005653732E1,2.470013580E0
1.043651250E0,-1.928589478E0,1.011042526E1,2.546504517E0
1.053590250E0,-1.796114960E0,1.017793488E1,2.623743896E0
1.063530250E0,-1.672023010E0,1.022463776E1,2.698438568E0
1.073469250E0,-1.595681763E0,1.026385620E1,2.796035614E0
1.083409250E0,-1.535506897E0,1.029693741E1,2.939736786E0
1.093348250E0,-1.470541992E0,1.029663803E1,3.055745544E0
1.103288250E0,-1.355281677E0,1.029139893E1,3.081042938E0
1.113227250E0,-1.215472412E0,1.031040939E1,3.056643677E0
1.123167250E0,-1.070424042E0,1.032597702E1,3.021017761E0
1.133106250E0,-9.397457886E-1,1.033765274E1,2.989583130E0
1.143046250E0,-8.494834900E-1,1.035591476E1,2.973716125E0
1.152986250E0,-7.884104919E-1,1.036669235E1,2.935395813E0
1.162925250E0,-7.494914246E-1,1.038255936E1,2.870879974E0
1.172865250E0,-7.291337585E-1,1.039887543E1,2.820135498E0
1.182804250E0,-7.122189331E-1,1.038240967E1,2.759511566E0
1.192744250E0,-7.417076111E-1,1.031789383E1,2.684367828E0
1.202683250E0,-8.045768738E-1,1.024948608E1,2.614014130E0
1.212623250E0,-8.668473816E-1,1.017703674E1,2.533631287E0
1.222562250E0,-9.304650879E-1,1.014949402E1,2.436483307E0
1.232502250E0,-9.710307312E-1,1.018497025E1,2.352807312E0
1.242441250E0,-9.955796814E-1,1.023436752E1,2.283202057E0
1.252381250E0,-1.013542328E0,1.028376480E1,2.215842133E0
1.262320250E0,-1.028361511E0,1.030472122E1,2.177821198E0
1.272260250E0,-1.091380463E0,1.027029282E1,2.174078979E0
1.282199250E0,-1.241368561E0,1.013287857E1,2.183958435E0
1.292139250E0,-1.435664520E0,9.940827942E0,2.220183105E0
1.302079250E0,-1.602268066E0,9.730066223E0,2.239043884E0
1.312018250E0,-1.752405853E0,9.521250458E0,2.247725830E0
1.321958250E0,-1.918710022E0,9.368717651E0,2.230361938E0
1.331897250E0,-2.157014465E0,9.285939789E0,2.228415985E0
1.341837250E0,-2.464175720E0,9.276210022E0,2.253264313E0
1.351776250E0,-2.835254059E0,9.341324615E0,2.284100189E0
1.361716250E0,-3.224744110E0,9.491462402E0,2.313289490E0
1.371655250E0,-3.604803772E0,9.722132721E0,2.360291748E0
1.381595250E0,-4.022884369E0,9.968819733E0,2.409988403E0
1.391534250E0,-4.444856873E0,1.016745667E1,2.545905762E0
1.401474250E0,-4.800966339E0,1.021116577E1,2.738106079E0
1.411413250E0,-5.115312653E0,1.007000931E1,3.006348267E0
1.421353250E0,-5.361999664E0,9.762848053E0,3.391048279E0
1.431293250E0,-5.483995972E0,9.286089478E0,3.728746033E0
1.441232250E0,-5.375321960E0,8.717571716E0,3.976780243E0
1.451172250E0,-5.075046387E0,8.219257965E0,4.122427368E0
1.461111250E0,-4.676874390E0,7.921078033E0,4.144132233E0
1.471051250E0,-4.344415741E0,7.800877991E0,4.075574799E0
1.480990250E0,-4.136947174E0,7.720794525E0,3.944148102E0
1.490930250E0,-4.017944641E0,7.673343201E0,3.836072845E0
1.500869250E0,-3.900289307E0,7.702682190E0,3.823798370E0
1.510809250E0,-3.763623505E0,7.772137756E0,3.865860901E0
1.520748250E0,-3.638932800E0,7.788603516E0,3.887565765E0
1.530688250E0,-3.551215210E0,7.696694641E0,3.891757050E0
1.540627250E0,-3.505859528E0,7.506290588E0,3.909120941E0
1.550567250E0,-3.479065247E0,7.259902954E0,3.959416351E0
1.560506250E0,-3.450474701E0,6.981631622E0,3.988455963E0
1.570446250E0,-3.412004700E0,6.696474609E0,3.974085846E0
1.580385250E0,-3.337160339E0,6.421047363E0,3.936364288E0
1.590325250E0,-3.211421814E0,6.189478912E0,3.873345337E0
1.600265250E0,-3.058889008E0,6.009104004E0,3.716321869E0
1.610204250E0,-2.891087952E0,5.837261353E0,3.534599762E0
1.620144250E0,-2.748135223E0,5.683381348E0,3.338657227E0
1.630083250E0,-2.625390472E0,5.565576324E0,3.157084808E0
